"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Боднар
Тарас
Григорович","Валентієв
Валентин
Володимирович","Гуменюк
Василь
Васильович","Когут
Олександр
Євгенович","Міглачов
Ігор
Васильович","Сич
Олександр
Володимирович","Сич
Олександр
Максимович","Тітов
Володимир
Дмитрович","Чорноус
Володимир
Ярославович","Шевченко
Олександр
Леонідович","Дата підписання протоколу"
"000001","83","Івано-Франківська область","
вул.Коновальця, 70А, м.Івано-Франківськ, 76000","522","20","504","1","501","1","502","","0","501","1","502","52","450","0","6","7","12","1","8","37","2","9","368","29.10.12"
"260855","83","Івано-Франківська область","Українська гімназія №1, їдальня
вул.Калуське Шосе, 1, м.Івано-Франківськ, 76000","2520","903","2495","16","1603","14","1617","","0","1603","14","1617","45","1572","11","5","9","32","25","66","967","5","130","322","29.10.12"
"260856","83","Івано-Франківська область","школа №18, фойє
вул.Тролейбусна, 7, м.Івано-Франківськ, 76000","2004","788","1995","11","1209","7","1216","","0","1209","7","1216","36","1180","7","0","3","23","19","55","678","4","101","290","29.10.12"
"260857","83","Івано-Франківська область","медуніверситет, фармацевтичний факультет, 1-й поверх
вул.Галицька, 124К, м.Івано-Франківськ, 76000","2178","747","2172","5","1428","3","1431","","0","1428","3","1431","27","1404","8","4","8","24","20","41","873","6","119","301","29.10.12"
"260858","83","Івано-Франківська область","гуртожиток медуніверситету, лекційна аудиторія
вул.Тролейбусна, 10, м.Івано-Франківськ, 76000","1818","585","1827","5","1229","4","1233","","0","1229","4","1233","21","1212","20","2","10","15","9","51","690","1","120","294","29.10.12"
"260859","83","Івано-Франківська область","школа №18, фойє
вул.Тролейбусна, 7, м.Івано-Франківськ, 76000","2424","866","2366","12","1550","8","1558","","0","1550","8","1558","41","1517","6","3","5","28","25","69","910","4","131","336","29.10.12"
"260860","83","Івано-Франківська область","школа №24, їдальня
вул.Хіміків, 1, м.Івано-Франківськ, 76000","2100","784","2092","8","1310","6","1316","","0","1310","6","1316","26","1290","7","2","9","15","18","43","830","1","106","259","29.10.12"
"260861","83","Івано-Франківська область","вище професійне училище №13, хол
вул.Пасічна, 10А, м.Івано-Франківськ, 76000","2466","941","2448","9","1517","8","1525","","0","1516","8","1524","35","1488","9","4","4","21","12","54","935","1","110","338","30.10.12"
"260862","83","Івано-Франківська область","школа-сад №6, музичний зал
вул.Пасічна, 3, м.Івано-Франківськ, 76000","2040","696","2024","8","1337","7","1344","","0","1337","7","1344","26","1318","7","4","9","17","7","50","879","3","105","237","28.10.12"
"260863","83","Івано-Франківська область","школа №24, спортивний зал
вул.Хіміків, 1, м.Івано-Франківськ, 76000","1986","749","1976","10","1234","3","1237","","0","1234","3","1237","31","1206","10","1","2","21","12","36","771","2","96","255","29.10.12"
"260864","83","Івано-Франківська область","муніципальний центр дозвілля, спортзал
набережна ім.В.Стефаника, 42, м.Івано-Франківськ, 76000","2196","910","2182","14","1277","9","1286","","0","1277","9","1286","47","1239","12","1","5","12","6","63","739","3","119","279","29.10.12"
