"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Виноградник
Тарас
Теофілович","Волощук
Ігор
Іванович","Галига
Петро
Степанович","Гергелюк
Володимир
Іванович","Зелінський
Микола
Романович","Круховська
Галина
Василівна","Круць
Микола
Федорович","Купчак
Володимир
Романович","Людера
Володимир
Ярославович","Мельник
Василь
Іванович","Олексюк
Олег
Миколайович","Пилянська
Марта
Ігорівна","Поліш
Володимир
Віталійович","Симак
Дмитро
Михайлович","Фученко
Василь
Павлович","Шевчук
Євген
Вільямович","Дата підписання протоколу"
"260087","84","Івано-Франківська область","Народний дім, фойє
вул.Я.Осмомисла, 1, м.Галич, Галицький р-н, Івано-Франківська обл., 77100","2052","820","2030","3","1230","2","1232","","0","1230","2","1232","30","1202","18","26","3","111","26","30","206","627","4","4","6","4","48","84","1","4","29.10.12"
"260088","84","Івано-Франківська область","школа №2, спортивний зал
вул.Львівська, 9, м.Галич, Галицький р-н, Івано-Франківська обл., 77100","1252","507","1234","10","737","8","745","","0","737","8","745","11","734","1","12","2","66","10","9","158","373","3","0","6","3","26","59","1","5","29.10.12"
"260089","84","Івано-Франківська область","школа №1, актовий зал
вул.Шевченка, 7, м.Галич, Галицький р-н, Івано-Франківська обл., 77100","1992","868","1980","5","1119","5","1124","","0","1119","5","1124","28","1096","12","28","3","113","25","15","185","583","3","2","9","1","54","60","2","1","29.10.12"
"260090","84","Івано-Франківська область","школа №1, актовий зал
вул.Степана Бандери, 60, м.Бурштин, Галицький р-н, Івано-Франківська обл., 77111","1716","636","1680","20","1060","20","1080","","0","1060","20","1080","23","1057","4","11","8","96","25","10","86","639","2","5","4","2","37","123","0","5","29.10.12"
"260091","84","Івано-Франківська область","Вище професійне училище торгівлі та ресторанного сервісу, актовий зал
вул.Ольги Басараб, 1, м.Бурштин, Галицький р-н, Івано-Франківська обл., 77111","1808","642","1812","7","1159","7","1166","","0","1159","7","1166","19","1147","7","8","4","104","34","4","126","626","6","3","5","7","60","149","1","3","29.10.12"
"260092","84","Івано-Франківська область","школа №3, фойє
вул.Коновальця, 3, м.Бурштин, Галицький р-н, Івано-Франківська обл., 77111","1904","641","1884","6","1257","6","1263","","0","1257","6","1263","36","1227","9","13","13","138","21","11","110","705","2","5","3","7","62","124","2","2","29.10.12"
"260093","84","Івано-Франківська область","Бурштинський енергетичний коледж, читальний зал
вул.Калуська, 4, м.Бурштин, Галицький р-н, Івано-Франківська обл., 77111","1716","624","1700","12","1081","11","1092","","0","1081","11","1092","24","1068","5","17","5","125","16","13","115","573","5","3","4","6","65","113","2","1","29.10.12"
"260094","84","Івано-Франківська область","музична школа, актовий зал
вул.Енергетиків, 15, м.Бурштин, Галицький р-н, Івано-Франківська обл., 77111","1560","545","1554","17","1001","14","1015","","0","1001","14","1015","25","990","5","17","1","69","30","6","93","619","8","1","3","3","50","82","2","1","29.10.12"
"260095","84","Івано-Франківська область","Палац культури ""Прометей"", фойє
вул.Міцкевича, 4, м.Бурштин, Галицький р-н, Івано-Франківська обл., 77111","1484","594","1475","13","879","11","890","","0","879","11","890","25","865","7","17","2","73","17","16","79","512","12","5","4","1","56","62","1","1","29.10.12"
"260096","84","Івано-Франківська область","школа №2, актовий зал
вул.Січових Стрільців, 18, м.Бурштин, Галицький р-н, Івано-Франківська обл., 77111","736","269","724","6","464","3","467","","0","464","3","467","10","457","5","5","1","34","11","7","46","275","2","2","3","1","11","53","0","1","29.10.12"
"260097","84","Івано-Франківська область","міська гімназія, актовий зал
вул.Січових Стрільців, 31, м.Бурштин, Галицький р-н, Івано-Франківська обл., 77111","712","252","701","9","451","9","460","","0","451","9","460","17","443","2","10","3","34","4","8","47","250","6","0","6","0","28","42","0","3","29.10.12"
"260098","84","Івано-Франківська область","народний дім, великий зал
вул.Перемоги, народний дім, с.Вигівка, Галицький р-н, Івано-Франківська обл., 77111","296","74","307","12","210","12","222","","0","210","12","222","0","222","1","0","0","14","5","2","57","126","0","0","4","0","1","12","0","0","28.10.12"
"260099","84","Івано-Франківська область","будинок культури, фойє
вул.Гайова, 5, смт Більшівці, Галицький р-н, Івано-Франківська обл., 77147","2160","768","2150","70","1327","65","1392","","0","1327","65","1392","25","1367","4","17","7","76","35","7","185","702","2","1","19","3","21","285","2","1","29.10.12"
"260100","84","Івано-Франківська область","Народний дім, актовий зал
вул.Галицька, 38, с.Блюдники, Галицький р-н, Івано-Франківська обл., 77161","528","164","526","29","336","28","364","","0","336","28","364","6","358","4","6","1","12","1","3","109","183","0","0","4","1","11","23","0","0","29.10.12"
