"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Андрусів
Богдана
Романівна","Барчук
Віктор
Тимофійович","Брус
Василь
Хомич","Грабовецький
Володимир
Миколайович","Гулій
Юрій
Михайлович","Гурко
Володимир
Анатолійович","Дирів
Анатолій
Борисович","Ільницький
Михайло
Степанович","Климбус
Микола
Ярославович","Когуч
Людмила
Богданівна","Кредісов
Вячеслав
Анатолійович","Лаврів
Михайло
Миколайович","Ликтей
Володимир
Іларійович","Ліпчанський
Володимир
Йосифович","Лукань
Ігор
Михайлович","Луцик
Василь
Григорович","Парфан
Тарас
Дмитрович","Самілів
Галина
Василівна","Семенова
Марина
Сергіївна","Типусяк
Андрій
Миколайович","Тодарчук
Тетяна
Володимирівна","Шкутяк
Петро
Зіновійович","Юринець
Вадим
Орестович"
"260008","86","Івано-Франківська область","навчально-виховний комплекс, спортзал
вул.Героїв, 28, с.Богрівка, Богородчанський р-н, Івано-Франківська обл., 77741","632","326","631","34","273","33","306","","0","273","33","306","13","293","1","1","49","13","3","42","44","17","1","1","18","0","1","1","5","1","85","1","1","3","3","2",""
"260009","86","Івано-Франківська область","будинок культури, зал засідань
вул.Молодіжна, 25, с.Глибока, Богородчанський р-н, Івано-Франківська обл., 77720","1144","453","1137","58","642","49","691","","0","642","49","691","19","672","4","6","213","61","0","8","89","24","7","2","29","0","2","0","5","3","186","0","2","2","1","27",""
"260014","86","Івано-Франківська область","школа, спортивний зал
вул.Шевченка, 11, с.Глибівка, Богородчанський р-н, Івано-Франківська обл., 77718","796","325","793","40","433","38","471","","0","433","38","471","15","456","3","8","104","66","12","4","46","1","4","1","64","0","0","3","1","0","106","2","2","2","2","25",""
"260015","86","Івано-Франківська область","сільський клуб, актова зала
вул.Шевченка, 12, с.Гута, Богородчанський р-н, Івано-Франківська обл., 77745","844","234","836","63","552","58","610","","0","552","58","610","12","598","1","1","238","101","2","15","63","12","2","3","54","0","1","0","1","1","95","1","0","1","2","4",""
"260020","86","Івано-Франківська область","будинок культури, актова зала
вул.Лесі Українки, 1, с.Космач, Богородчанський р-н, Івано-Франківська обл., 77731","1180","423","1169","66","693","64","757","","0","693","64","757","21","736","2","1","121","176","3","23","98","18","80","2","63","3","2","0","3","1","112","5","1","0","0","21",""
"260021","86","Івано-Франківська область","сільський клуб, актова зала
вул.Шевченка, 45, с.Кривець, Богородчанський р-н, Івано-Франківська обл., 77733","1440","626","1428","18","798","16","814","","0","798","16","814","28","786","7","7","147","78","5","78","92","137","4","2","44","2","2","1","6","3","146","2","1","5","0","14",""
"260022","86","Івано-Франківська область","школа, приміщення для засідань
вул.Карпатська, 244А, с.Кричка, Богородчанський р-н, Івано-Франківська обл., 77744","1336","689","1328","73","585","62","647","","0","585","62","647","18","629","4","6","125","80","1","53","43","14","5","1","40","1","3","3","0","0","212","5","4","0","3","26",""
"260023","86","Івано-Франківська область","сільський клуб, актова зала
вул.Центральна, 37, с.Луквиця, Богородчанський р-н, Івано-Франківська обл., 77744","676","324","668","17","336","16","352","","0","336","16","352","12","340","3","5","87","40","0","25","88","0","2","0","16","0","0","2","3","1","58","1","0","1","1","4",""
"260027","86","Івано-Франківська область","сільська рада, приміщення для засідань
вул.Грушевського, 32, с.Міжгір’я, Богородчанський р-н, Івано-Франківська обл., 77730","500","168","505","28","304","28","332","","0","304","28","332","6","326","1","2","41","67","1","22","66","20","1","1","25","0","0","1","0","1","72","0","0","1","0","4",""
"260034","86","Івано-Франківська область","будинок культури, кінозал
вул.Січових Стрільців, 81, с.Пороги, Богородчанський р-н, Івано-Франківська обл., 77743","1732","708","1711","87","963","61","1024","","0","963","61","1024","27","997","5","5","238","97","3","25","114","21","2","2","123","3","1","0","5","2","310","8","0","1","0","30",""
