"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Богославець
Руслана
Юріївна","Гіль
Світлана
Богданівна","Гоголь
Василь
Васильович","Гриньків
Тетяна
Михайлівна","Дерев’янко
Юрій
Богданович","Жавранков
Віталій
Вячеславович","Жолоб
Юрій
Ігорович","Калічко
Володимир
Іванович","Монастирецький
Володимир
Ярославович","Мочерняк
Роман
Михайлович","Онутчак
Василь
Васильович","Піцуряк
Манолій
Васильович","Припхан
Наталія
Павлівна","Пришляк
Тетяна
Іванівна","Слободян
Іван
Володимирович","Хопта
Володимир
Іванович","Черноволенко
Олександр
Миколайович","Дата підписання протоколу"
"260001","87","Івано-Франківська область","палац культури, приміщення для засідань
вул.Шевченка, 65, смт Богородчани, Богородчанський р-н, Івано-Франківська обл., 77701","1804","762","1784","23","1026","16","1042","","0","1026","16","1042","21","1021","8","10","10","6","171","10","2","25","1","9","93","656","8","4","5","2","1","29.10.12"
"260002","87","Івано-Франківська область","школа №1, приміщення для засідань
вул.Грушевського, 12, смт Богородчани, Богородчанський р-н, Івано-Франківська обл., 77701","1681","653","1675","38","995","33","1028","","0","995","33","1028","30","998","5","10","16","7","191","12","2","15","5","2","57","665","1","2","3","1","4","31.10.12"
"260003","87","Івано-Франківська область","школа №2, їдальня
вул.Я.Мудрого, 14, смт Богородчани, Богородчанський р-н, Івано-Франківська обл., 77701","2092","902","2076","8","1184","6","1190","","0","1184","6","1190","26","1164","9","13","21","0","155","1","5","30","5","8","81","821","3","4","5","1","2","29.10.12"
"260004","87","Івано-Франківська область","будинок культури, актова зала
вул.Грушевського, 29, смт Солотвин, Богородчанський р-н, Івано-Франківська обл., 77753","972","349","959","25","599","24","623","","0","599","24","623","5","618","1","1","2","1","142","4","0","2","1","6","23","430","2","0","2","1","0","29.10.12"
"260005","87","Івано-Франківська область","навчально-виховний комплекс, їдальня
вул.Грушевського, 17, смт Солотвин, Богородчанський р-н, Івано-Франківська обл., 77753","847","304","848","30","513","30","543","","0","513","30","543","13","530","0","0","3","0","150","3","0","10","0","0","8","353","0","0","1","1","1","29.10.12"
"260006","87","Івано-Франківська область","Заріцький будинок культури, актова зала
вул.В.Стуса, 2, смт Солотвин, Богородчанський р-н, Івано-Франківська обл., 77753","1168","422","1159","45","703","43","746","","0","703","43","746","12","734","1","2","4","0","150","0","0","11","1","3","20","540","0","1","0","0","1","28.10.12"
"260007","87","Івано-Франківська область","будинок культури, актова зала
вул.Надрічна, 14, с.Бабче, Богородчанський р-н, Івано-Франківська обл., 77771","1884","1057","1873","27","803","24","827","","0","803","24","827","10","817","0","1","7","2","232","1","0","6","1","2","20","537","2","0","4","1","1","29.10.12"
"260010","87","Івано-Франківська область","будинок культури, спортивний зал
вул.Українська, 312, с.Горохолина, Богородчанський р-н, Івано-Франківська обл., 77760","988","347","982","36","605","36","641","","0","605","36","641","11","630","1","6","5","2","157","3","2","8","1","5","17","407","4","2","5","4","1","29.10.12"
"260011","87","Івано-Франківська область","кафе ""Перлина"", бенкетний зал
вул.Українська, 578А, с.Горохолина, Богородчанський р-н, Івано-Франківська обл., 77760","660","270","656","26","364","26","390","","0","364","26","390","12","378","4","5","4","1","124","1","3","2","0","2","30","190","1","0","5","2","4","29.10.12"
"260012","87","Івано-Франківська область","сільський клуб, актова зала
вул.В.Чорновола, 809А, с.Горохолин Ліс, Богородчанський р-н, Івано-Франківська обл., 77760","532","285","527","22","225","22","247","","0","225","22","247","10","237","1","5","5","2","86","1","0","10","3","2","23","94","0","0","5","0","0","29.10.12"
