"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Височанський
Роман
Романович","Гдичинський
Богдан
Петрович","Доній
Олександр
Сергійович","Левицький
Олександр
Михайлович","Панчук
Роман
Теодорович","Сава
Андрій
Богданович","Церковнюк
Дарія
Юріївна","Дата підписання протоколу"
"260165","88","Івано-Франківська область","школа №1, малий спортивний зал
вул.Шевченка, 55, м.Городенка, Городенківський р-н, Івано-Франківська обл., 78100","2096","952","2060","33","1111","32","1143","","0","1111","32","1143","37","1106","13","231","622","205","7","9","19","29.10.12"
"260166","88","Івано-Франківська область","районний палац культури, приміщення для засідань
вул.Шевченка, 72, м.Городенка, Городенківський р-н, Івано-Франківська обл., 78100","1692","728","1657","36","932","32","964","","0","932","32","964","40","924","7","197","460","226","11","6","17","29.10.12"
"260167","88","Івано-Франківська область","школа №2 (колишнє приміщення школи №3), актовий зал
вул.Шкільна, 12, м.Городенка, Городенківський р-н, Івано-Франківська обл., 78100","1183","480","1176","34","672","31","703","","0","672","31","703","22","681","11","132","396","121","4","9","8","29.10.12"
"260168","88","Івано-Франківська область","ПТУ №31, приміщення гуртожитку
вул.Винниченка, 1, м.Городенка, Городенківський р-н, Івано-Франківська обл., 78100","1080","470","1083","18","592","18","610","","0","592","18","610","11","599","8","129","349","98","4","5","6","29.10.12"
"260169","88","Івано-Франківська область","народний дім ""Просвіта"", зал
вул.Володимира Великого, 40, м.Городенка, Городенківський р-н, Івано-Франківська обл., 78100","1368","506","1333","31","831","31","862","","0","831","31","862","22","840","11","154","499","161","3","6","6","29.10.12"
"260170","88","Івано-Франківська область","школа, спортивний зал
вул.Незалежності, 12, смт Чернелиця, Городенківський р-н, Івано-Франківська обл., 78112","1288","474","1271","59","756","58","814","","0","756","58","814","16","798","12","148","455","153","11","14","5","29.10.12"
"260171","88","Івано-Франківська область","сільський клуб, приміщення для засідань
вул.Незалежності, 4, с.Хмелева, Городенківський р-н, Івано-Франківська обл., 78112","200","47","199","8","145","8","153","","0","145","8","153","0","153","4","36","99","10","1","3","0","29.10.12"
"260172","88","Івано-Франківська область","школа, актовий зал
вул.Шевченка, 3, с.Вербівці, Городенківський р-н, Івано-Франківська обл., 78160","696","184","684","66","448","64","512","","0","448","64","512","21","491","7","86","250","141","1","2","4","29.10.12"
"260173","88","Івано-Франківська область","школа, актовий зал
вул.Миру, 73, с.Виноград, Городенківський р-н, Івано-Франківська обл., 78153","744","285","732","24","435","24","459","","0","435","24","459","18","441","8","174","121","131","4","1","2","29.10.12"
"260174","88","Івано-Франківська область","сільський клуб, актовий зал
вул.Незалежності, 1, с.Хвалибога, Городенківський р-н, Івано-Франківська обл., 78153","224","71","219","10","145","8","153","","0","145","8","153","11","142","2","69","29","42","0","0","0","29.10.12"
