"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Аксенов
Сергій
Валерійович","Басараб
Віталій
Геннадійович","Бондаренко
Володимир
Анатолійович","Веселовський
Сергій
Михайлович","Волков
Олександр
Петрович","Вольнюк
Олександр
Григорович","Грач
Леонід
Іванович","Дзоз
Віталіна
Олексіївна","Доценко
Сергій
Миколайович","Жудєєв
Дмитро
Олександрович","Лазебніков
Сергій
Юрійович","Литвинов
Анатолій
Анатолійович","Лобачев
Сергій
Миколайович","Островський
Петро
Сергович","Пузако
Володимир
Іванович","Семенова
Лариса
Іванівна","Соломахін
Олег
Андрійович","Толкачов
Володимир
Володимирович","Фесенко
Сергій
Вікторович","Чолак
Віктор
Петрович","Дата підписання протоколу"
"000001","1","Автономна Республіка Крим","бульв.Леніна, 4, м.Сімферополь, Автономна Республіка Крим","1488","0","1505","0","1488","0","1488","","0","1488","0","1488","169","1319","43","12","15","18","16","19","84","782","66","11","11","34","43","15","16","24","19","46","16","29","29.10.12"
"011080","1","Автономна Республіка Крим","вул.Маяковського, 14, м.Сімферополь, Автономна Республіка Крим, 95051","1300","714","1267","6","581","5","586","","131","0","0","455","15","440","45","1","1","4","4","6","70","149","22","4","1","4","28","1","8","16","57","16","3","0","30.10.12"
"011081","1","Автономна Республіка Крим","вул.Карла Маркса, 32, м.Сімферополь, Автономна Республіка Крим, 95006","1408","758","1401","10","640","10","650","","0","639","10","649","25","624","51","3","5","7","9","7","122","222","57","4","0","1","44","1","7","16","49","16","2","1","01.11.12"
"011082","1","Автономна Республіка Крим","вул.Олександра Невського, 15, м.Сімферополь, Автономна Республіка Крим, 95006","1808","901","1787","11","899","8","907","","1","898","8","906","44","862","103","1","4","5","7","7","168","306","53","2","2","6","46","2","12","20","86","20","5","7","01.11.12"
"011083","1","Автономна Республіка Крим","бульв.Леніна, 5/7, м.Сімферополь, Автономна Республіка Крим, 95006","1816","1038","1807","22","758","20","778","","0","758","20","778","30","748","92","0","0","5","3","4","164","229","64","3","1","6","47","0","13","20","76","8","5","8","29.10.12"
"011084","1","Автономна Республіка Крим","вул.Гагаріна, 11, м.Сімферополь, Автономна Республіка Крим, 95026","1692","836","1689","21","836","20","856","","0","836","20","856","37","819","91","0","5","4","5","4","155","301","42","2","2","8","47","1","9","19","104","9","3","8","29.10.12"
"011085","1","Автономна Республіка Крим","вул.Семашка, 15, м.Сімферополь, Автономна Республіка Крим, 95026","1468","692","1461","20","759","17","776","","0","759","17","776","25","751","95","3","0","2","7","6","160","284","34","0","1","4","26","1","10","14","89","11","1","3","29.10.12"
"011086","1","Автономна Республіка Крим","вул.Гайдара, 8, м.Сімферополь, Автономна Республіка Крим, 95026","2032","1059","2017","23","955","18","973","","0","955","18","973","47","926","128","0","0","7","12","14","164","339","55","1","1","5","51","0","14","17","98","9","7","4","29.10.12"
"011087","1","Автономна Республіка Крим","вул.Гагаріна, 18, м.Сімферополь, Автономна Республіка Крим, 95026","1828","962","1802","11","856","10","866","","0","856","10","866","42","824","85","4","3","8","15","4","185","282","49","7","0","4","36","1","27","16","83","6","7","2","28.10.12"
"011088","1","Автономна Республіка Крим","вул.Железнодорожна, 10, м.Сімферополь, Автономна Республіка Крим, 95026","1748","900","1747","19","834","14","848","","0","834","14","848","29","819","84","0","0","6","11","6","209","300","51","4","0","2","29","0","6","16","73","19","3","0","29.10.12"
"011089","1","Автономна Республіка Крим","вул.Київська, 116А, м.Сімферополь, Автономна Республіка Крим, 95043","2212","1064","2204","22","1126","22","1148","","0","1126","22","1148","37","1111","120","2","3","4","9","11","224","395","64","20","3","1","38","2","25","26","134","20","5","5","29.10.12"
"011090","1","Автономна Республіка Крим","вул.Київська, 116А, м.Сімферополь, Автономна Республіка Крим, 95043","1380","714","1357","13","655","11","666","","0","655","11","666","30","636","71","2","1","5","7","1","163","216","33","2","0","2","22","0","8","15","77","9","0","2","29.10.12"
"011091","1","Автономна Республіка Крим","вул.Київська, 142А, м.Сімферополь, Автономна Республіка Крим, 95043","1476","789","1470","10","679","8","687","","0","679","8","687","21","666","71","1","3","10","8","5","111","200","56","8","2","3","27","2","24","12","111","8","4","0","29.10.12"
"011092","1","Автономна Республіка Крим","вул.Ракетна, 10, м.Сімферополь, Автономна Республіка Крим, 95018","2360","1371","2331","12","977","12","989","","0","977","12","989","42","947","61","3","3","6","9","2","177","379","82","3","2","1","72","1","19","19","83","10","7","8","01.11.12"
"011093","1","Автономна Республіка Крим","вул.Євпаторійське шосе, 39, м.Сімферополь, Автономна Республіка Крим, 95006","2296","1300","2291","6","990","6","996","","0","990","6","996","37","959","64","3","8","6","9","5","171","349","60","3","0","4","61","0","16","25","145","19","6","5","29.10.12"
"011094","1","Автономна Республіка Крим","вул.Євпаторійське шосе, 6, м.Сімферополь, Автономна Республіка Крим, 95006","2204","1280","2171","11","913","11","924","","0","911","11","922","57","865","55","2","3","1","7","6","166","318","80","1","3","8","60","2","20","20","86","20","3","4","01.11.12"
"011095","1","Автономна Республіка Крим","вул.Москальова, 5А, м.Сімферополь, Автономна Республіка Крим, 95014","2508","1620","2483","4","884","4","888","","0","884","4","888","41","847","83","1","4","6","7","6","106","346","73","2","0","1","50","1","33","16","88","13","5","6","29.10.12"
"011096","1","Автономна Республіка Крим","вул.Гоголя, 81, м.Сімферополь, Автономна Республіка Крим, 95006","1820","992","1794","9","819","9","828","","0","819","9","828","37","791","99","1","2","8","9","10","169","266","51","2","0","4","27","1","13","10","106","9","3","1","29.10.12"
"011097","1","Автономна Республіка Крим","вул.Дзюбанова, 13, м.Сімферополь, Автономна Республіка Крим, 95006","1864","1067","1855","9","792","5","797","","0","792","5","797","34","763","92","4","4","9","5","6","157","277","38","3","0","2","29","1","6","19","86","16","7","2","29.10.12"
"011098","1","Автономна Республіка Крим","вул.Дзюбанова, 36, м.Сімферополь, Автономна Республіка Крим, 95051","1468","776","1468","10","684","8","692","","0","684","8","692","32","660","70","1","4","5","10","4","110","272","39","0","1","3","35","1","12","13","68","9","2","1","29.10.12"
"011099","1","Автономна Республіка Крим","вул.Желябова, 46, м.Сімферополь, Автономна Республіка Крим, 95051","1876","1056","1872","7","815","5","820","","0","815","5","820","30","790","77","0","1","6","15","1","172","277","64","3","0","3","42","1","6","25","72","16","4","5","29.10.12"
"011100","1","Автономна Республіка Крим","вул.Генерала Телегіна, 16А, м.Сімферополь, Автономна Республіка Крим, 95051","2228","1476","2220","5","748","4","752","","0","748","4","752","40","712","55","6","2","4","9","3","123","280","54","5","3","6","34","0","5","21","80","17","2","3","29.10.12"
"011101","1","Автономна Республіка Крим","вул.Марка Донського, 4, м.Сімферополь, Автономна Республіка Крим, 95047","2020","1031","1998","22","970","19","989","","0","970","19","989","36","953","86","6","1","5","7","9","185","408","53","4","0","6","35","2","17","21","95","10","3","0","29.10.12"
"011102","1","Автономна Республіка Крим","вул.Героїв Сталінграда, 7А, м.Сімферополь, Автономна Республіка Крим, 95047","1992","930","1982","19","1047","15","1062","","0","1047","15","1062","50","1012","91","2","6","2","6","7","165","420","47","4","2","1","43","0","10","18","159","17","5","7","28.10.12"
"011103","1","Автономна Республіка Крим","вул.Героїв Сталінграда, 39, м.Сімферополь, Автономна Республіка Крим, 95047","1856","964","1836","20","872","20","892","","0","872","20","892","38","854","102","2","3","7","5","8","165","320","60","2","1","5","31","0","5","14","109","14","0","1","29.10.12"
"011104","1","Автономна Республіка Крим","вул.Героїв Сталінграда, 39, м.Сімферополь, Автономна Республіка Крим, 95047","1732","914","1721","14","805","13","818","","0","803","13","816","34","782","119","2","1","6","3","9","135","265","55","3","1","6","33","0","5","14","113","9","1","2","01.11.12"
"011105","1","Автономна Республіка Крим","вул.Маршала Жукова, 11, м.Сімферополь, Автономна Республіка Крим, 95035","2365","1283","2318","5","1081","1","1082","","0","1081","1","1082","40","1042","96","1","2","4","6","5","165","429","71","1","2","1","41","1","15","23","165","6","5","3","29.10.12"
"011106","1","Автономна Республіка Крим","вул.Маршала Жукова, 11, м.Сімферополь, Автономна Республіка Крим, 95035","2128","1112","2110","31","991","25","1016","","0","990","25","1015","41","974","95","3","3","3","6","5","146","399","76","2","1","7","67","1","3","17","108","21","4","7","01.11.12"
"011107","1","Автономна Республіка Крим","вул.Маршала Жукова, 11, м.Сімферополь, Автономна Республіка Крим, 95035","2456","1537","2447","37","886","33","919","","0","886","33","919","55","864","61","4","0","4","4","4","88","261","132","2","3","6","186","1","5","12","52","17","4","18","29.10.12"
"011108","1","Автономна Республіка Крим","вул.Валдайська, 7, м.Сімферополь, Автономна Республіка Крим, 95047","1720","908","1702","12","802","10","812","","0","802","10","812","37","775","51","2","2","2","7","1","138","359","52","3","0","3","28","2","12","6","92","12","0","3","29.10.12"
"011109","1","Автономна Республіка Крим","вул.Маршала Василевського, 16, м.Сімферополь, Автономна Республіка Крим, 95047","2056","1158","2011","12","889","9","898","","0","889","9","898","44","854","101","8","3","5","7","8","149","301","57","1","0","6","54","0","14","14","102","17","5","2","29.10.12"
"011110","1","Автономна Республіка Крим","вул.Генова, 43, м.Сімферополь, Автономна Республіка Крим, 95047","2372","1406","2360","20","949","17","966","","0","947","17","964","40","924","64","3","6","3","7","9","146","414","56","5","0","6","69","0","9","19","85","15","4","4","01.11.12"
"011111","1","Автономна Республіка Крим","вул.Мраморна, 3, м.Сімферополь, Автономна Республіка Крим, 95014","2092","1343","2086","6","743","6","749","","0","743","6","749","35","714","71","1","4","6","5","3","108","254","52","0","0","3","80","1","4","7","97","10","4","4","29.10.12"
"011112","1","Автономна Республіка Крим","вул.Яблочкова, 12, смт Гресівський, м.Сімферополь, Автономна Республіка Крим, 95493","1680","888","1679","13","780","12","792","","0","780","12","792","27","765","63","3","4","3","4","6","169","308","40","5","2","3","27","2","6","10","91","5","7","7","29.10.12"
"011113","1","Автономна Республіка Крим","вул.Енергетиків, 2, смт Гресівський, м.Сімферополь, Автономна Республіка Крим, 95493","2192","1199","2172","22","973","20","993","","0","973","20","993","63","930","88","5","3","7","5","5","226","343","44","4","0","4","25","1","8","18","120","15","3","6","29.10.12"
"011114","1","Автономна Республіка Крим","вул.Яблочкова, 22/9, смт Гресівський, м.Сімферополь, Автономна Республіка Крим, 95493","2108","1133","2090","13","963","12","975","","0","962","12","974","29","945","105","5","7","2","4","7","236","341","53","2","1","7","31","3","6","15","95","13","6","6","01.11.12"
"011115","1","Автономна Республіка Крим","вул.Кржижановського, 22, смт Гресівський, м.Сімферополь, Автономна Республіка Крим, 95493","2136","1241","2111","12","886","9","895","","0","886","9","895","45","850","86","0","4","2","4","3","179","344","41","4","0","8","36","4","10","17","97","7","1","3","29.10.12"
"011116","1","Автономна Республіка Крим","пл.Аеропорта, 17, смт Аерофлотське, м.Сімферополь, Автономна Республіка Крим, 95491","1508","795","1498","11","702","11","713","","0","702","11","713","27","686","68","3","2","3","5","5","131","209","36","0","1","1","47","4","12","21","119","7","8","4","28.10.12"
"011117","1","Автономна Республіка Крим","вул.Зелена, 49, смт Комсомольське, м.Сімферополь, Автономна Республіка Крим, 95494","1784","979","1767","25","783","22","805","","0","783","22","805","41","764","75","4","4","4","10","3","143","312","33","1","1","6","48","1","5","13","84","8","5","4","29.10.12"
"011118","1","Автономна Республіка Крим","пров.Каштановий, 4, смт Комсомольське, м.Сімферополь, Автономна Республіка Крим, 95494","1944","1083","1937","13","848","13","861","","0","848","13","861","44","817","71","4","4","3","11","9","162","306","62","2","1","7","50","2","9","12","76","15","7","4","28.10.12"
"011119","1","Автономна Республіка Крим","вул.Гагаріна, 15, м.Сімферополь, Автономна Республіка Крим, 95026","292","162","135","60","73","57","130","","0","73","57","130","8","122","15","0","2","0","1","0","34","36","8","0","0","1","9","1","1","3","6","1","2","2","28.10.12"
"011120","1","Автономна Республіка Крим","вул.Гайдара, 3Б, м.Сімферополь, Автономна Республіка Крим, 95026","204","79","129","0","125","0","125","","0","125","0","125","22","103","6","0","1","0","0","2","27","40","3","0","0","2","7","0","0","1","12","1","0","1","28.10.12"
"011121","1","Автономна Республіка Крим","вул.Горького, 18, м.Сімферополь, Автономна Республіка Крим, 95000","104","64","40","9","31","9","40","","0","31","9","40","1","39","4","1","1","2","2","2","4","13","2","0","0","1","0","1","2","2","1","0","1","0","28.10.12"
"011122","1","Автономна Республіка Крим","вул.Гагаріна, 15А, м.Сімферополь, Автономна Рсепубліка Крим, 95026","164","40","124","0","124","0","124","","0","124","0","124","8","116","13","0","2","0","1","0","33","32","5","1","0","2","5","0","0","3","12","3","0","4","28.10.12"
"011123","1","Автономна Республіка Крим","вул.Олександра Невського, 27, м.Сімферополь, Автономна Республіка Крим, 95006","560","18","542","252","290","252","542","","0","290","252","542","65","477","36","9","23","9","8","11","94","139","7","5","9","21","11","5","7","18","25","16","10","14","29.10.12"
"011124","1","Автономна Республіка Крим","вул.Київська, 142, м.Сімферополь, Автономна Республіка Крим, 95043","184","5","184","4","175","4","179","","0","175","4","179","3","176","16","0","0","1","0","0","20","77","5","0","0","2","4","0","39","1","9","1","0","1","28.10.12"
"011125","1","Автономна Республіка Крим","вул.Олександра Невського, 27, м.Сімферополь, Автономна Республіка Крим, 95006","132","46","98","2","84","2","86","","0","84","2","86","2","84","4","1","2","1","2","2","11","29","9","0","0","2","4","0","1","1","10","4","0","1","28.10.12"
"011126","1","Автономна Республіка Крим","вул.Семашка, 8, м.Сімферополь, Автономна Республіка Крим, 95026","64","5","59","0","59","0","59","","0","59","0","59","3","56","4","0","0","0","1","0","4","34","5","0","0","0","2","0","0","1","3","1","1","0","28.10.12"
"011127","1","Автономна Республіка Крим","пров.Елеваторний, 4, м.Сімферополь, Автономна Республіка Крим, 95047","1444","39","1406","1","1404","1","1405","","0","1404","1","1405","115","1290","39","10","9","11","12","11","49","892","26","11","2","12","48","6","9","38","39","38","11","17","29.10.12"
"011201","1","Автономна Республіка Крим","вул.Пушкіна, 19/11, м.Сімферополь, Автономна Республіка Крим, 95000","1460","775","1452","17","669","16","685","","0","669","16","685","29","656","50","2","2","7","10","4","149","230","45","1","2","1","27","0","12","29","74","7","3","1","29.10.12"
"011202","1","Автономна Республіка Крим","просп.Кірова, 1, м.Сімферополь, Автономна Республіка Крим, 95011","2000","1104","1994","40","862","34","896","","0","862","34","896","44","852","81","0","8","5","6","6","174","263","58","2","1","3","62","5","14","22","121","12","5","4","28.10.12"
"011203","1","Автономна Республіка Крим","вул.Караїмська, 23, м.Сімферополь, Автономна Республіка Крим, 95011","1956","1032","1939","8","918","6","924","","0","918","6","924","41","883","60","4","2","8","3","6","174","280","88","6","1","8","72","2","14","29","109","6","6","5","29.10.12"
"011204","1","Автономна Республіка Крим","вул.Караїмська, 23, м.Сімферополь, Автономна Республіка Крим, 95011","1992","1224","1973","32","738","30","768","","0","738","30","768","32","736","67","2","1","0","5","2","137","281","41","7","0","15","50","1","2","17","85","17","3","3","30.10.12"
"011205","1","Автономна Республіка Крим","вул.Севастопольська, 54, м.Сімферополь, Автономна Республіка Крим, 95015","2012","1170","2000","16","829","13","842","","0","0","0","842","36","806","51","0","6","10","10","11","154","291","80","0","2","10","45","3","7","22","86","11","4","3","30.10.12"
"011206","1","Автономна Республіка Крим","вул.Севастопольська, 21/4, м.Сімферополь, Автономна Республіка Крим, 95015","1816","991","1838","12","816","9","825","","0","816","9","825","49","776","44","10","11","6","19","10","98","253","92","3","7","17","48","8","8","27","52","21","11","31","29.10.12"
"011207","1","Автономна Республіка Крим","вул.Красноармійська, 166, м.Сімферополь, Автономна Республіка Крим, 95011","2112","1362","2091","15","737","13","750","","0","737","13","750","38","712","53","2","2","9","6","4","164","278","43","2","1","5","35","0","3","17","68","12","5","3","29.10.12"
"011208","1","Автономна Республіка Крим","вул.Красноармійська, 166, м.Сімферополь, Автономна Республіка Крим, 95011","1876","1117","1854","21","740","19","759","","0","740","19","759","38","721","58","0","4","7","3","7","137","302","41","4","0","3","30","0","6","9","93","10","5","2","29.10.12"
"011209","1","Автономна Республіка Крим","вул.Красноармійська, 166, м.Сімферополь, Автономна Республіка Крим, 95011","2284","1580","2262","7","698","6","704","","0","698","6","704","54","650","47","1","0","7","2","3","133","233","59","4","0","6","72","1","5","11","47","11","6","2","29.10.12"
"011210","1","Автономна Республіка Крим","вул.Крилова, 95, м.Сімферополь, Автономна Республіка Крим, 95001","1476","970","1475","11","495","11","506","","0","495","11","506","24","482","42","1","3","2","8","4","88","215","23","2","1","2","17","0","4","7","56","5","0","2","29.10.12"
"011211","1","Автономна Республіка Крим","вул.Тарабукіна, 37, м.Сімферополь, Автономна Республіка Крим, 95029","2020","1240","2007","8","772","8","780","","0","772","8","780","35","745","56","1","4","1","3","5","134","308","57","5","0","5","51","0","3","9","85","12","1","5","29.10.12"
"011212","1","Автономна Республіка Крим","вул.Тарабукіна, 37, м.Сімферополь, Автономна Республіка Крим, 95029","1892","1153","1880","14","727","12","739","","0","727","12","739","39","700","52","2","5","1","4","4","104","330","47","3","0","2","47","0","8","15","64","6","3","3","29.10.12"
"011213","1","Автономна Республіка Крим","вул.Тамбовська, 34, м.Сімферополь, Автономна Республіка Крим, 95015","2400","1313","2380","38","1053","34","1087","","0","1053","34","1087","33","1054","89","0","5","12","4","10","182","444","56","4","2","3","42","1","16","28","141","10","2","3","29.10.12"
"011214","1","Автономна Республіка Крим","вул.Тамбовська, 32, м.Сімферополь, Автономна Республіка Крим, 95015","1612","879","1609","26","709","24","733","","0","709","24","733","36","697","67","1","2","7","8","6","163","262","40","2","2","6","41","2","3","10","54","11","4","6","29.10.12"
"011215","1","Автономна Республіка Крим","вул.Трубаченка, 18А, м.Сімферополь, Автономна Республіка Крим, 95048","2308","1138","2288","13","1159","11","1170","","0","1159","11","1170","26","1144","118","1","4","9","10","11","242","446","62","8","0","6","37","0","8","28","131","15","7","1","29.10.12"
"011216","1","Автономна Республіка Крим","вул.Кримських партизан, 33, м.Сімферополь, Автономна Республіка Крим, 95013","2068","1166","2042","26","882","20","902","","0","882","20","902","33","869","67","2","3","5","10","3","171","346","61","2","1","6","48","0","6","30","91","11","4","2","29.10.12"
"011217","1","Автономна Республіка Крим","вул.Балаклавська, 73, м.Сімферополь, Автономна Республіка Крим, 95048","1620","876","1599","20","729","15","744","","0","729","15","744","27","717","71","5","1","5","7","6","132","274","39","4","2","5","32","1","10","14","94","10","3","2","29.10.12"
"011218","1","Автономна Республіка Крим","вул.Балаклавська, 73, м.Сімферополь, Автономна Республіка Крим, 95048","1652","807","1648","21","826","19","845","","0","826","19","845","38","807","81","3","3","5","8","4","93","390","36","3","4","5","34","0","10","19","93","8","2","6","29.10.12"
"011219","1","Автономна Республіка Крим","вул.Балаклавська, 73, м.Сімферополь, Автономна Республіка Крим, 95048","1692","870","1685","13","809","13","822","","0","809","13","822","34","788","57","0","2","4","9","7","107","376","22","3","1","11","44","0","4","23","97","8","7","6","29.10.12"
"011220","1","Автономна Республіка Крим","вул.Балаклавська, 73, м.Сімферополь, Автономна Республіка Крим, 95048","1704","846","1701","25","836","22","858","","0","836","22","858","39","819","66","1","1","8","16","2","117","317","98","4","0","4","58","0","8","18","74","14","6","7","29.10.12"
"011221","1","Автономна Республіка Крим","вул.Аерофлотська, 5, м.Сімферополь, Автономна Республіка Крим, 95024","1616","826","1599","8","782","8","790","","0","782","8","790","42","748","73","3","0","7","1","3","130","288","42","5","0","5","33","0","7","102","17","17","7","8","01.11.12"
"011222","1","Автономна Республіка Крим","вул.Севастопольська, 45, м.Сімферополь, Автономна Республіка Крим, 95013","2264","1239","2251","33","996","29","1025","","2","991","29","1020","31","989","90","2","0","9","11","7","179","390","62","0","0","4","66","0","11","33","100","18","5","2","31.10.12"
"011223","1","Автономна Республіка Крим","вул.Аерофлотська, 5, м.Сімферополь, Автономна Республіка Крим, 95024","1672","816","1676","22","840","16","856","","0","840","16","856","44","812","68","1","1","4","13","9","189","281","41","4","1","6","34","2","4","20","116","12","4","2","29.10.12"
"011224","1","Автономна Республіка Крим","вул.Баррикадна, 59, м.Сімферополь, Автономна Республіка Крим, 95024","1628","865","1625","41","724","39","763","","0","722","39","761","37","724","36","0","1","1","9","4","173","303","40","3","0","5","31","0","5","15","87","9","1","1","29.10.12"
"011225","1","Автономна Республіка Крим","вул.60-лєт Октября, 7, м.Сімферополь, Автономна Республіка Крим, 95044","1764","982","1766","52","737","45","782","","0","737","45","782","31","751","53","0","4","9","3","6","147","331","41","1","3","3","31","2","6","19","67","12","3","10","29.10.12"
"011226","1","Автономна Республіка Крим","вул.60-лєт Октября, 7, м.Сімферополь, Автономна Республіка Крим, 95044","1744","932","1728","28","789","23","812","","0","789","23","812","42","770","82","2","4","0","9","6","151","270","47","2","2","3","32","1","10","21","116","8","4","0","28.10.12"
"011227","1","Автономна Республіка Крим","вул.Барикадна, 59, м.Сімферополь, Автономна Республіка Крим, 95024","1920","1012","1902","23","887","21","908","","0","887","21","908","43","865","89","3","4","3","11","8","137","357","54","2","1","7","46","3","12","19","94","11","2","2","29.10.12"
"011228","1","Автономна Республіка Крим","вул.Барикадна, 59, м.Сімферополь, Автономна Республіка Крим, 95024","1832","973","1826","37","828","31","859","","0","827","31","858","43","815","57","2","4","9","11","6","149","351","36","0","2","4","40","0","2","16","107","11","4","4","01.11.12"
"011229","1","Автономна Республіка Крим","вул.Аральська, 57А, м.Сімферополь, Автономна Республіка Крим, 95044","1996","1039","1995","25","939","18","957","","0","939","18","957","40","917","106","1","1","4","5","3","169","391","55","2","4","1","34","0","2","21","106","8","4","0","29.10.12"
"011230","1","Автономна Республіка Крим","вул.Аральська, 57А, м.Сімферополь, Автономна Республіка Крим, 95044","1748","829","1735","21","903","16","919","","0","901","16","917","32","885","131","2","2","3","3","8","191","355","42","1","0","9","18","3","10","11","81","13","1","1","29.10.12"
"011231","1","Автономна Республіка Крим","вул.Аральська, 59, м.Сімферополь, Автономна Республіка Крим, 95044","1732","864","1708","16","855","13","868","","0","855","13","868","36","832","118","1","1","9","4","7","165","275","49","3","2","7","41","0","7","19","111","8","1","4","28.10.12"
"011232","1","Автономна Республіка Крим","вул.Барикадна, 59, м.Сімферополь, Автономна Республіка Крим, 95044","2064","1088","2036","32","944","32","976","","0","944","32","976","31","945","95","1","7","7","7","8","182","384","57","5","0","4","40","1","8","21","100","12","3","3","29.10.12"
"011233","1","Автономна Республіка Крим","вул.Кримських партизан, 13, м.Сімферополь, Автономна Республіка Крим, 95013","2032","1054","2014","40","946","32","978","","0","946","32","978","34","944","124","4","2","10","2","12","196","343","56","1","1","9","44","2","11","14","104","7","2","0","29.10.12"
"011234","1","Автономна Республіка Крим","вул.Севастопольська, 45, м.Сімферополь, Автономна Республіка Крим, 95013","2024","1004","2011","93","934","86","1020","","3","933","86","1019","28","991","62","0","4","17","3","9","166","443","39","2","0","5","69","0","10","25","119","9","4","5","01.11.12"
"011235","1","Автономна Республіка Крим","вул.Севастопольська, 84, м.Сімферополь, Автономна Республіка Крим, 95013","1920","962","1935","45","915","43","958","","0","915","43","958","42","916","81","1","4","9","9","10","192","339","52","1","2","10","50","0","5","24","99","15","8","5","29.10.12"
"011236","1","Автономна Республіка Крим","вул.Севастопольська, 82, м.Сімферополь, Автономна Республіка Крим, 95021","2228","1394","2211","28","810","24","834","","0","810","24","834","23","811","102","2","1","9","3","5","136","322","51","4","1","6","50","1","11","14","74","16","1","2","29.10.12"
"011237","1","Автономна Республіка Крим","вул.1-ої Кінної Армії, 86А, м.Сімферополь, Автономна Республіка Крим, 95044","2028","931","2007","29","1072","25","1097","","0","1072","25","1097","43","1054","125","2","5","3","3","11","226","402","60","7","1","3","28","0","8","20","126","17","3","4","29.10.12"
"011238","1","Автономна Республіка Крим","вул.1-ої Кінної Армії, 33, м.Сімферополь, Автономна Республіка Крим, 95024","1880","923","1875","20","940","17","957","","0","940","17","957","42","915","90","0","4","0","6","14","145","419","38","1","0","3","41","1","5","20","118","6","1","3","28.10.12"
"011239","1","Автономна Республіка Крим","вул.1-ої Кінної Армії, 19А, м.Сімферополь, Автономна Республіка Крим, 95024","2112","1067","2097","29","1019","26","1045","","0","1019","26","1045","45","1000","84","4","6","2","5","7","164","420","56","7","2","3","54","2","9","18","127","21","3","6","29.10.12"
"011240","1","Автономна Республіка Крим","вул.60-лєт Октября, 30, м.Сімферополь, Автономна Республіка Крим, 95024","1880","997","1849","35","852","31","883","","0","852","31","883","33","850","88","3","1","7","8","8","147","361","65","2","1","2","35","0","9","16","77","13","1","6","29.10.12"
"011241","1","Автономна Республіка Крим","вул.1-ої Кінної Армії, 33, м.Сімферополь, Автономна Республіка Крим, 95024","1860","1110","1838","19","734","16","750","","0","734","16","750","37","713","46","1","3","3","5","2","124","238","77","1","1","5","119","5","4","15","44","10","1","9","29.10.12"
