"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Вакулін
Дмитро
Сергійович","Голубєв
Михайло
Михайлович","Груба
Григорій
Іванович","Гуріненко
Олексій
Миколайович","Казарін
Володимир
Павлович","Книрік
Костянтин
Сергійович","Коз’якова
Ірена
В’ячеславівна","Костюк
Віктор
Георгійович","Крутов
Сергій
Валерійович","Макєєв
Михайло
Андрійович","Миронов
Олександр
Володимирович","Писана
Олена
Вікторівна","Поздняков
Андрій
Володимирович","Похилюк
Євгеній
Олександрович","Ременюк
Олексій
Іванович","Решетнікова
Світлана
Анатоліївна","Сейненський
Алішер
Вікторович","Терещенко
Олена
Вікторівна","Тещаєва
Олена
Володимирівна","Тутєров
Володимир
Лукич","Устіменко
Андрій
Ігорович","Хруслова
Ліліана
Мударисівна","Чийгоз
Ахтем
Зейтуллайович"
"010001","10","Автономна Республіка Крим","школа інтернат, їдальня
вул.Басенко, 39, м.Бахчисарай, Бахчисарайський р-н, Автономна Республіка Крим, 98405","315","232","309","0","83","0","83","","0","83","0","83","2","81","1","5","20","1","1","2","0","0","0","0","0","1","4","0","25","0","0","0","0","2","0","1",""
"010002","10","Автономна Республіка Крим","школа майстрів, актова зала
вул.Леніна, 95, м.Бахчисарай, Бахчисарайський р-н, Автономна Республіка Крим, 98405","1200","732","1210","8","461","7","468","","0","461","7","468","20","448","13","40","128","1","4","13","0","4","5","5","9","3","49","5","61","2","1","6","1","15","2","1",""
"010003","10","Автономна Республіка Крим","товариство сліпих, їдальня
вул.М.Спаї, 24, м.Бахчисарай, Бахчисарайський р-н, Автономна Республіка Крим, 98405","1572","1030","1554","0","542","0","542","","0","542","0","542","26","516","24","56","135","2","5","28","1","0","1","5","3","1","19","3","72","2","2","4","1","14","1","1",""
"010004","10","Автономна Республіка Крим","РАЙПО, актова зала
вул.Сімферопольська, 5, м.Бахчисарай, Бахчисарайський р-н, Автономна Республіка Крим, 98403","1230","813","1215","0","417","0","417","","0","417","0","417","27","390","17","44","123","1","0","16","1","1","2","6","4","2","13","1","58","2","0","0","4","10","3","0",""
"010005","10","Автономна Республіка Крим","школа №1, актова зала
вул.Сімферопольська, 7, м.Бахчисарай, Бахчисарайський р-н, Автономна Республіка Крим, 98403","1305","657","1264","35","615","33","648","","0","615","33","648","23","625","52","64","235","4","4","27","8","10","2","9","4","10","17","3","76","7","2","4","1","15","6","4",""
"010006","10","Автономна Республіка Крим","ПРІК ПР ООН, хол
вул.Яшлик, 110, м.Бахчисарай, Бахчисарайський р-н, Автономна Республіка Крим, 98400","1155","648","1144","7","500","7","507","","0","500","7","507","10","497","14","4","19","1","1","3","0","0","1","1","0","0","5","1","7","0","2","1","1","12","0","2",""
"010007","10","Автономна Республіка Крим","будинок культури, хол
вул.Сімферопольська, 15, м.Бахчисарай, Бахчисарайський р-н, Автономна Республіка Крим, 98403","1620","991","1612","22","609","20","629","","0","609","20","629","24","605","29","69","220","3","3","24","4","0","2","6","4","5","7","4","130","2","2","6","0","15","0","1",""
"010008","10","Автономна Республіка Крим","приміщення червоного кута споживчого товариства
вул.Македонського, 88, м.Бахчисарай, Бахчисарайський р-н, Автономна Республіка Крим, 98403","1584","829","1630","8","747","8","755","","0","747","8","755","32","723","25","94","241","7","6","30","2","3","2","7","8","6","17","1","93","3","3","11","0","21","2","1",""
"010009","10","Автономна Республіка Крим","ОПФК ""Контакт"" зал
вул.Строітельна, 23, м.Бахчисарай, Бахчисарайський р-н, Автономна Республіка Крим, 98400","1233","777","1239","2","454","2","456","","0","454","2","456","16","440","22","31","73","1","6","10","0","0","0","4","10","5","17","1","85","2","2","2","2","15","0","2",""
"010010","10","Автономна Республіка Крим","дитячий садок, хол
вул.Фіданлар, 575, м.Бахчисарай, Бахчисарайський р-н, Автономна Республіка Крим, 98400","1539","887","1524","1","651","1","652","","0","651","1","652","32","620","40","5","19","1","4","5","1","0","0","0","1","0","5","1","19","1","12","5","1","2","3","6",""
"010011","10","Автономна Республіка Крим","зрошувальні системи, фойє
вул.Ломоносова, 9/17, м.Бахчисарай, Бахчисарайський р-н, Автономна Республіка Крим, 98404","855","480","845","13","364","11","375","","0","364","11","375","20","355","14","44","120","3","2","24","3","2","0","3","4","0","5","1","73","1","4","3","0","6","1","2",""
"010012","10","Автономна Республіка Крим","гуртожиток, хол
вул.Кримська, 12, м.Бахчисарай, Бахчисарайський р-н, Автономна Республіка Крим, 98404","1800","1119","1781","37","645","36","681","","0","645","36","681","30","651","25","95","225","0","3","56","6","4","1","5","7","5","18","2","81","3","1","3","3","19","0","1",""
"010013","10","Автономна Республіка Крим","музична школа, фойє
вул.Советська, 4, м.Бахчисарай, Бахчисарайський р-н, Автономна Республіка Крим, 98400","1308","727","1296","12","569","12","581","","0","569","12","581","20","561","21","46","92","4","3","32","0","0","1","0","6","2","8","3","87","0","3","0","0","20","1","4",""
"010014","10","Автономна Республіка Крим","школа №3, їдальня
вул.Макаренко, 3, м.Бахчисарай, Бахчисарайський р-н, Автономна Республіка Крим, 98404","2010","1078","1995","32","902","30","932","","0","902","30","932","46","886","24","144","285","7","7","64","7","0","3","2","12","5","38","2","171","3","1","9","1","39","3","0",""
