"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Багатирли
Еміне
Бахтіярівна","Болтян
Олександр
Олексійович","Бушковський
Яків
Гаррієвич","Гаврилюк
Олена
Анатоліївна","Гавриш
Микола
Миколайович","Денисенко
Олександр
Петрович","Дузь
Вікторія
Вікторівна","Кісієва
Людмила
Олександрівна","Кудінова
Юлія
Сергіївна","Матюшенко
Юрій
Федорович","Мирочников
Яков
Михайлович","Міщенко
Олександр
Валентинович","Нетецька
Олена
Анатоліївна","Петрик
Сергій
Михайлович","Пилипенко
Віталій
Федорович","П’яних
Микола
Васильович","Рижак
Олександр
Миколайович","Тарасенко
Олександр
Георгійович","Федоров
Едуард
Анатолійович","Чимпоєш
Андрій
Михайлович","Шкляр
Володимир
Борисович","Дата підписання протоколу"
"010137","3","Автономна Республіка Крим","будинок творчості, зала
вул.Леніна, 43, смт Азовське, Джанкойський р-н, Автономна Республіка Крим, 96178","1868","1017","1857","62","800","51","851","","0","800","51","851","36","815","66","11","5","1","63","0","4","2","1","1","0","1","322","2","2","4","3","1","3","3","320","31.10.12"
"010138","3","Автономна Республіка Крим","школа, фойє
вул.Гагаріна, 1, смт Азовське, Джанкойський р-н, Автономна Республіка Крим, 96178","1232","671","1223","39","526","35","561","","0","526","35","561","13","548","69","6","3","2","40","0","1","2","0","1","1","2","198","3","0","2","8","4","7","1","198","29.10.12"
"010139","3","Автономна Республіка Крим","будинок культури, фойє
вул.Чкалова, 6, смт Вільне, Джанкойський р-н, Автономна Республіка Крим, 96186","1644","1041","1633","16","589","14","603","","0","589","14","603","22","581","43","4","3","4","64","2","6","1","5","1","1","6","328","0","1","4","3","5","3","0","97","29.10.12"
"010140","3","Автономна Республіка Крим","будинок культури, актова зала
вул.Гагаріна, 1А, с.Єрмакове, Джанкойський р-н, Автономна Республіка Крим, 96123","792","362","782","36","397","33","430","","0","397","33","430","19","411","37","6","4","3","62","3","2","1","2","2","2","4","198","1","2","0","5","2","3","0","72","29.10.12"
"010141","3","Автономна Республіка Крим","сільський клуб, актова зала
вул.Тітова, 1, с.Солоне Озеро, Джанкойський р-н, Автономна Республіка Крим, 96124","672","297","664","56","334","41","375","","0","334","41","375","20","355","51","3","4","7","17","1","1","3","1","2","1","0","179","0","1","2","9","3","0","2","68","28.10.12"
"010142","3","Автономна Республіка Крим","школа, навчальний клас
вул.Шкільна, 4, с.Стовпове, Джанкойський р-н, Автономна Республіка Крим, 96125","172","59","172","6","107","6","113","","0","107","6","113","1","112","14","1","0","0","2","0","0","0","0","0","0","2","57","0","0","1","2","1","3","0","29","28.10.12"
"010143","3","Автономна Республіка Крим","сільська бібліотека, читальна зала
вул.Кримська, 47А, с.Придорожнє, Джанкойський р-н, Автономна Республіка Крим, 96125","604","293","599","33","283","28","311","","0","283","28","311","19","292","43","5","0","0","16","0","1","2","0","1","0","1","154","3","1","1","4","3","1","2","54","28.10.12"
"010144","3","Автономна Республіка Крим","школа, вестибюль
вул.Шевченко, 42, с.Завіт-Ленінський, Джанкойський р-н, Автономна Республіка Крим, 96126","2192","1152","2164","55","989","51","1040","","0","989","51","1040","31","1009","89","8","3","7","82","3","2","1","3","2","4","5","657","2","4","0","5","4","9","5","114","28.10.12"
"010145","3","Автономна Республіка Крим","сільська бібліотека, бібліотечна зала
вул.Житомирська, 6, с.Пушкіне, Джанкойський р-н, Автономна Республіка Крим, 96127","348","173","346","16","159","16","175","","0","159","16","175","7","168","14","0","3","1","10","0","1","5","0","1","0","0","55","0","1","0","0","1","2","0","74","29.10.12"
"010146","3","Автономна Республіка Крим","школа, спортивна зала
вул.Гагаріна, 59, с.Мартинівка, Джанкойський р-н, Автономна Республіка Крим, 96128","652","328","653","50","281","43","324","","0","281","43","324","8","316","40","0","2","3","14","1","2","1","3","2","0","3","181","2","0","2","0","0","5","1","54","28.10.12"
"010147","3","Автономна Республіка Крим","сільська бібліотека, бібліотечна зала
вул.Леніна, 3Б, с.Солонцеве, Джанкойський р-н, Автономна Республіка Крим, 96128","196","93","201","6","100","3","103","","0","100","3","103","5","98","13","0","3","1","8","1","0","0","0","0","1","1","23","0","1","0","0","1","0","0","45","28.10.12"
