"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Акопова
Світлана
Миколаївна","Білошицький
Кирило
Леонідович","Виноградов
Володимир
Петрович","Гафич
Ігор
Васильович","Гриб
Анатолій
Миколайович","Дмитрієв
Павло
Олександрович","Колесник
Віктор
Олександрович","Котляревський
Микола
Миколайович","Кочармін
Олексій
Олексійович","Крачун
Сергій
Володимирович","Лутьєв
Володимир
Григорович","Матящук
Володимир
Петрович","Нірський
Олександр
Михайлович","Павлів
Ігор
Володимирович","Парасків
Олег
Дмитрович","Польченко
Андрій
Григорійович","Прадун
Валентин
Пантелійович","Пудов
Петро
Петрович","Раханський
Анатолій
Варфоломійович","Шевцов
Василь
Дмитрович","Шкабєрін
Володимир
Миколайович","Шпаченко
Оксана
Онілівна","Юрченко
Валентина
Семенівна"
"000001","4","Автономна Республіка Крим","спортивна зала
вул.Леніна, 27, м.Саки, Автономна Республіка Крим, 96500","52","37","15","0","15","0","15","","0","15","0","15","0","15","2","0","0","1","1","0","0","4","1","1","1","0","0","0","3","0","1","0","0","0","0","0",""
"010494","4","Автономна Республіка Крим","будинок культури, хол
пл.ім.Степанова, 1, с.Оріхове, Сакський р-н, Автономна Республіка Крим, 96570","1448","785","1418","19","646","17","663","","0","646","17","663","33","630","6","56","5","20","1","2","5","141","2","1","7","4","1","3","202","3","17","0","10","14","122","4",""
"010495","4","Автономна Республіка Крим","Оріховська школа, хол
вул.Шкільна, 1, с.Оріхове, Сакський р-н, Автономна Республіка Крим, 96570","1132","576","1117","11","545","11","556","","0","545","11","556","25","531","5","30","7","17","2","0","4","129","0","6","5","0","3","3","168","11","23","0","5","12","88","2",""
"010496","4","Автономна Республіка Крим","сільський клуб, актова зала
вул.Верхньо-Продольна, 2А, с.Михайлівка, Сакський р-н, Автономна Республіка Крим, 96573","1452","775","1437","22","659","18","677","","0","659","18","677","23","654","5","62","2","28","2","3","6","103","3","5","13","2","3","2","264","3","44","2","27","12","50","4",""
"010497","4","Автономна Республіка Крим","Михайлівська школа, спортивна зала
вул.Шкільна, 1, с.Михайлівка, Сакський р-н, Автономна Республіка Крим, 96573","1196","598","1188","45","555","43","598","","0","555","43","598","20","578","5","42","8","18","2","0","6","71","1","5","6","2","3","2","275","6","21","3","11","10","73","2",""
"010498","4","Автономна Республіка Крим","Червонівська школа, хол
вул.Широка, 4, с.Червоне, Сакський р-н, Автономна Республіка Крим, 96572","1728","960","1716","28","742","26","768","","0","742","26","768","26","742","2","39","3","16","2","1","3","212","1","3","4","0","0","1","177","3","15","2","11","5","230","7",""
"010499","4","Автономна Республіка Крим","Чоботарська школа-інтернат, хол
вул.Шкільна, 7, с.Чоботарка, Сакський р-н, Автономна Республіка Крим, 96584","200","90","197","1","109","1","110","","0","109","1","110","6","104","0","8","2","3","0","1","0","16","0","0","0","1","0","1","55","1","2","0","1","1","11","0",""
"010500","4","Автономна Республіка Крим","ТОВ ""Набіс"", їдальня
пл.Леніна, 5, с.Іванівка, Сакський р-н, Автономна Республіка Крим, 96575","1744","763","1733","47","941","40","981","","0","941","40","981","48","933","5","36","4","46","3","0","5","324","3","1","9","2","2","6","331","6","24","3","5","7","103","6",""
"010501","4","Автономна Республіка Крим","палац культури, хол
вул.Гагаріна, 2А, с.Фрунзе, Сакський р-н, Автономна Республіка Крим, 96576","2380","1161","2347","32","1189","30","1219","","0","1189","30","1219","45","1174","10","130","15","30","8","3","16","196","8","6","14","5","3","4","489","15","47","3","26","13","96","14",""
"010502","4","Автономна Республіка Крим","Крайненська школа, актова зала
вул.Леніна, 32, с.Крайнє, Сакський р-н, Автономна Республіка Крим, 96546","792","373","785","37","384","35","419","","0","384","35","419","14","405","2","11","4","19","1","2","3","155","1","2","2","0","1","1","152","3","20","0","5","0","17","2",""
