"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Антілогов
Віктор
Миколайович","Банников
Олександр
Геннадійович","Букін
Денис
Олександрович","Вербов
Андрій
Олександрович","Гончаренко
Андрій
Андрійович","Жадов
Юрій
Дмитрович","Кулак
Костянтин
Васильович","Купчишина
Діна
Леонідівна","Льовочкіна
Юлія
Володимирівна","Меньщиков
Сергій
Олександрович","Мокренюк
Сергій
Миколайович","Погребняк
Ігор
Анатолійович","Самадінов
Алмір
Шевкетович","Татарінов
Юрій
Анатолійович","Ткачук
Сергій
Васильович","Харін
Олександр
Васильович","Чорний
Петро
Володимирович","Шувайников
Сергій
Іванович","Дата підписання протоколу"
"000001","6","Автономна Республіка Крим","актова зала
вул.Руська, 6, м.Феодосія, Автономна Республіка Крим, 98100","16","2","14","0","14","0","14","","0","14","0","14","1","13","1","1","0","2","1","1","1","0","6","0","0","0","0","0","0","0","0","0","28.10.12"
"010215","6","Автономна Республіка Крим","будинок культури ""Дружба"", фойє
вул.Люксембург Рози, 8, смт Кіровське, Кіровський р-н, Автономна Республіка Крим, 97300","1960","1001","1956","45","919","40","959","","0","919","40","959","31","928","11","4","9","5","9","107","40","10","582","1","5","6","28","5","7","6","76","17","29.10.12"
"010216","6","Автономна Республіка Крим","центр ДіЮТ, актова зала
вул.Люксембург Рози, 47, смт Кіровське, Кіровський р-н, Автономна Республіка Крим, 97300","1832","971","1815","55","815","46","861","","0","815","46","861","18","843","14","3","5","1","2","74","52","3","411","4","11","4","60","9","12","3","162","13","29.10.12"
"010217","6","Автономна Республіка Крим","школа №1, фойє
вул.Шкільна, 7, смт Кіровське, Кіровський р-н, Автономна Республіка Крим, 97300","1968","923","1943","63","990","55","1045","","0","990","55","1045","22","1023","11","6","8","3","1","111","53","5","648","2","3","7","25","9","12","3","96","20","29.10.12"
"010218","6","Автономна Республіка Крим","молодіжний центр ""Мечта"", танцювальна зала
вул.Леніна, 80, м.Старий Крим, Кіровський р-н, Автономна Республіка Крим, 97345","2104","1122","2084","28","963","19","982","","0","963","19","982","42","940","3","4","7","3","3","101","21","4","567","4","2","6","62","7","7","5","116","18","29.10.12"
"010219","6","Автономна Республіка Крим","школа-ліцей №3, спортивна зала
вул.Павлика Ларишкіна, 1, м.Старий Крим, Кіровський р-н, Автономна Республіка Крим, 97345","432","224","426","1","207","1","208","","0","207","1","208","8","200","1","1","0","2","1","15","6","0","132","2","0","0","13","1","0","1","18","7","28.10.12"
"010220","6","Автономна Республіка Крим","центр ДіЮТ, танцювальна зала
вул.Леніна, 135, м.Старий Крим, Кіровський р-н, Автономна Республіка Крим, 97345","1208","648","1193","10","551","9","560","","0","551","9","560","24","536","2","1","2","3","3","48","20","5","326","1","1","3","22","4","7","1","78","9","28.10.12"
"010221","6","Автономна Республіка Крим","будинок культури, мала зала
вул.Леніна, 101, м.Старий Крим, Кіровський р-н, Автономна Республіка Крим, 97345","2032","1191","2017","21","826","15","841","","0","826","15","841","34","807","10","5","2","6","5","47","31","0","382","3","4","8","65","7","8","3","206","15","28.10.12"
"010222","6","Автономна Республіка Крим","школа-гімназія №1, хол
вул.Карла Лібкнехта, 33, м.Старий Крим, Кіровський р-н, Автономна Республіка Крим, 97345","1676","954","1683","25","700","22","722","","0","700","22","722","22","700","2","4","3","2","2","43","26","3","350","1","5","0","58","4","5","4","174","14","28.10.12"
"010223","6","Автономна Республіка Крим","сільський клуб, фойє
вул.Советська, 84, с.Журавки, Кіровський р-н, Автономна Республіка Крим, 97321","1224","547","1204","61","622","55","677","","0","622","55","677","20","657","5","2","3","1","4","31","23","5","347","3","11","2","48","2","5","4","147","14","29.10.12"
"010224","6","Автономна Республіка Крим","школа, фойє
вул.Советська, 139, с.Журавки, Кіровський р-н, Автономна Республіка Крим, 97321","1240","538","1237","49","653","49","702","","0","653","49","702","20","682","8","2","5","2","1","31","18","10","464","3","11","1","17","0","3","4","93","9","29.10.12"
"010225","6","Автономна Республіка Крим","сільський клуб, зала
вул.Ювілейна, 2, с.Новопокровка, Кіровський р-н, Автономна Республіка Крим, 97322","1136","511","1130","45","581","44","625","","0","581","44","625","24","601","12","5","5","0","2","28","6","6","425","0","3","2","7","4","3","5","85","3","28.10.12"
"010226","6","Автономна Республіка Крим","школа, фойє старого корпусу
вул.Леніна, 28Б, с.Ярке Поле, Кіровський р-н, Автономна Республіка Крим, 97313","1956","1081","1933","22","856","19","875","","0","856","19","875","40","835","11","6","12","1","7","63","28","2","454","1","17","4","43","4","5","12","148","17","29.10.12"
"010227","6","Автономна Республіка Крим","школа, фойє нового корпусу
вул.Леніна, 28В, с.Ярке Поле, Кіровський р-н, Автономна Республіка Крим, 97313","1720","898","1706","14","809","13","822","","0","809","13","822","38","784","9","4","5","4","4","46","28","4","472","1","9","3","36","8","6","8","124","13","29.10.12"
"010228","6","Автономна Республіка Крим","ФАП, фойє
вул.Радянська, 24Б, с.Красносільське, Кіровський р-н, Автономна Республіка Крим, 97351","356","169","353","12","176","11","187","","0","176","11","187","8","179","0","0","1","0","2","5","12","3","77","1","4","0","23","1","0","1","47","2","29.10.12"
"010229","6","Автономна Республіка Крим","сільський клуб, фойє
вул.Калініна, 29А, с.Трудолюбівка, Кіровський р-н, Автономна Республіка Крим, 97308","440","135","434","9","296","9","305","","0","296","9","305","8","297","2","0","4","0","2","11","10","1","199","3","1","1","25","3","2","1","27","5","29.10.12"
"010230","6","Автономна Республіка Крим","сільський клуб, фойє
вул.Клубна, 1А, с.Оріхівка, Кіровський р-н, Автономна Республіка Крим, 97313","264","91","272","10","163","10","173","","0","163","10","173","4","169","0","0","2","0","3","6","5","0","74","1","0","1","9","1","2","1","60","4","28.10.12"
"010231","6","Автономна Республіка Крим","будинок культури, фойє
вул.Леніна, 41А, с.Владиславівка, Кіровський р-н, Автономна Республіка Крим, 97320","1216","619","1203","52","550","47","597","","0","550","47","597","26","571","7","3","4","5","2","32","18","5","394","4","9","1","31","6","1","1","36","12","28.10.12"
"010232","6","Автономна Республіка Крим","школа, фойє
вул.Федосєєва, 1, с.Владиславівка, Кіровський р-н, Автономна Республіка Крим, 97320","1360","696","1353","40","631","33","664","","0","631","33","664","25","639","4","1","8","6","2","36","17","1","474","0","4","3","14","6","2","1","55","5","28.10.12"
"010233","6","Автономна Республіка Крим","школа, актова зала
вул.Суворова, 3, с.Партизани, Кіровський р-н, Автономна Республіка Крим, 97340","1256","646","1252","50","570","40","610","","0","570","40","610","23","587","1","2","0","1","2","36","23","5","420","1","3","3","32","3","5","2","29","19","28.10.12"
"010234","6","Автономна Республіка Крим","будинок культури, зала одружень
вул.Гоголя, 5А, с.Синицине, Кіровський р-н, Автономна Республіка Крим, 97312","1064","431","1050","58","579","54","633","","0","579","54","633","24","609","24","3","2","0","5","61","8","4","346","3","1","1","18","1","3","4","117","8","29.10.12"
"010235","6","Автономна Республіка Крим","ФАП, фойє
вул.Виноградна, 7А, с.Краснівка, Кіровський р-н, Автономна Республіка Крим, 97312","128","31","133","4","93","4","97","","0","93","4","97","3","94","17","1","0","0","1","1","0","0","61","0","0","1","2","2","1","0","6","1","28.10.12"
"010236","6","Автономна Республіка Крим","сільський клуб, фойє
вул.Нова, 2А, с.Василькове, Кіровський р-н, Автономна Республіка Крим, 97312","252","96","247","4","152","4","156","","0","152","4","156","4","152","10","0","2","2","3","5","10","1","70","0","1","0","19","2","5","3","19","0","28.10.12"
"010237","6","Автономна Республіка Крим","сільський клуб, фойє
вул.Шкільна, 3А, с.Токарєве, Кіровський р-н, Автономна Республіка Крим, 97310","756","326","747","24","407","23","430","","0","407","23","430","19","411","2","3","7","1","0","35","7","3","283","1","0","1","6","4","2","2","46","8","29.10.12"
"010238","6","Автономна Республіка Крим","дитячий садок ""Ивушка"", зала
вул.Леніна, 67, с.Шубине, Кіровський р-н, Автономна Республіка Крим, 97311","720","311","714","20","389","20","409","","0","389","20","409","15","394","5","0","1","2","1","20","5","2","270","0","0","3","7","3","5","3","65","2","29.10.12"
"010239","6","Автономна Республіка Крим","будинок культури, мала зала
вул.Трудова, 13А, с.Привітне, Кіровський р-н, Автономна Республіка Крим, 97341","2344","1224","2325","66","1059","61","1120","","0","1059","61","1120","44","1076","6","9","4","4","3","70","20","4","788","1","8","1","75","8","18","7","45","5","28.10.12"
"010240","6","Автономна Республіка Крим","школа, актова зала
вул.Центральна, 16А, с.Золоте Поле, Кіровський р-н, Автономна Республіка Крим, 97330","2172","1092","2155","59","1032","48","1080","","0","1032","48","1080","34","1046","8","5","12","3","7","82","25","3","742","2","5","1","30","4","5","2","98","12","29.10.12"
"010241","6","Автономна Республіка Крим","сільський клуб, фойє
вул.Набережна, 10, с.Відродження, Кіровський р-н, Автономна Республіка Крим, 97331","552","210","549","31","313","29","342","","0","313","29","342","10","332","3","0","0","1","4","13","17","3","217","2","1","0","7","2","1","1","56","4","28.10.12"
"010242","6","Автономна Республіка Крим","будинок культури, фойє
вул.Гагаріна, 11, с.Льговське, Кіровський р-н, Автономна Республіка Крим, 97332","1532","634","1522","62","838","60","898","","0","838","60","898","24","874","4","1","9","1","2","83","16","5","557","4","4","4","38","6","7","3","122","8","29.10.12"
"010243","6","Автономна Республіка Крим","ФАП, фойє
вул.Некрасова, 39, Добролюбовка, Кіровський р-н, Автономна Республіка Крим, 97333","224","64","223","5","155","5","160","","0","155","5","160","7","153","3","2","2","0","0","4","10","1","81","0","1","0","19","3","1","0","24","2","28.10.12"
"010244","6","Автономна Республіка Крим","сільський клуб, танцювальна зала
вул.Жовтнева, 9, с.Пруди, Кіровський р-н, Автономна Республіка Крим, 97333","240","105","237","10","125","10","135","","0","125","10","135","5","130","1","2","0","2","1","6","6","1","72","0","0","0","8","2","2","0","23","4","29.10.12"
"010245","6","Автономна Республіка Крим","будинок культури, фойє
вул.Леніна, 12, с.Абрикосівка, Кіровський р-н, Автономна Республіка Крим, 97342","964","368","953","33","568","28","596","","0","568","28","596","27","569","4","4","0","1","3","45","25","2","405","2","2","1","10","2","4","4","50","5","29.10.12"
"010246","6","Автономна Республіка Крим","дитячий садок, фойє
вул.Кооперативна, 2А, с.Бабенкове, Кіровський р-н, Автономна Республіка Крим, 97344","520","222","518","27","272","26","298","","0","272","26","298","13","285","5","7","5","0","0","39","4","1","172","2","4","2","14","0","3","1","25","1","29.10.12"
"010247","6","Автономна Республіка Крим","сільський клуб, фойє
вул.Шкільна, 15, с.Кринички, Кіровський р-н, Автономна Республіка Крим, 97344","396","144","397","8","245","7","252","","0","245","7","252","21","231","0","0","5","2","2","11","15","2","142","0","3","0","13","0","1","1","32","2","29.10.12"
