"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Агальцов-Новохатський
Анатолій
Андрійович","Балмашнов
Михайло
Юрійович","Бондаренко
Максим
Олексійович","Брайко
Сергій
Борисович","Дорофєєв
Ігор
Іванович","Зорін
Ігор
Володимирович","Карапетров
Андрій
Миколайович","Красненков
Яків
Олександрович","Рафалович
Віктор
Павлович","Романюк
Ігор
Анатолійович","Сальков
Данило
Володимирович","Тараненко
Григорій
Леонідович","Формус
Юрій
Віталійович","Хворов
Сергій
Володимирович","Хоруженко
Максим
Сергійович","Чайка
Дмитро
Іванович","Яворський
Віталій
Миколайович","Яковенко
Олексій
Вікторович","Дата підписання протоколу"
"010717","7","Автономна Республіка Крим","санаторій ""Морський куточок"", хол, 1-й поверх
вул.Набережна, 6, м.Алушта, Автономна Республіка Крим, 98500","232","119","242","2","112","1","113","","0","112","1","113","2","111","1","4","0","72","2","1","1","2","10","4","0","1","8","3","0","0","1","1","29.10.12"
"010718","7","Автономна Республіка Крим","пансіонат ""Польот"", хол, 1-й поверх
вул.Жовтнева, 10, м.Алушта, Автономна Республіка Крим, 98515","556","304","556","0","252","0","252","","0","250","0","250","13","237","2","5","0","104","2","3","2","15","30","7","0","18","24","10","2","2","4","7","29.10.12"
"010719","7","Автономна Республіка Крим","малий клуб санаторію ""Алуштинський"", хол
вул.Жовтнева, 16, м.Алушта, Автономна Республіка Крим, 98515","1100","555","1087","8","538","7","545","","0","537","7","544","29","515","2","14","4","246","5","5","13","33","58","25","1","9","51","28","1","6","5","9","29.10.12"
"010720","7","Автономна Республіка Крим","готель ""Алушта"", конференц-зала №2, 1-й поверх
вул.Жовтнева, 50, м.Алушта, Автономна Республіка Крим, 98515","2212","1182","2176","15","1018","12","1030","","0","1018","12","1030","43","987","1","35","13","500","10","12","32","47","113","35","10","12","81","36","6","11","11","22","28.10.12"
"010721","7","Автономна Республіка Крим","школа №3, хол, 1-й поверх
вул.Ялтинська, 19А, м.Алушта, Автономна Республіка Крим, 98517","1944","949","1912","35","967","28","995","","0","967","28","995","43","952","5","37","10","497","3","8","17","43","129","30","2","13","79","30","2","19","13","15","29.10.12"
"010722","7","Автономна Республіка Крим","художня школа, вестибюль
вул.Виноградна, 26, м.Алушта, Автономна Республіка Крим, 98517","1820","937","1813","26","864","19","883","","0","864","19","883","44","839","5","26","13","426","3","14","24","31","98","33","7","10","80","36","0","13","10","10","29.10.12"
"010723","7","Автономна Республіка Крим","СЕС, актова зала, 1-й поверх
вул.60 років СРСР, 3А, м.Алушта, Автономна Республіка Крим, 98517","2232","1183","2191","24","1028","21","1049","","0","1028","21","1049","51","998","1","27","9","477","13","4","24","103","115","37","5","9","84","32","9","13","12","24","29.10.12"
"010724","7","Автономна Республіка Крим","комітет самоорганізації населення мікрорайону №4, хол, 1-й поверх
вул.Ювілейна, 16, м.Алушта, Автономна Республіка Крим, 98517","1880","987","1869","7","888","5","893","","0","888","5","893","44","849","1","39","11","405","11","9","22","39","112","48","2","5","67","39","3","14","10","12","29.10.12"
"010725","7","Автономна Республіка Крим","фізико-математичний ліцей, актова зала
вул.Партизанська, 11, м.Алушта, Автономна Республіка Крим, 98517","1896","1016","1871","35","854","26","880","","0","854","26","880","41","839","5","28","5","441","1","3","19","31","111","24","2","13","60","45","4","14","13","20","29.10.12"
"010726","7","Автономна Республіка Крим","клуб пансіонату ""Північна Двіна"", танцювальна зала
вул.15 Квітня, 4, м.Алушта, Автономна Республіка Крим, 98500","1644","985","1627","16","643","16","659","","0","643","16","659","26","633","1","29","8","298","3","4","22","39","76","19","0","8","76","21","3","12","5","9","28.10.12"
"010727","7","Автономна Республіка Крим","клуб санаторію ""Славутич"", хол, 1-й поверх
вул.Червоноармійська, 20, м.Алушта, Автономна Республіка Крим, 98510","1520","790","1495","17","718","12","730","","0","717","12","729","25","704","0","31","7","342","4","10","19","33","90","26","0","8","72","28","5","8","6","15","29.10.12"
"010728","7","Автономна Республіка Крим","ТОК ""Чайка"", хол, 1-й поверх
вул.Червоноармійська, 11, м.Алушта, Автономна Республіка Крим, 98510","1932","998","1906","25","913","21","934","","0","913","21","934","31","903","3","29","10","428","8","11","30","29","153","27","3","7","89","33","1","12","6","24","29.10.12"
"010729","7","Автономна Республіка Крим","клуб бази відпочинку ""Старий замок"", актова зала
вул.Леніна, 55, м.Алушта, Автономна Республіка Крим, 98500","1812","1021","1765","24","774","17","791","","0","774","17","791","46","745","4","39","8","400","3","7","15","46","71","18","3","15","62","22","2","10","9","11","29.10.12"
"010730","7","Автономна Республіка Крим","адміністративна будівля Кримського природного заповіднику, конференц-зала
вул.Партизанська, 42, м.Алушта, Автономна Республіка Крим, 98510","1652","886","1651","34","734","32","766","","0","734","32","766","34","732","2","30","10","401","4","10","21","29","90","22","3","11","51","22","2","7","7","10","29.10.12"
"010731","7","Автономна Республіка Крим","ОСОУ, хол, 1-й поверх
вул.Туристів, 3А, м.Алушта, Автономна Республіка Крим, 98514","1812","1096","1802","7","710","6","716","","0","710","6","716","31","685","3","14","7","328","5","12","18","28","65","11","4","6","115","40","5","3","8","13","29.10.12"
"010732","7","Автономна Республіка Крим","клуб будинку відпочинку ""Айвазовське"", хол
вул.Васильченко, 1А, смт Партеніт, м.Алушта, Автономна Республіка Крим, 98542","1536","816","1530","3","718","2","720","","0","718","2","720","42","678","2","55","11","272","1","13","3","22","140","16","4","6","51","31","4","17","14","16","28.10.12"
"010733","7","Автономна Республіка Крим","школа, актова зала
вул.Перемоги, 1, смт Партеніт, м.Алушта, Автономна Республіка Крим, 98542","1276","633","1266","17","626","17","643","","0","626","17","643","33","610","1","19","11","276","7","9","8","27","111","18","4","8","40","40","0","15","9","7","29.10.12"
"010734","7","Автономна Республіка Крим","амбулаторія, фойє
вул.Паркова, 4, смт Партеніт, м.Алушта, Автономна Республіка Крим, 98542","1572","826","1576","14","732","14","746","","0","732","14","746","42","704","1","22","13","313","2","16","4","15","120","20","8","8","83","34","3","19","15","8","28.10.12"
