"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Барієв
Ескендер
Енверович","Биткова
Ніна
Євгеніївна","Дейч
Борис
Давидович","Івашина
Роксолана
Ігорівна","Касєєва
Олена
Миколаївна","Колотюк
Ольга
Володимирівна","Крижановський
Станіслав
Іванович","Мельник
Галина
Миколаївна","Мосієнко
Володимир
Дмитрович","Німетуллаєв
Едем
Рідванович","Пономаренко
Сергій
Петрович","Рогульчик
Валентина
Іванівна","Свиридов
Ігор
Володимирович","Стрельцова
Олена
Анатоліївна","Хомутов
Віталій
Миколайович","Дата підписання протоколу"
"010076","8","Автономна Республіка Крим","коопзаготпром, фойє
вул.Миколи Бойка, 16, м.Білогірськ, Білогірський р-н, Автономна Республіка Крим, 97600","1552","751","1542","37","770","31","801","","0","770","31","801","24","777","134","2","421","91","26","3","22","1","4","16","4","0","3","1","49","29.10.12"
"010077","8","Автономна Республіка Крим","ДЮСШ, спортивна зала
вул.Луначарського, 48, м.Білогірськ, Білогірський р-н, Автономна Республіка Крим, 97600","916","380","912","18","520","16","536","","0","520","16","536","22","514","83","0","279","70","10","0","32","0","0","13","5","1","7","0","14","29.10.12"
"010078","8","Автономна Республіка Крим","УВК ""Школа-гімназія"" №1, фойє
вул.Луначарського, 46, м.Білогірськ, Білогірський р-н, Автономна Республіка Крим, 97600","1252","609","1238","22","625","18","643","","0","625","18","643","21","622","58","1","358","78","20","2","35","3","2","7","5","2","14","2","35","29.10.12"
"010079","8","Автономна Республіка Крим","будинок культури, фойє
вул.Луначарського, 37, м.Білогірськ, Білогірський р-н, Автономна Республіка Крим, 97600","868","382","852","10","480","6","486","","0","480","6","486","21","465","25","2","248","81","22","2","37","0","2","6","2","0","6","1","31","28.10.12"
"010080","8","Автономна Республіка Крим","КП ""Білогірське ДЖКП"", червоний куток
вул.Садова, 2А, м.Білогірськ, Білогірський р-н, Автономна Республіка Крим, 97600","780","382","790","13","386","12","398","","0","386","12","398","14","384","39","3","211","52","8","0","14","2","2","12","4","0","6","2","29","29.10.12"
"010081","8","Автономна Республіка Крим","райпо, актова зала
вул.Нижньогірська, 13, м.Білогірськ, Білогірський р-н, Автономна Республіка Крим, 97600","1448","701","1425","23","727","20","747","","0","727","20","747","21","726","46","4","430","106","34","2","28","3","1","4","5","2","8","4","49","29.10.12"
"010082","8","Автономна Республіка Крим","школа №2, фойє
вул.Семашка, 37, м.Білогірськ, Білогірський р-н, Автономна Республіка Крим, 97600","1480","641","1478","231","622","217","839","","0","622","217","839","102","737","100","5","372","104","18","6","31","8","4","11","6","3","16","5","48","29.10.12"
"010083","8","Автономна Республіка Крим","школа №3, фойє
вул.Набережна, 1, м.Білогірськ, Білогірський р-н, Автономна Республіка Крим, 97600","1588","798","1582","22","772","18","790","","0","772","18","790","16","774","222","4","381","70","13","1","23","2","0","18","5","1","2","1","31","29.10.12"
"010084","8","Автономна Республіка Крим","ЦДЮТ, фойє
вул.Нижньогірська, 95, м.Білогірськ, Білогірський р-н, Автономна Республіка Крим, 97600","1152","516","1157","17","624","12","636","","0","624","12","636","21","615","34","2","353","93","28","2","48","1","1","8","5","0","7","0","33","29.10.12"
"010085","8","Автономна Республіка Крим","школа №4, фойє
вул.Мамута Муси, 1, м.Білогірськ, Білогірський р-н, Автономна Республіка Крим, 97600","1332","768","1337","11","554","10","564","","0","554","10","564","13","551","336","2","149","9","1","0","2","2","0","20","1","3","0","0","26","29.10.12"
