"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Андрєєва
Наталя
Євгенівна","Анелікова
Євгенія
Андріївна","Грива
Олег
Олександрович","Жаріков
Іван
Петрович","Іванов
Володимир
Кіндратович","Канівець
Наталія
Іванівна","Кулєша
Сергій
Анатолійович","Лебедєв
Ігор
Володимирович","Лесів
Ігор
Михайлович","Луміковський
Микола
Миколайович","Ляшенко
Олександр
Юрійович","Мельник
Володимир
Олександрович","Мельнікова
Тетяна
Богданівна","Муравейник
Юрій
Анатолійович","Нечаєв
Олександр
Ігоревич","Плошихіна
Наталя
Василівна","Постєвая
Тамара
Григорівна","Тарасов
Валерій
Іванович","Толочко
Елла
Петрівна","Дата підписання протоколу"
"010319","9","Автономна Республіка Крим","будинок культури, фойє
вул.Леніна, 16, с.Братське, Красноперекопський р-н, Автономна Республіка Крим, 96050","848","332","849","40","481","35","516","","0","481","35","516","28","488","23","24","5","9","8","15","1","12","33","1","13","20","2","4","250","10","2","4","52","29.10.12"
"010320","9","Автономна Республіка Крим","сільський клуб, глядацька зала
вул.Виноградна, 18, с.Полтавське, Красноперекопський р-н, Автономна Республіка Крим, 96050","480","166","476","32","283","31","314","","0","283","31","314","16","298","4","5","12","6","3","10","0","4","31","0","5","11","3","4","151","0","6","1","42","29.10.12"
"010321","9","Автономна Республіка Крим","контора, актова зала
вул.Леніна, 58, с.Вишнівка, Красноперекопський р-н, Автономна Республіка Крим, 96030","1176","554","1169","81","544","78","622","","0","544","78","622","27","595","17","49","12","12","9","0","5","8","55","3","15","43","3","5","275","0","7","0","77","29.10.12"
"010322","9","Автономна Республіка Крим","школа, фойє
вул.Добровольська, 1, с.Зелена Нива, Красноперекопський р-н, Автономна Республіка Крим, 96031","536","225","533","33","279","32","311","","0","279","32","311","23","288","20","16","4","7","8","2","1","9","35","2","6","26","3","1","119","4","3","3","19","28.10.12"
"010323","9","Автономна Республіка Крим","школа, актова зала
вул.Леніна, 40А, с.Воїнка, Красноперекопський р-н, Автономна Республіка Крим, 96033","1536","752","1527","112","687","97","784","","0","687","97","784","52","732","17","42","34","7","7","5","1","12","118","2","32","49","4","0","311","12","8","1","70","29.10.12"
"010324","9","Автономна Республіка Крим","будинок культури, фойє
вул.Леніна, 56, с.Воїнка, Красноперекопський р-н, Автономна Республіка Крим, 96033","1624","821","1605","60","754","49","803","","0","754","49","803","39","764","20","40","13","3","8","4","5","7","92","1","27","72","6","3","348","5","13","3","94","29.10.12"
"010325","9","Автономна Республіка Крим","навчально-виховний комплекс, актова зала
вул.Садова, 40А, с.Істочне, Красноперекопський р-н, Автономна Республіка Крим, 96033","668","316","660","42","312","40","352","","0","312","40","352","15","337","6","6","6","3","1","0","1","2","38","2","10","13","3","1","203","3","4","3","32","29.10.12"
"010326","9","Автономна Республіка Крим","школа, фойє
вул.Конституції, 1А, с.Іллінка, Красноперекопський р-н, Автономна Республіка Крим, 96052","1540","739","1526","59","745","56","801","","0","745","56","801","55","746","16","22","9","10","4","3","6","9","51","4","18","28","7","5","449","7","12","5","81","29.10.12"
"010327","9","Автономна Республіка Крим","будинок культури, фойє
вул.Леніна, 46, с.Ішунь, Красноперекопський р-н, Автономна Республіка Крим, 96025","2424","1238","2403","77","1121","65","1186","","0","1121","65","1186","67","1119","28","44","14","31","19","18","5","19","64","2","27","84","4","4","586","9","8","12","141","29.10.12"
"010328","9","Автономна Республіка Крим","сільський клуб, фойє
вул.Дніпровська, 6А, с.Танкове, Красноперекопський р-н, Автономна Республіка Крим, 96025","428","184","429","30","216","28","244","","0","216","28","244","18","226","7","2","3","5","3","2","3","2","11","0","6","16","0","2","136","3","5","1","19","29.10.12"
