"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Булавін
Олександр
Олександрович","Вігура
Леонід
Якович","Діброва
Валерій
Григорович","Киричук
Олександр
Олексійович","Ковальчук
Сергій
Михайлович","Лазаренко
Людмила
Ростиславівна","Лактіонов
Дмитро
Олександрович","Латковський
Володимир
Володимирович","Мельник
Євген
Іванович","Недищук
Євгеній
Микитович","Паращак
Юрій
Ігорович","Приступа
Богдан
Євгенійович","Савюк
Ганна
Павлівна","Слабенко
Сергій
Іванович","Частяков
Геннадій
Геннадійович","Дата підписання протоколу"
"070001","19","Волинська область","міська рада, зала засідань
вул.Володимирська, 40, м.Устилуг, Володимир-Волинський р-н, Волинська обл., 44731","1804","505","1772","72","1242","57","1299","","0","1242","57","1299","15","1284","2","2","326","104","186","6","4","7","505","7","2","6","10","2","115","29.10.12"
"070002","19","Волинська область","школа, кл.1
вул.Шкільна, 5, с.Залужжя, Володимир-Волинський р-н, Волинська обл., 44731","216","50","218","11","155","11","166","","0","155","11","166","3","163","1","1","60","6","48","2","0","0","31","0","0","1","2","1","10","29.10.12"
"070003","19","Волинська область","будинок культури, зала
вул.Повстанча, 7, с.Пархоменкове, Володимир-Волинський р-н, Волинська обл., 44731","64","15","68","3","47","2","49","","0","47","2","49","1","48","0","3","10","0","26","0","0","1","6","0","0","0","0","1","1","29.10.12"
"070004","19","Волинська область","фельдшерсько-акушерський пункт, оглядовий кабінет
вул.Гуденка, 28, с.Тростянка, Володимир-Волинський р-н, Волинська обл., 44731","140","25","142","5","110","5","115","","0","110","5","115","0","115","0","2","34","4","28","0","0","1","34","0","0","0","0","0","12","29.10.12"
"070005","19","Волинська область","школа, спортзал
вул.Шкільна, 1, с.Березовичі, Володимир-Волинський р-н, Волинська обл., 44763","512","156","506","20","339","17","356","","0","339","17","356","6","350","0","1","36","17","68","2","0","1","162","0","1","0","8","1","53","29.10.12"
"070006","19","Волинська область","бібліотека-клуб с.Бегета, зала
вул.Нова, 11, с.Бегета, Володимир-Волинський р-н, Волинська обл., 44761","252","92","248","9","152","8","160","","0","152","8","160","3","157","2","4","49","13","25","1","0","0","28","2","0","1","2","0","30","29.10.12"
"070007","19","Волинська область","фельдшерсько-акушерський пункт, кабінет амбулаторного прийому
вул.Правди, 3, с.Бобичі, Володимир-Волинський р-н, Волинська обл., 44763","80","19","77","4","57","4","61","","0","57","4","61","3","58","0","0","3","6","19","0","0","1","21","0","0","1","1","0","6","29.10.12"
"070008","19","Волинська область","фельдшерсько-акушерський пункт, кабінет амбулаторного прийому
вул.Сільська, 28, с.Хворостів, Володимир-Волинський р-н, Волинська обл., 44763","116","37","114","11","68","11","79","","0","68","11","79","1","78","0","3","8","4","20","2","0","0","34","0","0","0","0","0","7","29.10.12"
"070009","19","Волинська область","фельдшерсько-акушерський пункт, кабінет амбулаторного прийому
вул.Жовтнева, 52А, с.Яковичі, Володимир-Волинський р-н, Волинська обл., 44763","148","38","142","16","96","14","110","","0","96","14","110","3","107","0","1","20","9","19","3","0","0","45","0","0","1","1","2","6","29.10.12"
"070010","19","Волинська область","школа-дитячий садочок, кл.1
вул.Травнева, 2Д, с.Білин, Володимир-Волинський р-н, Волинська обл., 44713","316","100","315","18","199","17","216","","0","199","17","216","3","213","0","3","41","10","33","1","1","1","36","5","0","0","8","1","73","29.10.12"
"070011","19","Волинська область","фельдшерсько-акушерський пункт с.Ліски, оглядовий кабінет
вул.Волинська, 8, с.Ліски, Володимир-Волинський р-н, Волинська обл., 44721","76","22","69","6","51","3","54","","0","51","3","54","0","54","0","3","13","3","13","1","0","0","20","0","0","0","0","0","1","29.10.12"
