"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Войтович
Віталій
Володимирович","Загрева
Борис
Юхимович","Іванченко
Олександр
Анатолійович","Карпюк
Роман
Петрович","Красуля
Володимир
Анатолійович","Мартиняк
Сергій
Васильович","Маткобожик
Анатолій
Андрійович","Українець
Михайло
Григорович","Дата підписання протоколу"
"000001","20","Волинська область","кабінет фізіотерапевтичних процедур
вул.Шкільна ,4А, с.Білосток, Луцький р-н, Волинська обл., 45641","40","5","35","9","26","9","35","","0","26","9","35","0","35","0","1","0","0","1","33","0","0","29.10.12"
"070068","20","Волинська область","будинок культури, фойє
вул.Паркова, 10, м.Горохів, Горохівський р-н, Волинська обл., 45700","1960","780","1941","71","1118","62","1180","","0","1118","62","1180","12","1168","19","235","96","555","44","188","10","21","29.10.12"
"070069","20","Волинська область","школа №1, актова зала
вул.Лисенка, 26, м.Горохів, Горохівський р-н, Волинська обл., 45700","1280","514","1269","21","748","18","766","","0","748","18","766","25","741","15","167","55","313","21","139","14","17","29.10.12"
"070070","20","Волинська область","Горохівський коледж Львівського національного аграрного університету, фойє
вул.Студентська, 10, м.Горохів, Горохівський р-н, Волинська обл., 45700","1240","502","1196","27","711","27","738","","0","711","27","738","16","722","17","136","63","311","30","141","8","16","29.10.12"
"070071","20","Волинська область","бібліотека, актова зала
вул.Шевченка, 16, м.Горохів, Горохівський р-н, Волинська обл., 45700","1296","479","1286","22","798","19","817","","0","798","19","817","9","808","20","152","46","418","57","90","14","11","28.10.12"
"070072","20","Волинська область","школа-гімназія, спортивна зала
вул.Грушевського, 5А, м.Горохів, Горохівський р-н, Волинська обл., 45700","1128","397","1112","16","719","12","731","","0","719","12","731","10","721","11","152","51","342","38","115","5","7","29.10.12"
"070073","20","Волинська область","міська рада, фойє
вул.Шевченка, 2, м.Берестечко, Горохівський р-н, Волинська обл., 45765","1176","456","1167","76","661","59","720","","0","661","59","720","14","706","22","89","39","264","48","230","5","9","29.10.12"
"070074","20","Волинська область","школа, спортивна зала
вул.Соборна, 2, смт Мар’янівка, Горохівський р-н, Волинська обл., 45744","2112","877","2085","46","1189","46","1235","","0","1189","46","1235","21","1214","19","148","82","522","53","370","6","14","29.10.12"
"070075","20","Волинська область","будинок культури, фойє
вул.Шевченка, 29, смт Сенкевичівка, Горохівський р-н, Волинська обл., 45750","920","281","913","67","572","67","639","","0","572","67","639","11","628","19","95","30","212","141","111","15","5","29.10.12"
"070076","20","Волинська область","будинок культури, фойє
вул.Центральна, 18, с.Бережанка, Горохівський р-н, Волинська обл., 45712","408","128","403","35","251","29","280","","0","251","29","280","5","275","4","18","6","174","1","68","4","0","29.10.12"
"070077","20","Волинська область","сільський клуб, актова зала
вул.Молодіжна, 2, с.Брани, Горохівський р-н, Волинська обл., 45746","528","190","516","70","282","56","338","","0","282","56","338","6","332","12","68","24","73","13","123","5","14","29.10.12"
"070078","20","Волинська область","будинок культури, фойє
вул.Центральна, 76, с.Борисковичі, Горохівський р-н, Волинська обл., 45748","376","118","377","31","227","31","258","","0","227","31","258","9","249","10","43","17","83","14","77","1","4","29.10.12"
"070079","20","Волинська область","будинок культури, актова зала
вул.Зарічна, 35, с.Довгів, Горохівський р-н, Волинська обл., 45747","440","101","428","41","299","40","339","","0","299","40","339","0","339","8","113","30","95","6","83","1","3","29.10.12"
"070080","20","Волинська область","школа, спортивна зала
вул.Млинова, 4А, с.Бужани, Горохівський р-н, Волинська обл., 45770","768","201","755","53","514","53","567","","0","514","53","567","9","558","13","102","11","98","116","198","8","12","29.10.12"
"070081","20","Волинська область","школа, спортивна зала
вул.Селянська, 12А, с.Ржищів, Горохівський р-н, Волинська обл., 45771","424","87","421","33","304","33","337","","0","304","33","337","8","329","12","54","11","83","4","157","3","5","29.10.12"
"070082","20","Волинська область","будинок культури, актова зала
вул.Центральна, 25, с.Ватин, Горохівський р-н, Волинська обл., 45710","240","38","238","25","178","24","202","","0","178","24","202","0","202","3","82","2","32","1","82","0","0","29.10.12"
"070083","20","Волинська область","школа, спортивна зала
вул.Шкільна, 2, с.Ватинець, Горохівський р-н, Волинська обл., 45710","104","20","103","6","79","5","84","","0","79","5","84","3","81","2","21","3","10","1","40","4","0","29.10.12"
"070084","20","Волинська область","будинок культури, актова зала
вул.Шевченка, 8, с.Вільхівка, Горохівський р-н, Волинська обл., 45723","592","164","585","35","396","32","428","","0","396","32","428","5","423","9","89","26","197","13","80","3","6","29.10.12"
"070085","20","Волинська область","фельдшерсько-акушерський пункт, приймальне відділення
вул.Центральна, 38, с.Ярівка, Горохівський р-н, Волинська обл., 45723","320","102","319","27","193","25","218","","0","193","25","218","4","214","8","51","10","76","6","57","5","1","29.10.12"
"070086","20","Волинська область","школа, спортивна зала
вул.Шкільна, 21, с.Галичани, Горохівський р-н, Волинська обл., 45723","536","115","541","50","373","48","421","","0","373","48","421","0","421","3","11","5","29","11","358","2","2","29.10.12"
"070087","20","Волинська область","школа, спортивна зала
вул.Ставкова, 11, с.Новий Зборишів, Горохівський р-н, Волинська обл., 45760","80","19","82","13","50","11","61","","0","50","11","61","1","60","4","4","2","7","2","41","0","0","29.10.12"
"070088","20","Волинська область","школа, спортивна зала
вул.Шкільна, 2, с.Хмельницьке, Горохівський р-н, Волинська обл., 45745","176","37","176","26","113","26","139","","0","113","26","139","2","137","3","23","2","25","0","78","5","1","29.10.12"
"070089","20","Волинська область","фельдшерсько-акушерський пункт, приймальне відділення
вул.Лісова, 20, с.Горішнє, Горохівський р-н, Волинська обл., 45756","184","38","178","23","123","23","146","","0","123","23","146","3","143","7","23","6","21","3","77","3","3","29.10.12"
"070090","20","Волинська область","сільський клуб, актова зала
вул.Юрія Гагаріна, 15, с.Іванівка, Горохівський р-н, Волинська обл., 45756","296","65","295","38","196","35","231","","0","196","35","231","4","227","7","42","12","58","2","101","2","3","29.10.12"
"070091","20","Волинська область","школа, спортивна зала
вул.Шкільна, 12, с.Новостав, Горохівський р-н, Волинська обл., 45756","328","80","325","41","209","39","248","","0","209","39","248","4","244","3","33","8","82","4","113","1","0","29.10.12"
"070092","20","Волинська область","будинок культури, актова зала
вул.Тиха, 8, с.Губин Перший, Горохівський р-н, Волинська обл., 45726","320","70","325","18","232","18","250","","0","232","18","250","2","248","4","52","17","61","16","94","1","3","29.10.12"
"070093","20","Волинська область","фельдшерсько-акушерський пункт, приймальне відділення
вул.Польова, 20, с.Ниви-Губинські, Горохівський р-н, Волинська обл., 45750","72","11","74","10","51","10","61","","0","51","10","61","0","61","2","4","1","18","1","35","0","0","29.10.12"
"070094","20","Волинська область","сільський клуб, актова зала
вул.Вчительська, 4, с.Жабче, Горохівський р-н, Волинська обл., 45753","344","119","339","26","202","23","225","","0","202","23","225","6","219","9","62","8","76","8","48","6","2","29.10.12"
"070095","20","Волинська область","будинок культури, актова зала
вул.Луцька, 38, с.Журавники, Горохівський р-н, Волинська обл., 45737","608","172","597","62","379","57","436","","0","379","57","436","5","431","19","79","32","136","9","141","4","11","29.10.12"
"070096","20","Волинська область","школа, спортивна зала
вул.Шевченка, 1, с.Волиця-Дружкопільська, Горохівський р-н, Волинська обл., 45737","184","24","188","13","149","11","160","","0","149","11","160","1","159","4","19","5","41","1","86","1","2","29.10.12"
"070097","20","Волинська область","школа, спортивна зала
вул.Шкільна, 40, с.Звиняче, Горохівський р-н, Волинська обл., 45725","816","267","807","63","493","56","549","","0","493","56","549","13","536","22","93","32","192","67","111","8","11","29.10.12"
"070098","20","Волинська область","школа, спортивна зала
вул.Центральна, 31, с.Красів, Горохівський р-н, Волинська обл., 45725","208","61","202","20","128","19","147","","0","128","19","147","6","141","5","21","5","54","10","29","4","13","29.10.12"
"070099","20","Волинська область","сільський клуб, актова зала
вул.Нова, 1, с.Квасів, Горохівський р-н, Волинська обл., 45735","384","96","380","35","259","29","288","","0","259","29","288","8","280","18","46","30","49","3","123","6","5","29.10.12"
"070100","20","Волинська область","фельдшерсько-акушерський пункт, приймальне відділення
вул.Козацька, 5, с.Охлопів, Горохівський р-н, Волинська обл., 45736","408","141","402","40","231","36","267","","0","231","36","267","4","263","9","49","14","67","8","105","4","7","29.10.12"
"070101","20","Волинська область","школа, спортивна зала
вул.Центральна, 74, с.Колодеже, Горохівський р-н, Волинська обл., 45751","416","128","409","28","262","26","288","","0","262","26","288","6","282","5","58","15","72","15","101","8","8","29.10.12"
"070102","20","Волинська область","сільський клуб, актова зала
вул.Незалежності, 20, с.Наталин, Горохівський р-н, Волинська обл., 45751","128","33","123","4","91","4","95","","0","91","4","95","2","93","2","16","5","29","10","26","2","3","29.10.12"
"070103","20","Волинська область","сільський клуб, актова зала
вул.Центральна, 1, с.Лемешів, Горохівський р-н, Волинська обл., 45731","368","82","363","37","250","36","286","","0","250","36","286","6","280","3","33","33","71","15","112","2","11","29.10.12"
"070104","20","Волинська область","фельдшерсько-акушерський пункт, приймальне відділення
вул.Центральна, 20, с.Козятин, Горохівський р-н, Волинська обл., 45731","168","47","169","19","103","18","121","","0","103","18","121","2","119","3","7","5","68","3","31","1","1","29.10.12"
"070105","20","Волинська область","будинок культури, фойє
вул.Незалежності, 29А, с.Лобачівка, Горохівський р-н, Волинська обл., 45760","600","198","596","34","368","34","402","","0","368","34","402","4","398","5","87","13","111","10","169","2","1","29.10.12"
"070106","20","Волинська область","школа, спортивна зала
вул.Миру, 42А, с.Волиця-Лобачівська, Горохівський р-н, Волинська обл., 45760","232","54","226","8","170","8","178","","0","170","8","178","1","177","3","58","6","21","3","80","6","0","29.10.12"
"070107","20","Волинська область","школа, спортивна зала
вул.Грушевського, 59А, с.Колмів, Горохівський р-н, Волинська обл., 45760","176","51","172","22","103","22","125","","0","103","22","125","3","122","0","13","4","21","1","82","1","0","29.10.12"
"070108","20","Волинська область","будинок культури, фойє
вул.Б.Хмельницького, 15А, с.Мерва, Горохівський р-н, Волинська обл., 45766","416","129","406","15","272","15","287","","0","272","15","287","10","277","8","41","9","79","5","124","2","9","29.10.12"
"070109","20","Волинська область","фельдшерсько-акушерський пункт, приймальне відділення
вул.Майданська, 11А, с.Буркачі, Горохівський р-н, Волинська обл., 45766","264","47","262","29","191","26","217","","0","191","26","217","3","214","4","17","5","124","2","57","2","3","29.10.12"
