"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Байцим
Василь
Федорович","Бурко
Іван
Михайлович","Верчук
Ігор
Васильович","Гузь
Ігор
Володимирович","Івахів
Степан
Петрович","Кононович
Олександр
Адамович","Скрипін
Ігор
Олександрович","Смітюх
Іван
Євдокимович","Дата підписання протоколу"
"070343","21","Волинська область","селищна рада, зал засідань
вул.Ковельська, 1, смт Голоби, Ковельський р-н, Волинська обл., 45070","728","249","715","30","450","29","479","","0","450","29","479","7","472","3","0","11","149","199","6","17","87","29.10.12"
"070344","21","Волинська область","районний будинок культури, фойє
вул.Шевченка, 2, смт Голоби, Ковельський р-н, Волинська обл., 45070","784","244","776","29","513","27","540","","0","513","27","540","8","532","3","3","5","163","207","22","13","116","29.10.12"
"070345","21","Волинська область","школа, фойє
вул.Перемоги, 1, смт Голоби, Ковельський р-н, Волинська обл., 45070","896","334","871","42","523","39","562","","0","523","39","562","5","557","4","2","5","205","209","8","16","108","08.11.12"
"070346","21","Волинська область","дошкільний навчальний заклад, світлиця
вул.Ткача, 26, смт Голоби, Ковельський р-н, Волинська обл., 45070","728","248","710","20","461","19","480","","0","461","19","480","5","475","12","2","3","150","193","13","13","89","29.10.12"
"070347","21","Волинська область","будинок культури, зал
вул.Незалежності, 3, с.Бруховичі, Ковельський р-н, Волинська обл., 45073","280","79","282","16","188","13","201","","0","188","13","201","3","198","2","3","8","78","68","5","2","32","29.10.12"
"070348","21","Волинська область","фельдшерсько-акушерський пункт, кабінет медогляду
вул.Колгоспна, 5, с.Нужель, Ковельський р-н, Волинська обл., 45073","184","39","185","14","132","13","145","","0","132","13","145","1","144","0","2","1","21","59","2","0","59","29.10.12"
"070349","21","Волинська область","клуб, актовий зал
вул.Колгоспна, 5, с.Калиновник, Ковельський р-н, Волинська обл., 45070","48","19","40","1","28","1","29","","0","28","1","29","0","29","0","1","0","6","15","0","0","7","29.10.12"
"070350","21","Волинська область","фельдшерсько-акушерський пункт, кабінет медогляду
вул.Центральна, 4, с.Вівчицьк, Ковельський р-н, Волинська обл., 45070","120","27","112","11","83","10","93","","0","83","10","93","0","93","0","0","1","20","28","1","1","42","28.10.12"
"070351","21","Волинська область","школа, спортивний зал
вул.Молодіжна, 2, с.Погіньки, Ковельський р-н, Волинська обл., 45070","160","48","150","8","104","8","112","","0","104","8","112","0","112","0","1","2","35","45","3","1","25","29.10.12"
"070352","21","Волинська область","амбулаторія, фойє
вул.Жовтнева, 7, смт Люблинець, Ковельський р-н, Волинська обл., 45034","1120","387","1113","6","727","6","733","","0","727","6","733","12","721","14","5","7","275","250","6","40","124","29.10.12"
