"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бущик
Петро
Григорович","Грицюк
Анатолій
Петрович","Грицюк
Андрій
Іванович","Єремеєв
Ігор
Миронович","Козік
Ігор
Петрович","Кононенко
Дмитро
Євгенович","Лондар
Олексій
Сергійович","Олешко
Петро
Степанович","Прохоренко
Володимир
Анатолійович","Розтока
Андрій
Вячеславович","Дата підписання протоколу"
"000001","23","Волинська область","актовий зал
вул.Романівська, 91, смт Колки, Маневицький р-н, Волинська обл., 44661","54","23","33","0","31","0","31","","0","31","0","31","2","29","4","10","4","8","0","1","1","0","0","1","29.10.12"
"070206","23","Волинська область","будинок культури, актова зала
пл.Культури, 1, м.Камінь-Каширський, Камінь-Каширський р-н, Волинська обл., 44500","2280","1032","2263","27","1224","24","1248","","0","1224","24","1248","36","1212","39","422","42","346","98","18","197","5","2","43","29.10.12"
"070207","23","Волинська область","Камінь-Каширське вище професійне училище, актова зала
вул.Воля, 44, м.Камінь-Каширський, Камінь-Каширський р-н, Волинська обл., 44500","2466","1174","2437","30","1265","27","1292","","0","1265","27","1292","43","1249","28","475","65","322","88","28","186","8","3","46","29.10.12"
"070208","23","Волинська область","школа №2, актова зала
вул.Шевченка, 68, м.Камінь-Каширський, Камінь-Каширський р-н, Волинська обл., 44500","1878","856","1866","16","1006","16","1022","","0","1006","16","1022","38","984","60","349","33","219","64","10","216","3","1","29","29.10.12"
"070209","23","Волинська область","будинок дитячої юнацької творчості, актова зала
вул.Гагаріна, 3, м.Камінь-Каширський, Камінь-Каширський р-н, Волинська обл., 44500","1602","737","1576","18","849","16","865","","0","849","16","865","21","844","26","258","27","240","43","21","194","4","1","30","29.10.12"
"070210","23","Волинська область","школа, фойє
вул.Савчука, 7, с.Підцир’я, Камінь-Каширський р-н, Волинська обл., 44506","1182","459","1162","8","717","6","723","","0","717","6","723","15","708","31","266","21","166","121","6","78","3","1","15","29.10.12"
"070211","23","Волинська область","сільський клуб, актова зала
вул.Центральна, 93А, с.Боровне, Камінь-Каширський р-н, Волинська обл., 44562","576","123","562","19","434","19","453","","0","434","19","453","14","439","51","159","25","155","8","10","9","8","3","11","29.10.12"
"070212","23","Волинська область","сільський клуб, актова зала
вул.Шкільна, 2А, с.Житнівка, Камінь-Каширський р-н, Волинська обл., 44562","324","85","315","7","232","7","239","","0","232","7","239","8","231","26","67","15","107","1","3","7","1","0","4","29.10.12"
"070213","23","Волинська область","сільський клуб, фойє
вул.Шевченка, 1, с.Кримне, Камінь-Каширський р-н, Волинська обл., 44535","1350","566","1339","37","752","32","784","","0","752","32","784","28","756","16","330","36","230","16","3","91","3","1","30","29.10.12"
"070214","23","Волинська область","сільський клуб, актова зала
вул.Лесі Українки, 4, с.Бузаки, Камінь-Каширський р-н, Волинська обл., 44523","786","268","780","6","512","6","518","","0","512","6","518","9","509","36","140","11","240","10","3","64","0","0","5","29.10.12"
"070215","23","Волинська область","сільський клуб, актова зала
вул.Івана Франка, 43, с.Краснилівка, Камінь-Каширський р-н, Волинська обл., 44523","366","88","365","11","267","11","278","","0","267","11","278","3","275","1","79","16","123","3","0","44","1","0","8","28.10.12"
"070216","23","Волинська область","сільський клуб, актова зала
вул.Партизанська, 17, с.Великий Обзир, Камінь-Каширський р-н, Волинська обл., 44523","468","157","463","45","273","38","311","","0","273","38","311","7","304","1","14","68","185","10","5","11","3","2","5","29.10.12"
"070217","23","Волинська область","фельдшерсько-акушерський пункт, кабінет медпрацівника
вул.Центральна, 1, с.Стобихва, Камінь-Каширський р-н, Волинська обл., 44571","42","14","37","1","27","1","28","","0","27","1","28","2","26","0","9","0","15","0","2","0","0","0","0","29.10.12"
"070218","23","Волинська область","сільський клуб, актова зала
вул.Центральна, 3А, с.Верхи, Камінь-Каширський р-н, Волинська обл., 44570","408","132","401","16","261","15","276","","0","261","15","276","14","262","22","54","8","151","7","3","9","1","1","6","29.10.12"
"070219","23","Волинська область","сільська рада, актова зала
вул.Ковельська, 143, с.Видерта, Камінь-Каширський р-н, Волинська обл., 44520","1596","634","1567","52","915","47","962","","0","915","47","962","33","929","75","137","40","325","40","11","268","4","4","25","29.10.12"
"070220","23","Волинська область","сільський клуб, фойє
вул.Центральна, 59, с.Видричі, Камінь-Каширський р-н, Волинська обл., 44516","498","168","490","0","330","0","330","","0","330","0","330","6","324","7","48","6","222","9","2","24","0","0","6","29.10.12"
"070221","23","Волинська область","сільський клуб, актова зала
вул.Центральна, 11, с.Дубровиця, Камінь-Каширський р-н, Волинська обл., 44516","264","72","255","4","188","4","192","","0","188","4","192","14","178","3","36","7","117","1","4","6","0","0","4","29.10.12"
"070222","23","Волинська область","школа, спортзал
вул.Шевченка, 49, с.Теклине, Камінь-Каширський р-н, Волинська обл., 44517","378","152","370","8","218","8","226","","0","218","8","226","11","215","3","33","4","136","5","3","22","1","1","7","29.10.12"
"070223","23","Волинська область","сільський клуб, актова зала
вул.Центральна, 3, с.Воєгоща, Камінь-Каширський р-н, Волинська обл., 44534","1116","393","1108","17","706","17","723","","0","706","17","723","14","709","26","303","38","189","23","5","103","5","1","16","29.10.12"
"070224","23","Волинська область","сільський клуб, фойє
вул.Центральна, 60, с.Ворокомле, Камінь-Каширський р-н, Волинська обл., 44530","1314","490","1293","31","795","29","824","","0","795","29","824","34","790","63","211","38","287","35","7","137","1","1","10","29.10.12"
"070225","23","Волинська область","сільська рада, зал засідань
пл.Соціальна, 6, с.Грудки, Камінь-Каширський р-н, Волинська обл., 44521","1392","629","1383","17","746","17","763","","0","746","17","763","16","747","25","169","26","344","38","8","122","2","0","13","29.10.12"
