"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Базелюк
Володимир
Васильович","Барчишен
Олег
Вікторович","Бондарчук
Іван
Миколайович","Дмитрів
Олег
Степанович","Іорданов
Юрій
Іванович","Костирко
Дмитро
Олександрович","Максимчук
Борис
Анатолійович","Порошенко
Петро
Олексійович","Дата підписання протоколу"
"000001","12","Вінницька область","спортивна зала установи
вул.Островського, 2, м. Вінниця, 21100","1008","162","847","9","837","9","846","","0","837","9","846","58","788","24","20","17","5","15","59","24","624","29.10.12"
"050125","12","Вінницька область","Ганський клуб, актовий зал
вул.Піонерська, 1, смт Вороновиця, Вінницький р-н, Вінницька обл., 23252","751","304","762","9","440","7","447","","0","440","7","447","12","435","46","23","9","5","19","19","28","286","29.10.12"
"050126","12","Вінницька область","школа №1, фойє
вул.Гагаріна, 2, смт Вороновиця, Вінницький р-н, Вінницька обл., 23252","1984","736","1946","226","1044","204","1248","","0","1044","204","1248","17","1231","93","22","61","9","77","110","62","797","29.10.12"
"050127","12","Вінницька область","будинок культури, актовий зал
вул.Леніна, 97А, смт Вороновиця, Вінницький р-н, Вінницька обл., 23252","1304","587","1292","21","696","21","717","","0","696","21","717","13","704","58","20","18","2","28","20","42","516","29.10.12"
"050128","12","Вінницька область","школа №2, спортзал
вул.Цукрозаводська, 19, смт Вороновиця, Вінницький р-н, Вінницька обл., 23252","976","367","970","15","594","15","609","","0","594","15","609","15","594","52","19","16","2","20","9","53","423","29.10.12"
"050129","12","Вінницька область","школа, актовий зал
вул.Гагаріна, 11, смт Десна, Вінницький р-н, Вінницька обл., 23240","1080","355","1070","3","722","3","725","","0","722","3","725","8","717","51","22","13","2","26","13","24","566","29.10.12"
"050138","12","Вінницька область","будинок культури, актовий зал
вул.Українська, 28А, с.Великі Крушлинці, Вінницький р-н, Вінницька обл., 23243","712","201","699","85","434","77","511","","0","434","77","511","13","498","17","11","16","1","22","13","14","404","29.10.12"
"050139","12","Вінницька область","будинок культури, актовий зал
вул.Леніна, 65, с.Вінницькі Хутори, Вінницький р-н, Вінницька обл., 23201","2296","907","2294","36","1359","30","1389","","0","1359","30","1389","33","1356","136","40","30","5","83","36","77","949","29.10.12"
"050140","12","Вінницька область","школа естетичного виховання, фойє
вул.Сагайдачного, 95, с.Вінницькі Хутори, Вінницький р-н, Вінницька обл., 23201","2208","888","2188","30","1291","29","1320","","0","1291","29","1320","18","1302","121","47","22","4","88","23","72","925","29.10.12"
"050141","12","Вінницька область","школа, фойє
вул.Леніна, школа, с.Вінницькі Хутори, Вінницький р-н, Вінницька обл., 23201","2248","903","2385","22","1323","22","1345","","0","1323","22","1345","28","1317","135","34","20","4","53","45","60","966","29.10.12"
