"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Борисюк
Тарас
Григорович","Гайдаєв
Юрій
Олександрович","Герасимова
Ірина
Дмитрівна","Добруцький
Ігор
Ігорович","Зубко
Ігор
Миколайович","Кавунець
Андрій
Володимирович","Катеринчук
Микола
Дмитрович","Климчук
Олександр
Миколайович","Коваль
Тарас
Іванович","Негруб
Микола
Іванович","Оніщенко
Сергій
Вікторович","Палій
Ліна
Миколаївна","Сусла
Василь
Станіславович","Черній
Василь
Васильович","Шепелев
Олександр
Олександрович","Юрчишин
Петро
Васильович","Яремчук
Юрій
Якович","Дата підписання протоколу"
"050375","13","Вінницька область","школа, актова зала
вул.Леніна, 17А, с.Байківка, Калинівський р-н, Вінницька обл., 22430","384","57","385","38","291","36","327","","0","291","36","327","7","320","2","46","2","3","9","2","213","0","0","0","0","0","0","3","1","37","2","29.10.12"
"050376","13","Вінницька область","школа, актова зала
вул.Перемоги, 32, с.Грушківці, Калинівський р-н, Вінницька обл., 22430","392","100","389","30","266","26","292","","0","266","26","292","4","288","0","34","2","0","9","1","180","1","0","0","0","0","0","2","2","56","1","29.10.12"
"050377","13","Вінницька область","школа, спортивний зал
вул.Леніна, 6, с.Глинськ, Калинівський р-н, Вінницька обл., 22425","1008","322","1002","42","647","39","686","","0","647","39","686","10","676","2","160","2","6","10","4","339","4","0","1","0","0","1","16","6","123","2","29.10.12"
"050378","13","Вінницька область","будинок культури, зал
вул.Весела, 5, с.Панасівка, Калинівський р-н, Вінницька обл., 22425","44","13","42","0","31","0","31","","0","31","0","31","1","30","0","11","0","0","0","1","7","0","0","1","0","0","0","7","0","3","0","28.10.12"
"050379","13","Вінницька область","будинок культури, зал
вул.Леніна, 40, с.Голубівка, Калинівський р-н, Вінницька обл., 22442","220","62","216","21","137","21","158","","0","137","21","158","1","157","0","30","1","0","4","2","106","0","0","0","0","0","0","1","4","8","1","28.10.12"
"050380","13","Вінницька область","школа, актова зала
вул.Жовтнева, 5, с.Червоний Степ, Калинівський р-н, Вінницька обл., 22441","584","180","581","45","364","40","404","","0","364","40","404","10","394","2","42","2","1","13","4","272","0","2","4","0","1","0","12","1","36","2","29.10.12"
"050381","13","Вінницька область","школа, спортивний зал
вул.Леніна, 85, с.Гущинці, Калинівський р-н, Вінницька обл., 22434","1844","596","1833","71","1190","58","1248","","0","1190","58","1248","20","1228","1","278","6","5","34","18","728","3","2","8","1","0","0","13","17","107","7","29.10.12"
"050382","13","Вінницька область","сільський клуб, зал
вул.Шкільна, 50, с.Кам’яногірка, Калинівський р-н, Вінницька обл., 22435","256","53","255","19","186","17","203","","0","186","17","203","7","196","1","16","2","0","24","5","128","1","1","0","4","1","0","0","3","8","2","29.10.12"
"050383","13","Вінницька область","школа, спортивний зал
вул.Леніна, 54, с.Дружелюбівка, Калинівський р-н, Вінницька обл., 22450","612","138","612","43","434","40","474","","0","434","40","474","3","471","3","51","1","1","52","3","297","0","0","0","0","1","0","7","1","53","1","28.10.12"
"050384","13","Вінницька область","будинок культури, зал
вул.Першотравнева, 1А, с.Дружне, Калинівський р-н, Вінницька обл., 22453","516","113","513","48","359","44","403","","0","359","44","403","8","395","0","142","3","0","12","4","182","1","0","4","0","2","0","21","9","13","2","31.10.12"
"050385","13","Вінницька область","будинок культури, зал
вул.Леніна, 28, с.Жигалівка, Калинівський р-н, Вінницька обл., 22423","412","72","406","53","291","49","340","","0","291","49","340","9","331","0","95","3","0","4","2","180","3","1","0","0","0","0","4","0","38","1","28.10.12"
"050386","13","Вінницька область","будинок культури, хол
вул.Калініна, 15, с.Заливанщина, Калинівський р-н, Вінницька обл., 22440","580","204","576","15","363","13","376","","0","363","13","376","7","369","2","50","3","1","13","2","200","2","0","1","0","0","1","5","5","84","0","28.10.12"
"050387","13","Вінницька область","сільська рада, зал засідань
вул.Свинаря, 17, с.Іванів, Калинівський р-н, Вінницька обл., 22432","1588","703","1572","28","857","28","885","","0","857","28","885","19","866","2","122","3","7","66","7","553","5","2","2","1","1","2","5","7","75","6","29.10.12"
"050388","13","Вінницька область","ПрАТ ""Зернопродукт"", хол
вул.Леніна, 1, с.Іванів, Калинівський р-н, Вінницька обл., 22432","1664","698","1650","41","926","40","966","","0","926","40","966","16","950","1","163","5","1","53","3","658","4","1","1","0","0","0","8","3","47","2","29.10.12"
"050389","13","Вінницька область","школа, спортивний зал
вул.Руданського, 95А, с.Слобідка, Калинівський р-н, Вінницька обл., 22433","552","150","543","53","350","52","402","","0","350","52","402","4","398","1","138","1","1","10","2","208","2","1","1","1","1","0","3","4","24","0","29.10.12"
"050390","13","Вінницька область","будинок культури, зал засідань
вул.Леніна, 3, с.Кіровка, Калинівський р-н, Вінницька обл., 22451","432","143","432","40","251","38","289","","0","251","38","289","6","283","1","36","1","4","7","10","176","3","1","0","0","2","1","11","5","22","3","28.10.12"
"050391","13","Вінницька область","СВК ""Колос"", зал засідань
вул.Леніна, 3, с.Польова Лисіївка, Калинівський р-н, Вінницька обл., 22451","308","105","305","16","189","14","203","","0","189","14","203","3","200","1","6","0","2","3","6","160","0","0","0","0","0","0","2","0","20","0","29.10.12"
"050392","13","Вінницька область","фельдшерсько-акушерський пункт, хол
вул.Суворова, 1, с.Червона Трибунівка, Калинівський р-н, Вінницька обл., 22451","124","37","126","11","76","11","87","","0","76","11","87","9","78","0","6","3","0","8","2","47","0","1","0","0","0","1","2","1","6","1","30.10.12"
"050393","13","Вінницька область","школа, спортивний зал, 1-й поверх
вул.Київська, 1Б, с.Корделівка, Калинівський р-н, Вінницька обл., 22445","2228","940","2195","41","1254","34","1288","","0","1254","34","1288","21","1267","5","273","7","4","34","17","741","8","7","3","3","3","2","10","9","132","9","29.10.12"
"050394","13","Вінницька область","сільський клуб, зал
вул.40-річчя Перемоги, 1, с.Загребельня, Калинівський р-н, Вінницька обл., 22446","460","127","469","10","323","10","333","","0","323","10","333","1","332","0","78","1","3","16","2","197","4","4","0","0","1","0","3","2","21","0","31.10.12"
