"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Власюк
Віктор
Васильович","Гнатюк
Юрій
Петрович","Жеребнюк
Віктор
Миколайович","Загороднюк
Юрій
Вікторович","Закусилова
Лідія
Олексіївна","Зелена
Катерина
Вітославівна","Козловський
Юрій
Борисович","Кривак
Іван
Васильович","Мельничук
Іван
Іванович","Онопенко
Василь
Васильович","Погодін
Олексій
Олександрович","Дата підписання протоколу"
"000001","14","Вінницька область","
вул.Добролюбова, 8, м. Жмеринка, Вінницька обл., 23100","54","21","43","15","25","8","33","","0","25","8","33","0","33","1","0","19","0","3","0","0","1","4","5","0","28.10.12"
"050001","14","Вінницька область","будинок культури, фойє
вул.Святого Миколая, 4, м.Бар, Барський р-н, Вінницька обл., 23000","1662","693","1645","21","951","18","969","","0","951","18","969","18","951","7","18","206","5","38","45","34","10","425","159","4","29.10.12"
"050002","14","Вінницька область","школа №1, фойє
вул. Гагаріна, 15, м.Бар, Барський р-н, Вінницька обл., 23000","2412","1098","2367","12","1304","10","1314","","0","1304","10","1314","42","1272","4","21","211","3","43","56","49","7","669","206","3","29.10.12"
"050003","14","Вінницька область","школа №2, фойє
вул.Врублевського, 35/2, м.Бар, Барський р-н, Вінницька обл., 23000","2322","1033","2311","20","1272","17","1289","","0","1272","17","1289","35","1254","7","24","242","8","61","61","8","34","630","167","12","29.10.12"
"050004","14","Вінницька область","гуртожиток технікуму, актова зала
вул.Пролетарська, 11, м.Бар, Барський р-н, Вінницька обл., 23000","1608","628","1584","29","951","29","980","","0","0","0","980","84","896","2","22","164","1","38","32","31","13","420","170","3","31.10.12"
"050005","14","Вінницька область","спиртовий комбінат, клуб
вул.Богдана Хмельницького, 23, м.Бар, Барський р-н, Вінницька обл., 23000","1938","853","1925","13","1074","11","1085","","0","0","0","1085","308","777","12","25","175","1","51","65","40","9","242","149","8","31.10.12"
"050006","14","Вінницька область","районний кінотеатр, фойє
вул.Святого Миколая, 2, м.Бар, Барський р-н, Вінницька обл., 23000","1746","725","1726","14","1010","11","1021","","0","1010","11","1021","27","994","7","19","207","4","38","54","44","5","446","162","8","29.10.12"
"050007","14","Вінницька область","будівельний ліцей, фойє
вул.Калініна, 5, м.Бар, Барський р-н, Вінницька обл., 23000","2280","980","2265","7","1295","5","1300","","0","0","0","1300","433","867","11","29","243","9","37","64","2","46","209","213","4","31.10.12"
"050008","14","Вінницька область","школа, фойє
вул.Леніна, 34, с.Балки, Барський р-н, Вінницька обл., 23006","2298","1066","2276","14","1218","14","1232","","0","0","0","1232","280","952","10","39","234","14","55","53","22","13","383","123","6","31.10.12"
"050009","14","Вінницька область","сільський клуб, фойє
вул.Фрунзе, 7, с.Окладне, Барський р-н, Вінницька обл., 23008","738","264","728","14","460","14","474","","0","460","14","474","13","461","5","14","128","4","14","9","4","9","228","44","2","07.11.12"
"050010","14","Вінницька область","школа, спортивний зал
вул.Леніна, 25, с.Чемериське, Барський р-н, Вінницька обл., 23026","714","40","701","41","633","41","674","","0","0","0","674","185","489","8","3","335","4","21","8","5","4","33","66","2","31.10.12"
