"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бойдаченко
Антон
Павлович","Волковський
Володимир
Григорович","Заболотний
Григорій
Михайлович","Капітан
Олександр
Олександрович","Кирилюк
Максим
Анатолійович","Кольцов
Микола
Гнатович","Кучер
Микола
Іванович","Мальченко
Олександр
Андрійович","Мельник
Юрій
Іванович","Попенко
Ігор
Петрович","Чумак
Сергій
Вікторович","Дата підписання протоколу"
"050072","17","Вінницька область","школа №3, актова зала
вул.Червоноармійська, 56, м.Бершадь, Бершадський р-н, Вінницька обл., 24400","2346","980","2306","26","1348","18","1366","","0","1348","18","1366","33","1333","116","2","881","15","12","7","291","0","5","2","2","29.10.12"
"050073","17","Вінницька область","школа №1, фойє
вул.50 років ВЛКСМ, 15, м.Бершадь, Бершадський р-н, Вінницька обл., 24400","2466","1062","2419","15","1391","13","1404","","0","1391","13","1404","41","1363","124","7","910","15","15","13","266","3","4","3","3","30.10.12"
"050074","17","Вінницька область","районний будинок культури, фойє
вул.Червоноармійська, 5, м.Бершадь, Бершадський р-н, Вінницька обл., 24400","2381","1038","2368","8","1335","8","1343","","0","1335","8","1343","29","1314","119","3","871","26","21","10","250","1","5","4","4","29.10.12"
"050075","17","Вінницька область","будинок культури спиртзаводу, фойє
вул.50 років Жовтня, 3, м.Бершадь, Бершадський р-н, Вінницька обл., 24400","1332","539","1321","4","790","3","793","","0","790","3","793","26","767","79","0","463","14","12","7","187","2","2","0","1","29.10.12"
"050076","17","Вінницька область","будинок культури цукрозаводу, фойє
вул.50 років Жовтня, 212, м.Бершадь, Бершадський р-н, Вінницька обл., 24400","2082","924","2049","19","1144","14","1158","","0","1144","14","1158","41","1117","84","3","578","17","29","16","368","2","6","3","11","29.10.12"
"050077","17","Вінницька область","будинок культури, фойє
050077 вул.Перемоги, 3, с.Баланівка, Бершадський р-н, Вінницька обл., 24413","1656","593","1647","26","1037","26","1063","","0","1037","26","1063","28","1035","53","1","432","29","2","4","510","1","2","1","0","29.10.12"
"050078","17","Вінницька область","школа, фойє
050078 вул.Перемоги, 15, с.Баланівка, Бершадський р-н, Вінницька обл., 24413","960","390","953","7","563","7","570","","0","563","7","570","15","555","21","0","225","10","2","2","290","1","1","0","3","29.10.12"
"050079","17","Вінницька область","школа, фойє
вул.Леніна, 285, с.Бирлівка, Бершадський р-н, Вінницька обл., 24414","1758","602","1741","55","1104","52","1156","","0","1104","52","1156","32","1124","45","2","488","6","4","3","561","5","6","3","1","29.10.12"
"050080","17","Вінницька область","будинок культури, фойє
вул.Шевченка, 50, с.Велика Киріївка, Бершадський р-н, Вінницька обл., 24455","1416","522","1419","55","842","52","894","","0","842","52","894","23","871","62","4","593","17","8","6","170","6","4","0","1","29.10.12"
"050081","17","Вінницька область","школа, фойє
вул.Леніна, 17, с.Війтівка, Бершадський р-н, Вінницька обл., 24412","1656","667","1636","9","981","8","989","","0","981","8","989","15","974","29","1","600","3","8","3","312","8","4","5","1","01.11.12"
