"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Балдинюк
Василь
Михайлович","Болотенюк
Степан
Васильович","Братанюк
Леонід
Євгенович","Власюк
Олександр
Іванович","Вовк
Анатолій
Іванович","Демчак
Андрій
Васильович","Калетнік
Григорій
Миколайович","Квашук
Олександр
Євгенович","Кошиль
Андрій
Григорович","Куровський
Станіслав
Євгенович","Манжуловський
Олександр
Феофанович","Миролюб
Наталія
Анатоліївна","Стамбула
Геннадій
Станіславович","Філонова
Анна
Валентинівна","Чечель
Микола
Йосипович","Якименко
Костянтин
Вячеславович","Дата підписання протоколу"
"050319","18","Вінницька область","школа, спортивна кімната
вул.Леніна, 68, с.Борисівка, Іллінецький р-н, Вінницька обл., 22708","456","115","454","16","325","16","341","","0","325","16","341","7","334","2","1","0","0","2","6","177","7","2","16","11","3","2","7","1","97","29.10.12"
"050320","18","Вінницька область","СТОВ ім.Шевченка, актовий зал
вул.Леніна, 165, м.Іллінці, Іллінецький р-н, Вінницька обл., 22700","712","258","703","13","441","13","454","","0","441","13","454","9","445","7","3","1","4","0","16","153","13","0","26","18","5","2","8","0","189","30.10.12"
"050321","18","Вінницька область","НВК школа-гімназія №2, хол
вул.І.Франка, 2, м.Іллінці, Іллінецький р-н, Вінницька обл., 22700","1088","379","1073","18","695","14","709","","0","695","14","709","13","696","10","3","3","5","3","30","211","22","0","71","36","8","0","18","2","274","29.10.12"
"050322","18","Вінницька область","будинок культури, фойє
вул.Леніна, 20, м.Іллінці, Іллінецький р-н, Вінницька обл., 22700","1440","488","1417","19","934","18","952","","0","934","18","952","21","931","16","7","6","3","2","45","234","25","1","94","34","16","0","28","0","420","28.10.12"
"050323","18","Вінницька область","Іллінецький державний аграрний коледж, фойє
вул.Червона Площа, 2, м.Іллінці, Іллінецький р-н, Вінницька обл., 22700","1360","520","1347","10","831","9","840","","0","831","9","840","15","825","7","4","4","7","1","38","260","26","1","74","39","10","0","18","0","336","29.10.12"
"050324","18","Вінницька область","школа №1, коридор головного корпусу
вул.Кірова, 41, м.Іллінці, Іллінецький р-н, Вінницька обл., 22700","2004","739","1997","36","1232","33","1265","","0","1232","33","1265","31","1234","0","1","0","4","0","21","462","45","1","132","4","6","1","2","3","552","29.10.12"
"050325","18","Вінницька область","школа №3, актовий зал
вул.Енгельса, 50, м.Іллінці, Іллінецький р-н, Вінницька обл., 22700","1084","343","1083","45","696","45","741","","0","696","45","741","15","726","13","5","8","3","0","17","198","28","3","43","49","8","4","26","0","321","29.10.12"
"050326","18","Вінницька область","ПБМП-5, столова
вул.Залізнодорожна, 50, м.Іллінці, Іллінецький р-н, Вінницька обл., 22700","844","302","837","42","506","36","542","","0","506","36","542","13","529","5","0","2","1","0","17","165","14","0","27","27","2","0","19","0","250","29.10.12"
"050327","18","Вінницька область","будинок культури, зал
вул.Перемоги, 5, с.Неменка, Іллінецький р-н, Вінницька обл., 22700","296","77","286","17","203","16","219","","0","203","16","219","5","214","4","0","1","0","1","2","131","6","0","2","3","0","0","3","0","61","29.10.12"
"050328","18","Вінницька область","СТОВ ""Дашівське рибоводне господарство"", актовий зал
вул.Леніна, 36, смт Дашів, Іллінецький р-н, Вінницька обл., 22740","628","218","616","55","356","54","410","","0","356","54","410","11","399","5","2","2","2","0","25","139","8","1","17","9","14","0","4","0","171","29.10.12"
