"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Безбах
Яків
Якович","Безус
Валерій
Олександрович","Крупський
Анатолій
Федорович","Лукіша
Микита
Анатолійович","Самойленко
Владислав
Олександрович","Саттаров
Валерій
Азамович","Суханов
Сергій
Анатолійович","Тіпко
Григорій
Васильович","Убогов
Валерій
Леонідович","Шебанова
Ганна
Олегівна","Дата підписання протоколу"
"121233","24","Дніпропетровська область","школа №135, вестибюль, 1-й поверх
вул.Березинська, 31, м.Дніпропетровськ, 49130","2220","1095","2201","8","1119","6","1125","","0","1119","6","1125","70","1055","442","17","343","33","23","6","36","30","91","34","29.10.12"
"121234","24","Дніпропетровська область","школа №135, коридор, 1-й поверх
вул.Березинська, 31, м.Дніпропетровськ, 49130","2190","1158","2170","17","1018","14","1032","","0","1018","14","1032","54","978","326","7","381","36","28","8","26","24","102","40","29.10.12"
"121235","24","Дніпропетровська область","школа №135, вестибюль, 2-й поверх
вул.Березинська, 31, м.Дніпропетровськ, 49130","2208","1189","2181","7","1014","5","1019","","0","1014","5","1019","65","954","356","12","308","31","27","9","38","17","106","50","29.10.12"
"121236","24","Дніпропетровська область","школа №135, спортивна зала, 1-й поверх
вул.Березинська, 31, м.Дніпропетровськ, 49130","1566","751","1557","8","811","4","815","","0","810","4","814","65","749","315","8","215","28","11","12","23","17","80","40","29.10.12"
"121237","24","Дніпропетровська область","гімназія №138, спортивна зала, 1-й поверх
вул.Березинська, 29, м.Дніпропетровськ, 49130","1692","873","1665","8","813","6","819","","0","812","6","818","39","779","290","6","277","37","27","4","21","13","78","26","29.10.12"
"121238","24","Дніпропетровська область","гімназія №138, коридор, 1-й поверх
вул.Березинська, 29, м.Дніпропетровськ, 49130","2034","971","2015","6","1057","6","1063","","0","1057","6","1063","67","996","363","14","338","47","30","15","28","21","87","53","29.10.12"
"121239","24","Дніпропетровська область","гімназія №138, спортивна зала, 2-й поверх
вул.Березинська, 29, м.Дніпропетровськ, 49130","2160","1063","2143","11","1088","9","1097","","0","1087","9","1096","89","1007","378","26","315","49","32","12","22","19","92","62","29.10.12"
"121240","24","Дніпропетровська область","гімназія №138, коридор, 2-й поверх
вул.Березинська, 29, м.Дніпропетровськ, 49130","1758","905","1737","15","841","12","853","","0","840","12","852","66","786","300","15","224","52","21","8","26","14","76","50","29.10.12"
"121241","24","Дніпропетровська область","гімназія №138, коридор, 3-й поверх
вул.Березинська, 29, м.Дніпропетровськ, 49130","1752","869","1745","12","874","9","883","","0","871","9","880","48","832","369","11","206","39","24","10","29","24","80","40","29.10.12"
"121242","24","Дніпропетровська область","школа №147, рекреація, 1-й поверх
просп.Миру, 51А, м.Дніпропетровськ, 49130","2274","1173","2238","11","1091","10","1101","","0","1091","10","1101","85","1016","372","17","353","43","35","8","26","14","99","49","29.10.12"
"121243","24","Дніпропетровська область","школа №147, коридор, 3-й поверх
просп.Миру, 51А, м.Дніпропетровськ, 49130","2310","1268","2267","11","1033","9","1042","","0","1033","9","1042","70","972","392","17","265","41","30","10","42","16","104","55","29.10.12"
"121244","24","Дніпропетровська область","школа №147, коридор, 2-й поверх
просп.Миру, 51А, м.Дніпропетровськ, 49130","2274","1091","2239","14","1173","10","1183","","0","1173","10","1183","97","1086","388","15","384","53","26","11","37","22","105","45","29.10.12"
"121245","24","Дніпропетровська область","школа №147, коридор, 2-й поверх
просп.Миру, 51А, м.Дніпропетровськ, 49130","2304","1128","2279","12","1164","12","1176","","0","1164","12","1176","68","1108","418","20","350","35","36","20","34","25","87","83","29.10.12"
"121246","24","Дніпропетровська область","школа №147, коридор, 1-й поверх
просп.Миру, 51А, м.Дніпропетровськ, 49130","2400","1345","2358","9","1047","8","1055","","0","1046","8","1054","79","975","455","12","238","38","34","11","33","20","97","37","29.10.12"
"121247","24","Дніпропетровська область","школа №63, вестибюль, 2-й поверх
вул.Янтарна, 71А, м.Дніпропетровськ, 49108","2400","1112","2381","11","1279","9","1288","","0","1279","9","1288","63","1225","497","17","390","40","33","18","39","21","113","57","29.10.12"
"121248","24","Дніпропетровська область","школа №63, вестибюль, 1-й поверх
вул.Янтарна, 71А, м.Дніпропетровськ, 49108","2136","945","2094","19","1177","14","1191","","0","1177","14","1191","82","1109","527","19","292","33","33","8","27","26","98","46","29.10.12"
"121249","24","Дніпропетровська область","школа №63, вестибюль, 1-й поверх
вул.Янтарна, 71А, м.Дніпропетровськ, 49108","1920","952","1911","6","962","6","968","","0","961","6","967","61","906","319","11","324","26","19","9","30","26","82","60","30.10.12"
"121250","24","Дніпропетровська область","Навчально-виховний комплекс №139, коридор, 1-й поверх
вул.Березинська, 4, м.Дніпропетровськ, 49130","2382","1142","2318","16","1228","12","1240","","0","1228","12","1240","93","1147","434","22","337","36","39","11","38","34","141","55","29.10.12"
"121251","24","Дніпропетровська область","Навчально-виховний комплекс №139, коридор, 2-й поверх
вул.Березинська, 4, м.Дніпропетровськ, 49130","2352","1148","2327","13","1198","6","1204","","0","1198","6","1204","68","1136","502","12","315","30","22","8","51","34","94","68","29.10.12"
"121252","24","Дніпропетровська область","Навчально-виховний комплекс №139, коридор, 2-й поверх
вул.Березинська, 4, м.Дніпропетровськ, 49130","2340","1116","2341","14","1211","13","1224","","0","1211","13","1224","113","1111","429","13","369","37","29","14","39","27","110","44","29.10.12"
"121253","24","Дніпропетровська область","Центр професійної освіти, актова зала, 1-й поверх
вул.Верещагіна, 103, м.Дніпропетровськ, 49108","1692","858","1691","4","830","4","834","","0","830","4","834","53","781","344","12","196","36","32","5","18","15","76","47","29.10.12"
"121254","24","Дніпропетровська область","школа №47, вестибюль, 1-й поверх
вул.Воронезька, 67, м.Дніпропетровськ, 49087","2352","1214","2333","16","1124","14","1138","","0","1124","14","1138","88","1050","415","19","293","48","34","11","26","18","108","78","29.10.12"
"121255","24","Дніпропетровська область","школа №45, вестибюль, 1-й поверх
вул.Софії Ковалевської, 88А, м.Дніпропетровськ, 49087","2376","1150","2335","10","1218","8","1226","","0","1216","8","1224","83","1141","489","16","353","43","38","5","16","19","110","52","29.10.12"
"121256","24","Дніпропетровська область","школа №45, вестибюль, 1-й поверх
вул.Софії Ковалевської, 88А, м.Дніпропетровськ, 49087","2334","1081","2316","26","1235","18","1253","","0","1233","18","1251","84","1167","523","14","341","39","26","12","25","22","104","61","29.10.12"
"121257","24","Дніпропетровська область","школа №69, вестибюль, 1-й поверх
вул.Софії Ковалевської, 86А, м.Дніпропетровськ, 49087","2382","1102","2338","14","1266","14","1280","","0","1265","14","1279","68","1211","450","15","384","45","29","13","32","20","149","74","29.10.12"
"121258","24","Дніпропетровська область","школа №47, спортивна зала, 1-й поверх
вул.Воронезька, 67, м.Дніпропетровськ, 49087","1944","986","1925","16","944","14","958","","0","944","14","958","70","888","416","11","213","32","23","8","29","15","96","45","29.10.12"
"121259","24","Дніпропетровська область","школа №17, коридор, 1-й поверх
вул.Смоленська, 1, м.Дніпропетровськ, 49074","2400","1194","2383","12","1195","11","1206","","0","1195","11","1206","90","1116","489","22","285","50","38","20","28","32","99","53","29.10.12"
"121260","24","Дніпропетровська область","гуртожиток МКП ""Дніпроелектротранс"", хол, 1-й поверх
вул.Холодильна, 8, м.Дніпропетровськ, 49074","1596","832","1576","9","756","8","764","","0","756","8","764","54","710","297","9","170","37","21","10","18","18","98","32","29.10.12"
