"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Власов
Юрій
Антонович","Галаган
Олександр
Васильович","Гвоздєв
Геннадій
Геннадійович","Джума
Вадим
Петрович","Курячий
Максим
Павлович","Руденко
Олександр
Олександрович","Тімофєєв
Євген
Олександрович","Циркін
Ігор
Маркович","Дата підписання протоколу"
"000001","25","Дніпропетровська область","
вул.Чичерина, 80, м.Дніпропетровськ","1440","330","1152","0","1110","0","1110","","0","1110","0","1110","81","1029","131","28","34","27","148","44","55","562","29.10.12"
"000002","25","Дніпропетровська область","
вул.Чичерина, 80, м.Дніпропетровськ","1664","81","1620","27","1557","26","1583","","0","1557","26","1583","134","1449","161","41","35","22","143","47","43","957","29.10.12"
"121063","25","Дніпропетровська область","школа №56, хол, 1-й поверх
вул.Скрябіна, 41, м.Дніпропетровськ, 49021","2312","1410","2274","20","884","18","902","","0","884","18","902","44","858","120","19","22","14","179","117","12","375","28.10.12"
"121064","25","Дніпропетровська область","школа №56, актова зала, 1-й поверх
вул.Скрябіна, 41, м.Дніпропетровськ, 49021","2184","1311","2120","15","858","15","873","","0","858","15","873","38","835","105","15","30","13","113","89","20","450","29.10.12"
"121071","25","Дніпропетровська область","школа №26, коридор, 1-й поверх
вул.Каруни, 129, м.Дніпропетровськ, 49023","2400","1339","2368","25","1041","20","1061","","0","1041","20","1061","59","1002","152","19","21","13","203","119","17","458","29.10.12"
"121072","25","Дніпропетровська область","школа №26, коридор, 2-й поверх
вул.Каруни, 129, м.Дніпропетровськ, 49023","2400","1327","2356","18","1060","13","1073","","0","1060","13","1073","33","1040","153","15","11","9","246","144","15","447","29.10.12"
"121073","25","Дніпропетровська область","школа №42, хол, 1-й поверх
вул.Ростовська, 88, м.Дніпропетровськ, 49023","2064","1164","2032","26","882","18","900","","0","882","18","900","51","849","163","17","18","16","196","107","18","314","29.10.12"
"121074","25","Дніпропетровська область","школа №42, спортивна зала, 1-й поверх
вул.Ростовська, 88, м.Дніпропетровськ, 49023","2157","1103","2127","18","1040","14","1054","","0","1040","14","1054","46","1008","177","14","19","14","206","135","14","429","29.10.12"
"121075","25","Дніпропетровська область","школа №55, хол, 1-й поверх
вул.Луговська, 211, м.Дніпропетровськ, 49081","2352","1183","2291","27","1147","22","1169","","2","1147","22","1169","64","1105","195","22","19","9","235","152","15","458","29.10.12"
"121076","25","Дніпропетровська область","школа №55, спортивна зала, ліворуч, 1-й поверх
вул.Луговська, 211, м.Дніпропетровськ, 49081","2376","1196","2345","25","1161","19","1180","","0","1159","19","1178","48","1130","140","13","27","8","242","126","18","556","29.10.12"
