"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Губаренко
Володимир
Анатолійович","Дорохін
Віталій
Ігорович","Макаров
Сергій
Євгенович","Серженко
Віктор
Миколайович","Ступак
Іван
Іванович","Дата підписання протоколу"
"000001","26","Дніпропетровська область","3 поверх, слідча кімната
вул.Єрмолової, 21А, м.Дніпропетровськ, 49033","104","63","50","0","41","0","41","","0","41","0","41","2","39","4","3","10","3","19","29.10.12"
"121105","26","Дніпропетровська область","школа №81, хол, 1-й поверх
вул.Юліуша Словацького, 4, м.Дніпропетровськ, 49000","1648","696","1647","47","912","40","952","","0","911","40","951","68","883","24","53","285","140","381","29.10.12"
"121106","26","Дніпропетровська область","школа №19, хол, 1-й поверх
вул.Плеханова, 13, м.Дніпропетровськ, 49000","1416","567","1404","32","822","27","849","","0","822","27","849","76","773","26","40","291","102","314","29.10.12"
"121107","26","Дніпропетровська область","інститут ""Дніпрогіпрошахт"", хол, 1-й поверх
вул.Миронова, 15, м.Дніпропетровськ, 49000","1384","654","1361","25","707","23","730","","0","707","23","730","89","641","20","43","243","90","245","29.10.12"
"121108","26","Дніпропетровська область","школа №21, актова зала, 2-й поверх
вул.Комсомольська, 51А, м.Дніпропетровськ, 49000","2368","1092","2354","62","1235","41","1276","","0","1235","41","1276","95","1181","22","60","352","122","625","29.10.12"
"121109","26","Дніпропетровська область","школа №33, хол, 1-й поверх
вул.Червона площа, 1, м.Дніпропетровськ, 49000","1960","1011","1957","26","930","19","949","","0","928","19","947","76","871","34","23","342","109","363","29.10.12"
"121110","26","Дніпропетровська область","школа №33, хол, 2-й поверх
вул.Червона площа, 1, м.Дніпропетровськ, 49000","2344","1173","2343","47","1138","33","1171","","0","1138","33","1171","99","1072","30","63","420","164","395","29.10.12"
"121111","26","Дніпропетровська область","ВАТ ""Дніпрогаз"", актова зала, 2-й поверх
вул.Володарського, 5, м.Дніпропетровськ, 49000","2208","1230","2204","44","940","38","978","","0","940","38","978","50","928","32","51","301","118","426","29.10.12"
"121112","26","Дніпропетровська область","ГКПП ""Дніпроводоканал"", хол, 1-й поверх
вул.Червона, 21, м.Дніпропетровськ, 49000","2416","1413","2404","21","990","13","1003","","0","990","13","1003","80","923","20","53","344","140","366","29.10.12"
"121113","26","Дніпропетровська область","школа №48, хол, 1-й поверх
вул.Володарського, 79, м.Дніпропетровськ, 49000","2400","1282","2397","16","1104","14","1118","","0","1104","14","1118","134","984","25","35","350","133","441","01.11.12"
"121114","26","Дніпропетровська область","Дніпропетровське медичне училище, хол, 1-й поверх
вул.Героїв Сталінграда, 23, м.Дніпропетровськ, 49000","2288","1050","2356","28","1218","20","1238","","0","1218","20","1238","102","1136","47","67","321","129","572","29.10.12"
"121115","26","Дніпропетровська область","школа №49, хол, 1-й поверх
вул.Одоєвського, 16, м.Дніпропетровськ, 49000","2120","1006","2105","39","1082","32","1114","","0","1082","32","1114","59","1055","22","40","361","109","523","29.10.12"
"121116","26","Дніпропетровська область","школа №49, коридор, 1-й поверх
вул.Одоєвського, 16, м.Дніпропетровськ, 49000","2152","1083","2130","29","1046","23","1069","","0","1046","23","1069","80","989","33","48","267","112","529","29.10.12"
"121117","26","Дніпропетровська область","школа №5, спортзал, 1-й поверх
шосе Запорізьке, 2Б, м.Дніпропетровськ, 49000","2280","1052","2266","22","1214","14","1228","","0","1214","14","1228","90","1138","41","53","389","153","502","29.10.12"
"121118","26","Дніпропетровська область","клуб ""Енергетик"", хол, 1-й поверх
шосе Запорізьке, 12, м.Дніпропетровськ, 49000","2096","922","2060","17","1158","16","1174","","0","1158","16","1174","46","1128","17","41","222","114","734","29.10.12"
"121119","26","Дніпропетровська область","школа №52, хол, 1-й поверх
вул.Мукаша Салакунова, 11, м.Дніпропетровськ, 49000","2200","1007","2151","11","1182","11","1193","","0","1182","11","1193","91","1102","33","55","337","158","519","29.10.12"
"121120","26","Дніпропетровська область","школа №52, коридор, 1-й поверх
вул.Мукаша Салакунова, 11, м.Дніпропетровськ, 49000","2368","1128","2343","12","1229","11","1240","","0","1229","11","1240","106","1134","34","50","319","147","584","29.10.12"
"121121","26","Дніпропетровська область","школа №52, спортзал, 2-й поверх
вул.Мукаша Салакунова, 11, м.Дніпропетровськ, 49000","2344","1071","2317","24","1257","16","1273","","0","1257","16","1273","89","1184","27","50","285","175","647","29.10.12"
"121122","26","Дніпропетровська область","центр позашкільної роботи, хол, 1-й поверх
ж/м Тополя-1, 8А, м.Дніпропетровськ, 49000","2358","1129","2341","19","1212","17","1229","","0","1212","17","1229","91","1138","30","64","329","137","578","29.10.12"
"121123","26","Дніпропетровська область","клуб школярів ""Фенікс"", хол, 1-й поверх
шосе Запорізьке, 48, м.Дніпропетровськ, 49000","2248","994","2202","13","1245","9","1254","","0","1245","9","1254","93","1161","23","41","317","161","619","29.10.12"
"121124","26","Дніпропетровська область","клуб школярів ""Гармонія"", хол, 1-й поверх
шосе Запорізьке, 40, м.Дніпрропетровськ, 49000","2240","1009","2217","15","1220","11","1231","","0","1220","11","1231","107","1124","29","64","272","139","620","29.10.12"
"121125","26","Дніпропетровська область","школа №78, хол, 1-й поверх
вул.Тополина, 37, м.Дніпропетровськ, 49000","1896","997","1891","8","893","6","899","","0","893","6","899","48","851","26","34","252","103","436","29.10.12"
"121126","26","Дніпропетровська область","школа №78, коридор, 1-й поверх
вул.Тополина, 37, м.Дніпропетровськ, 49000","1904","1075","1881","9","823","6","829","","0","823","6","829","83","746","24","41","194","94","393","29.10.12"
"121127","26","Дніпропетровська область","школа №78, спортзал, 1-й поверх
вул.Тополина, 37 м.Дніпропетровськ, 49000","1928","905","1914","21","1006","17","1023","","0","1006","17","1023","72","951","22","49","261","106","513","29.10.12"
"121128","26","Дніпропетровська область","школа №78, хол №2, 1-й поверх
вул.Тополина, 37, м.Дніпропетровськ, 49000","2064","1007","2039","37","1028","29","1057","","0","1028","29","1057","62","995","31","34","185","89","656","29.10.12"
"121129","26","Дніпропетровська область","школа №53, хол, 1-й поверх
вул.Тополина, 35, м.Дніпропетровськ, 49000","2216","1140","2180","20","1062","14","1076","","0","1062","14","1076","90","986","29","38","275","123","521","29.10.12"
"121130","26","Дніпропетровська область","школа №53, коридор, 1-й поверх
вул.Тополина, 35, м.Дніпропетровськ, 49000","2336","1220","2302","14","1108","8","1116","","0","1108","8","1116","94","1022","26","40","321","124","511","29.10.12"
"121131","26","Дніпропетровська область","школа №53, спортзал, 1-й поверх
вул.Тополина, 35, м.Дніпропетровськ, 49000","1952","1096","1913","10","849","7","856","","0","849","7","856","57","799","29","30","190","110","440","29.10.12"
"121132","26","Дніпропетровська область","терцентр по обслуговуванню громадян, хол, 1-й поверх
вул.Панікахи, 75, м.Дніпропетровськ, 49000","2408","1054","2376","19","1337","17","1354","","0","1337","17","1354","112","1242","30","48","363","187","614","29.10.12"
"121133","26","Дніпропетровська область","школа №99, хол, 1-й поверх
вул.Комбрига Петрова, 17, м.Дніпропетровськ, 49000","1952","916","1936","14","1022","14","1036","","0","1022","14","1036","80","956","30","38","265","173","450","29.10.12"
"121134","26","Дніпропетровська область","школа №99, спортзал, 1-й поверх
вул.Комбрига Петрова, 17, м.Дніпропетровськ, 49000","2136","1046","2090","16","1076","14","1090","","0","1076","14","1090","57","1033","29","63","256","93","592","29.10.12"
"121135","26","Дніпропетровська область","школа №137, хол, 1-й поверх
вул.Комбрига Петрова, 29, м.Дніпропетровськ, 49000","2312","1145","2271","21","1147","20","1167","","0","1147","20","1167","75","1092","23","50","300","174","545","29.10.12"
"121136","26","Дніпропетровська область","школа №137, 1-й поверх
вул.Комбрига Петрова, 29, м.Дніпропетровськ, 49000","2224","1018","2187","22","1188","18","1206","","0","1188","18","1206","78","1128","31","43","355","150","549","29.10.12"
"121137","26","Дніпропетровська область","школа №80, спортзал, 1-й поверх
вул.Комбрига Петрова, 31, м.Дніпропетровськ, 49000","2336","1003","2309","26","1308","25","1333","","0","1308","25","1333","77","1256","31","72","336","54","763","29.10.12"
"121138","26","Дніпропетровська область","школа №80, хол, 1-й поверх
вул.Комбрига Петрова, 31, м.Дніпропетровськ, 49000","2376","1018","2323","14","1349","9","1358","","0","1349","9","1358","38","1320","13","18","394","21","874","29.10.12"
"121139","26","Дніпропетровська область","технікум економіки та бізнесу, хол, 1-й поверх
вул.Героїв Сталінграда, 49А, м.Дніпропетровськ, 49000","2144","1375","2145","36","753","16","769","","0","753","16","769","63","706","22","37","215","105","327","29.10.12"
"121140","26","Дніпропетровська область","школа №61, хол, 1-й поверх
вул.Єрмолової, 50, м.Дніпропетровськ, 49000","1864","968","1846","18","881","15","896","","0","881","15","896","87","809","27","34","234","131","383","29.10.12"
"121141","26","Дніпропетровська область","школа №61, коридор, 1-й поверх
вул.Єрмолової, 50, м.Дніпропетровськ, 49000","2400","1177","2372","30","1195","28","1223","","0","1195","28","1223","124","1099","35","36","275","171","582","29.10.12"
"121142","26","Дніпропетровська область","школа №112, хол, 1-й поверх
вул.Солідарна, 4, м.Дніпропетровськ, 49000","2368","1164","2339","65","1153","51","1204","","0","1153","51","1204","76","1128","40","60","333","137","558","28.10.12"
"121143","26","Дніпропетровська область","школа №112, їдальня, 1-й поверх
вул.Солідарна, 4, м.Дніпропетровськ, 49000","1944","948","1926","45","963","33","996","","0","961","33","994","62","932","25","42","245","184","436","29.10.12"
"121144","26","Дніпропетровська область","школа №126, їдальня, 1-й поверх
вул.Казакевича, 7, м.Дніпропетровськ, 49000","2408","1211","2368","55","1153","44","1197","","0","1153","44","1197","85","1112","30","31","257","150","644","29.10.12"
"121145","26","Дніпропетровська область","школа №126, спортзал, 1-й поверх
вул.Казакевича, 7, м.Дніпропетровськ, 49000","1896","838","1860","40","1025","33","1058","","0","1025","33","1058","47","1011","32","36","253","155","535","28.10.12"
"121146","26","Дніпропетровська область","КСК ""Шинник"", хол, 1-й поверх
вул.Героїв Сталінграда, 118А, м.Дніпропетровськ, 49000","2384","1068","2363","42","1280","36","1316","","0","0","0","1316","104","1212","39","50","268","218","637","29.10.12"
"121147","26","Дніпропетровська область","КСК ""Шинник"", коридор, 1-й поверх
вул.Героїв Сталінграда, 118А, м.Дніпропетровськ, 49000","2432","1224","2385","22","1190","18","1208","","0","1190","18","1208","76","1132","39","52","257","234","550","29.10.12"
"121148","26","Дніпропетровська область","школа №119, хол, 1-й поверх
вул.Юних ленінців, 17, м.Дніпропетровськ, 49000","2344","1270","2307","49","1042","32","1074","","0","1042","32","1074","30","1044","25","35","204","189","591","29.10.12"
"121149","26","Дніпропетровська область","КП ""Жилсервіс-4"", хол, 1-й поверх
вул.Юних ленінців, 26, м.Дніпропетровськ, 49000","2256","1122","2213","34","1111","23","1134","","0","1111","23","1134","89","1045","51","46","284","94","570","29.10.12"
"121150","26","Дніпропетровська область","гуртожиток №3 ""Дніпропрес"", хол, 2-й поверх
вул.Юних ленців, 30, м.Дніпропетровськ, 49000","2176","1166","2145","26","987","23","1010","","0","987","23","1010","82","928","36","33","202","158","499","29.10.12"
"121151","26","Дніпропетровська область","школа №25, хол, 1-й поверх
вул.Бориса Кротова, 19, м.Дніпропетровськ, 49000","1864","1040","1852","4","821","3","824","","0","820","3","823","50","773","11","26","157","88","491","30.10.12"
"121152","26","Дніпропетровська область","школа №25, коридор, 1-й поверх
вул.Бориса Кротова, 19, м.Дніпропетровськ, 49000","1888","1116","1863","1","771","1","772","","0","771","1","772","60","712","23","39","183","100","367","29.10.12"
"121153","26","Дніпропетровська область","школа №25, спортзал, 1-й поверх
вул.Бориса Кротова, 19, м.Дніпропетровськ, 49000","1848","1022","1822","4","825","1","826","","0","825","1","826","53","773","21","21","157","92","482","29.10.12"
"121154","26","Дніпропетровська область","школа №40, їдальня, 1-й поверх
вул.Альвінського, 3, м.Дніпропетровськ, 49000","2232","1250","2196","23","961","21","982","","0","960","21","981","86","895","21","31","250","108","485","29.10.12"
"121155","26","Дніпропетровська область","школа №40, хол, 1-й поверх
вул.Альвінського, 3, м.Дніпропетровськ, 49000","1656","890","1629","24","744","22","766","","0","744","22","766","36","730","16","22","144","100","448","29.10.12"
"121156","26","Дніпропетровська область","школа №40, хол, 2-й поверх
вул.Альвінського, 3, м.Дніпропетровськ, 49000","1888","1291","1858","19","589","8","597","","0","589","8","597","80","517","11","12","100","66","328","29.10.12"
"121157","26","Дніпропетровська область","школа №40, хол, 3-й поверх
вул.Альвінського, 3, м.Дніпропетровськ, 49000","1680","971","1675","14","695","14","709","","0","695","14","709","58","651","23","29","152","85","362","29.10.12"
"121158","26","Дніпропетровська область","школа №137, спортзал, 1-й поверх
вул. Аеродром, 268, смт Авіаторське, м.Дніпропетровськ, 49032","1992","860","1933","23","1112","20","1132","","0","0","0","1132","63","1069","21","35","199","108","706","29.10.12"
"121159","26","Дніпропетровська область","Міський пологовий будинок №1, к.103
вул.Леніна, 2, м.Дніпропетровськ, 49000","152","5","148","2","145","2","147","","0","145","2","147","4","143","0","3","9","4","127","28.10.12"
"121160","26","Дніпропетровська область","Дніпропетровська міська клінічна лікарня №16, к.103
вул.Героїв Сталінграда, 19, м.Дніпропетровськ, 49000","416","31","389","151","234","151","385","","0","234","151","385","17","368","6","9","45","13","295","29.10.12"
"121161","26","Дніпропетровська область","Міська клінічна лікарня №15, к.103
вул.Перемоги, 113, м.Дніпропетровськ, 49000","96","9","88","0","87","0","87","","0","87","0","87","2","85","1","1","6","6","71","29.10.12"
"121286","26","Дніпропетровська область","Вальдорфська школа, фойє, 1-й поверх
пр.Кірова, 133, м.Дніпропетровськ, 49101","2384","1131","2353","37","1225","28","1253","","0","1225","28","1253","119","1134","34","46","315","163","576","29.10.12"
"121287","26","Дніпропетровська область","школа №75, вестибюль, 1-й поверх
вул.Гавриленка, 8А, м.Дніпропетровськ, 49061","2328","1169","2306","46","1118","41","1159","","0","1118","41","1159","82","1077","30","42","301","124","580","29.10.12"
"121288","26","Дніпропетровська область","школа №128, актова зала, 1-й поверх
вул.Гавриленка, 4, м.Дніпропетровськ, 49061","2424","1175","2403","24","1228","21","1249","","0","1228","21","1249","89","1160","36","37","313","208","566","02.11.12"
"121289","26","Дніпропетровська область","школа №22, хол, 1-й поверх
вул.Нахімова, 57, м.Дніпропетровськ, 49061","1064","573","1052","21","471","20","491","","0","471","20","491","29","462","14","22","132","51","243","29.10.12"
"121290","26","Дніпропетровська область","школа №22, хол, 2-й поверх
вул.Нахімова, 57, м.Дніпропетровськ, 49061","1728","949","1710","25","756","23","779","","0","756","23","779","56","723","27","34","210","96","356","29.10.12"
"121291","26","Дніпропетровська область","дитячо-юнацький центр, ізостудія, 1-й поверх
пр.Кірова, 70А, м.Дніпропетровськ, 49054","1744","878","1750","30","840","26","866","","0","839","26","865","76","789","28","40","226","110","385","29.10.12"
"121292","26","Дніпропетровська область","гуртожиток №3, вестибюль, 1-й поверх
пр.Кірова, 80Б, м.Дніпропетровськ, 49054","1872","1052","1842","19","803","17","820","","0","803","17","820","49","771","29","41","281","120","300","29.10.12"
"121293","26","Дніпропетровська область","Автотранспортний технікум, спортивна зала, 1-й поверх
пр.Кірова, 111, м.Дніпропетровськ, 49054","2264","1115","2283","20","1134","15","1149","","0","1134","15","1149","85","1064","45","48","282","151","538","29.10.12"
"121294","26","Дніпропетровська область","школа №16, вестибюль, 1-й поверх
вул.Героїв Сталінграду, 14Б, м.Дніпропетровськ, 49069","1496","753","1465","39","708","35","743","","1","707","35","742","61","681","26","32","212","94","317","29.10.12"
"121295","26","Дніпропетровська область","школа №16, їдальня, 1-й поверх
вул.Героїв Сталінграду, 14Б, м.Дніпропетровськ, 49069","1584","793","1565","24","771","20","791","","0","771","20","791","53","738","18","40","208","99","373","29.10.12"
"121296","26","Дніпропетровська область","школа №37, спортивна зала, 1-й поверх
вул.Героїв Сталінграду, 8Г, м.Дніпропетровськ, 49069","2392","1066","2359","45","1281","45","1326","","0","1281","45","1326","115","1211","33","56","322","187","613","29.10.12"
"121297","26","Дніпропетровська область","Дніпропетровський педагогічний коледж, фойє, 1-й поверх
просп.Кірова, 83, м.Дніпропетровськ, 49000","1544","730","1533","24","790","24","814","","0","790","24","814","56","758","25","33","241","102","357","29.10.12"
"121298","26","Дніпропетровська область","школа №13, коридор, 1-й поверх
вул.Димитрова, 50, м.Дніпропетровськ, 49101","1504","822","1466","19","663","19","682","","0","663","19","682","43","639","23","34","235","73","274","29.10.12"
