"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Алмазова
Ганна
Володимирівна","Бік
Дмитро
Євгенович","Богданенко
Олександр
Васильович","Деркач
Микола
Іванович","Деркач
Олег
Валерійович","Захаров
Кирило
Віталійович","Конопелькін
Олександр
Вікторович","Мамрич
Олександр
Степанович","Момот
Олександр
Іванович","Плюта
Володимир
Федорович","Староскольцева
Анастасія
Олександрівна","Хазан
Павло
Вікторович","Чумак
Світлана
Олександрівна","Дата підписання протоколу"
"121162","27","Дніпропетровська область","Палац студентів, хол, 1-й поверх
пл.Шевченка, 1, м.Дніпропетровськ, 49027","1872","777","1861","34","1065","30","1095","","0","1065","30","1095","30","1065","13","30","5","15","60","4","18","190","304","7","254","39","126","29.10.12"
"121163","27","Дніпропетровська область","Дніпропетровський державний аграрний університет, ауд.140, 1-й поверх
вул.Ворошилова, 25, м.Дніпропетровськ, 49027","1824","652","1831","25","1148","24","1172","","0","1148","24","1172","30","1142","4","39","5","97","19","7","13","197","337","4","261","40","119","29.10.12"
"121164","27","Дніпропетровська область","Дніпропетровська консерваторія ім.М.Глінки, хол, 1-й поверх
вул.Ливарна, 10, м.Дніпропетровськ, 49044","1752","807","1746","10","940","5","945","","0","940","5","945","24","921","9","32","5","32","23","8","13","199","274","2","218","26","80","29.10.12"
"121165","27","Дніпропетровська область","навчально-виховний комплекс №100, хол, 1-й поверх
пл.Дем’яна Бєдного, 1, м.Дніпропетровськ, 49000","1554","650","1543","15","889","15","904","","0","889","15","904","34","870","8","10","9","44","11","5","12","168","240","5","238","21","99","29.10.12"
"121166","27","Дніпропетровська область","Дніпропетровська медична академія, хол, 1-й поверх
пл.Жовтнева, 4, м.Дніпропетровськ, 49044","2328","950","2296","15","1364","14","1378","","0","1364","14","1378","50","1328","20","19","16","73","13","18","26","215","494","11","252","35","136","29.10.12"
"121167","27","Дніпропетровська область","Академія митної служби України, хол, 1-й поверх
вул.Дзержинського, 2/4, м.Дніпропетровськ, 49000","1728","686","1734","18","1027","15","1042","","0","1027","15","1042","46","996","21","26","12","46","28","33","19","216","285","2","195","30","83","29.10.12"
"121168","27","Дніпропетровська область","Дніпропетровський технікум зварювання та електроніки, хол, 1-й поверх
вул.Клари Цеткін, 2А, м.Дніпропетровськ, 49044","1410","547","1395","11","855","8","863","","0","855","8","863","18","845","8","12","6","10","41","10","9","157","229","5","227","27","104","29.10.12"
"121169","27","Дніпропетровська область","ДРІДУ НАДУ при Президентові України, коридор, 1-й поверх
вул.Гоголя, 29, м.Дніпропетровськ, 49044","1746","793","1722","27","928","25","953","","0","925","25","950","35","915","9","14","3","46","15","7","14","178","291","13","204","22","99","31.10.12"
"121170","27","Дніпропетровська область","Придніпровська державна академія будівництва та архітектури, гуртожиток №2, актова зала, 1-й поверх
вул.Жуковського, 6А, м.Дніпропетровськ, 49005","2064","929","2073","28","1111","24","1135","","0","1111","24","1135","36","1099","11","10","5","45","13","11","22","227","338","4","272","39","102","29.10.12"
"121171","27","Дніпропетровська область","Придніпровська державна академія будівництва та архітектури, 1-й хол, 1-й поверх
вул.Чернишевського, 24А, м.Дніпропетровськ, 49005","1662","845","1678","7","810","7","817","","0","810","7","817","39","778","8","21","13","17","9","23","32","155","234","1","167","27","71","29.10.12"
