"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Величко
Катерина
Олександрівна","Галілей
Анатолій
Степанович","Завротська
Тетяна
Вікторівна","Колесников
Денис
Вікторович","Макаров
Владислав
Леонідович","Морозенко
Євгеній
Вадимович","Осташ
Євген
Дмитрович","Петров
Вадим
Григорович","Средняк
Валерій
Якович","Табурянський
Леопольд
Іванович","Терешко
Руслан
Ігоревич","Тигов
Олександр
Олександрович","Чукмасов
Сергій
Олександрович","Шендрик
Анатолій
Миколайович","Шинкаренко
Ігор
Петрович","Шинкаренко
Наталія
Володимирівна","Дата підписання протоколу"
"121059","28","Дніпропетровська область","школа №134, хол, 1-й поверх
вул.Шолохова, 17, м.Дніпропетровськ, 49080","2428","1244","2393","14","1178","6","1184","","0","1178","6","1184","54","1130","28","197","19","38","10","264","10","8","8","47","20","25","131","8","196","121","28.10.12"
"121060","28","Дніпропетровська область","школа №134, боковий коридор, 1-й поверх
вул.Шолохова, 17, м.Дніпропетровськ, 49080","2396","1209","2356","9","1182","5","1187","","0","1182","5","1187","73","1114","37","184","20","36","9","269","16","5","10","39","14","28","121","8","192","126","29.10.12"
"121061","28","Дніпропетровська область","школа №134, боковий коридор, 2-й поверх
вул.Шолохова, 17, м.Дніпропетровськ, 49080","2388","1174","2362","8","1207","7","1214","","0","1207","7","1214","73","1141","34","163","11","41","8","325","11","13","7","37","16","22","133","16","162","142","29.10.12"
"121062","28","Дніпропетровська область","школа-інтернат для слабозорих дітей, хол, 2-й поверх
вул.Саранська, 6, м.Дніпропетровськ, 49021","2368","1314","2346","15","1040","14","1054","","0","1040","14","1054","57","997","32","131","23","17","8","242","14","13","10","28","8","24","174","11","161","101","29.10.12"
"121371","28","Дніпропетровська область","школа №105, спортивна зала, 1-й поверх
вул.Жовтнева, 26, м.Дніпропетровськ, 49028","2404","1412","2374","67","948","44","992","","0","948","44","992","56","936","25","89","21","44","9","315","4","5","7","93","6","16","82","2","124","94","29.10.12"
"121372","28","Дніпропетровська область","школа №124, коридор, 1-й поверх
вул.Кірова, 2, м.Дніпропетровськ, 49020","2024","1184","2031","31","815","25","840","","0","815","25","840","39","801","22","131","16","43","9","275","4","3","5","43","6","15","47","6","81","95","29.10.12"
"121373","28","Дніпропетровська область","школа №124, коридор, 2-й поверх
вул.Кірова, 2, м.Дніпропетровськ, 49020","2204","1353","2190","22","832","19","851","","0","832","19","851","43","808","14","148","16","24","5","291","1","2","1","41","3","19","85","8","67","83","29.10.12"
"121374","28","Дніпропетровська область","школа №123, коридор, 2-й поверх
вул.Академіка Кисловського, 1, м.Дніпропетровськ, 49131","2268","1311","2229","70","898","59","957","","0","898","59","957","62","895","24","125","18","24","7","305","4","4","2","50","5","21","64","4","129","109","29.10.12"
"121375","28","Дніпропетровська область","школа №123, коридор, 3-й поверх
вул.Академіка Кисловського, 1, м.Дніпропетровськ, 49131","2216","1354","2171","42","823","39","862","","0","823","39","862","39","823","18","135","10","38","4","215","5","2","4","41","5","16","96","8","140","86","29.10.12"
"121376","28","Дніпропетровська область","школа №92, спортивна зала, 2-й поверх
вул.Мукачівська, 67, м.Дніпропетровськ, 49086","2296","1388","2244","18","894","14","908","","0","894","14","908","59","849","22","139","13","64","4","255","3","3","7","73","7","8","68","10","93","80","29.10.12"
"121377","28","Дніпропетровська область","навчально-виховний комплекс №104, коридор, 1-й поверх
вул.Ясенова, 65, м.Дніпропетровськ, 49020","1168","576","1159","29","563","29","592","","0","563","29","592","22","570","1","47","6","47","4","261","0","4","1","29","2","11","42","1","78","36","29.10.12"
"121378","28","Дніпропетровська область","школа №94, добудова, хол, 1-й поверх
вул.Братів Трофімових, 463, м.Дніпропетровськ, 49016","2208","1367","2190","27","816","25","841","","0","816","25","841","56","785","10","117","10","48","5","283","4","8","0","62","13","21","42","3","96","63","29.10.12"
"121379","28","Дніпропетровська область","школа №94, основна будова, хол, 2-й поверх
вул.Братів Трофімових, 463, м.Дніпропетровськ, 49016","1936","1274","1929","38","641","21","662","","0","641","21","662","44","618","17","86","5","50","3","193","5","3","4","25","5","17","45","2","82","76","29.10.12"
"121380","28","Дніпропетровська область","школа №94, основна будова, хол, 1-й поверх
вул.Братів Трофімових, 463, м.Дніпропетровськ, 49016","2288","1445","2257","27","820","23","843","","0","820","23","843","46","797","7","123","5","46","9","314","3","1","5","58","8","19","26","4","102","67","29.10.12"
"121381","28","Дніпропетровська область","міжшкільний навчально-виробничий комбінат №4, коридор, 2-й поверх
вул.Братів Трофімових, 213Б, м.Дніпропетровськ, 49018","1632","1029","1607","29","578","25","603","","0","578","25","603","36","567","8","80","6","14","1","193","2","3","6","43","6","9","57","2","66","71","28.10.12"
"121382","28","Дніпропетровська область","міжшкільний навчально-виробничий комбінат №4, коридор, 1-й поверх
вул.Братів Трофімових, 213Б, м.Дніпропетровськ, 49018","1664","1086","1637","8","576","2","578","","0","576","2","578","25","553","8","82","8","28","5","193","3","2","2","22","4","12","31","3","95","55","28.10.12"
"121383","28","Дніпропетровська область","навчально-виховний комплекс №103, коридор, 2-й поверх
вул.Доблесна, 158, м.Дніпропетровськ, 49053","2308","1390","2273","48","879","39","918","","0","879","39","918","45","873","14","178","10","43","4","206","4","10","2","74","6","16","98","7","74","127","29.10.12"
"121384","28","Дніпропетровська область","школа №84, роздягальня, 1-й поверх
вул.Комунарівська, 264, м.Дніпропетровськ, 49072","2348","1523","2294","30","801","24","825","","0","801","24","825","42","783","7","121","12","36","6","289","3","5","3","48","1","13","51","6","99","83","28.10.12"
"121385","28","Дніпропетровська область","школа №84, мала зала, 1-й поверх
вул.Комунарівська, 264, м.Дніпропетровськ, 49072","2328","1546","2297","32","760","22","782","","0","760","22","782","48","734","9","143","15","34","9","227","3","7","2","46","1","17","42","5","85","89","28.10.12"
"121386","28","Дніпропетровська область","школа №84, коридор, 2-й поверх
вул.Комунарівська, 264, м.Дніпропетровськ, 49072","2368","1488","2325","23","865","15","880","","0","865","15","880","49","831","18","102","14","34","5","347","2","4","2","48","10","19","40","3","101","82","28.10.12"
"121387","28","Дніпропетровська область","палац творчості дітей та юнацтва, хол, 2-й поверх
вул.Комунарівська, 17А, м.Дніпропетровськ, 49128","844","475","836","13","358","11","369","","0","358","11","369","23","346","5","67","5","12","2","110","1","2","0","19","4","7","23","2","45","42","29.10.12"
"121388","28","Дніпропетровська область","палац творчості дітей та юнацтва, к.1, 1-й поверх
вул.Комунарівська, 17А, м.Дніпропетровськ, 49128","2336","1219","2315","14","1110","7","1117","","0","1110","7","1117","46","1071","22","226","13","41","8","274","8","8","9","68","9","28","97","7","136","117","29.10.12"
"121389","28","Дніпропетровська область","школа №91, фойє, 2-й поверх
вул.Будьонного, 52, м.Дніпропетровськ, 49102","2400","1423","2345","19","963","14","977","","0","963","14","977","55","922","15","108","16","48","7","324","5","5","6","35","2","34","67","7","126","117","01.11.12"
"121390","28","Дніпропетровська область","школа №91, фойє, 1-й поверх
вул.Будьонного, 52, м.Дніпропетровськ, 49102","2316","1225","2286","17","1078","13","1091","","0","1077","13","1090","50","1040","12","160","18","58","8","400","3","4","13","31","8","23","78","9","121","94","01.11.12"
"121391","28","Дніпропетровська область","школа №93, вестибюль, 1-й поверх
вул.Будьонного, 54, м.Дніпропетровськ, 49102","1852","1027","1811","12","815","10","825","","0","815","10","825","55","770","12","102","9","37","5","326","1","6","6","34","7","23","44","5","87","66","29.10.12"
"121392","28","Дніпропетровська область","школа №93, вестибюль, 1-й поверх
вул.Будьонного, 54, м.Дніпропетровськ, 49102","1860","1092","1835","32","743","25","768","","0","743","25","768","30","738","16","102","9","33","7","263","4","9","0","40","3","24","61","8","89","70","29.10.12"
