"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бутківський
Віктор
Володимирович","Гноєвий
Віктор
Григорович","Мазур
Валерій
Григорович","Маласай
Віталій
Миколайович","Мельник
Сергій
Ігорович","Пегушин
Павло
Іванович","Садовий
Тарас
Іванович","Чалий
Дмитро
Володимирович","Штамбург
Вячеслав
Віталійович","Дата підписання протоколу"
"120103","29","Дніпропетровська область","школа №4, фойє
вул.Партизанська, 56, м.Підгородне, Дніпропетровський р-н, Дніпропетровська обл., 52002","2328","1367","2301","50","917","44","961","","0","917","44","961","67","894","394","65","31","37","28","9","202","105","23","29.10.12"
"120104","29","Дніпропетровська область","школа №3, фойє
вул.Ленінградська, 5, м.Підгородне, Дніпропетровський р-н, Дніпропетровська обл., 52001","2400","1436","2377","18","951","13","964","","0","951","13","964","57","907","316","35","41","48","44","20","270","120","13","29.10.12"
"120105","29","Дніпропетровська область","школа №3, актова зала
вул.Ленінградська, 5, м.Підгородне, Дніпропетровський р-н, Дніпропетровська обл., 52001","2352","1536","2324","19","804","12","816","","0","804","12","816","74","742","234","25","26","39","60","10","210","117","21","29.10.12"
"120106","29","Дніпропетровська область","школа №1, фойє
вул.Леніна, 1, м.Підгородне, Дніпропетровський р-н, Дніпропетровська обл., 52001","2432","1482","2421","35","925","25","950","","0","919","25","944","56","888","272","49","22","59","36","11","288","125","26","30.10.12"
"120107","29","Дніпропетровська область","міська лікарня, коридор
вул.Шосейна, 82, м.Підгородне, Дніпропетровський р-н, Дніпропетровська обл., 52001","2424","1537","2394","33","860","27","887","","0","860","27","887","74","813","221","63","27","81","37","16","187","162","19","29.10.12"
"120108","29","Дніпропетровська область","школа №2, фойє
вул.Радянська, 2А, м.Підгородне, Дніропетровський р-н, Дніпропетровська обл., 52001","2024","1287","1993","48","707","30","737","","0","707","30","737","41","696","249","41","8","46","36","6","202","101","7","29.10.12"
"120109","29","Дніпропетровська область","будинок культури, зала
вул.Центральна, 44, м.Підгородне, Дніпропетровський р-н, Дніпропетровська обл., 52001","2376","1299","2356","51","1044","33","1077","","0","1044","33","1077","102","975","346","44","23","54","51","6","307","120","24","29.10.12"
"120110","29","Дніпропетровська область","школа, спортзал
вул.Центральна, 36, смт Кіровське, Дніпропетровський р-н, Дніпропетровська обл., 52030","2424","1030","2387","89","1328","66","1394","","0","1328","66","1394","45","1349","761","88","15","15","38","23","260","131","18","30.10.12"
"120111","29","Дніпропетровська область","птахофабрика, фойє
вул.Леніна, 543, смт Кіровське, Дніпропетровський р-н, Дніпропетровська обл., 52031","1560","893","1530","23","647","20","667","","0","647","20","667","32","635","327","50","21","7","9","9","143","59","10","29.10.12"
"120112","29","Дніпропетровська область","школа №2, спортзал
вул.Леніна, 49, смт Кіровське, Дніпропетровський р-н, Дніпропетровська обл., 52030","2208","1222","2182","68","925","61","986","","0","925","61","986","59","927","393","89","17","10","43","17","217","124","17","29.10.12"
