"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Вернигор
Віра
Петрівна","Гончар
Володимир
Михайлович","Качанов
Ігор
Вікторович","Литвиненко
Павло
Леонідович","Павлов
Костянтин
Юрійович","Дата підписання протоколу"
"000001","31","Дніпропетровська область","
вул.Світла, 2, м. Кривий Ріг, Дніпропетровська обл., 50066","1216","346","874","0","870","0","870","","0","870","0","870","12","858","14","25","6","17","796","29.10.12"
"121554","31","Дніпропетровська область","ДП ""Овація"" ПАТ ""ЦГЗК"", фойє, 2-й поверх
вул.Мусоргського, 19, м.Кривий Ріг, Дніпропетровська обл., 50053","2200","1153","2168","52","1011","36","1047","","0","1011","36","1047","56","991","186","132","22","151","500","29.10.12"
"121555","31","Дніпропетровська область","ДП ""Овація"" ПАТ ""ЦГЗК"", фойє, 2-й поверх
вул.Мусоргського, 19, м.Кривий Ріг, Дніпропетровська обл., 50053","1760","758","1738","32","973","29","1002","","0","973","29","1002","56","946","188","119","16","147","476","29.10.12"
"121556","31","Дніпропетровська область","школа №111, к.1, 1-й поверх
вул.Армавірська, 10А, м.Кривий Ріг, Дніпропетровська обл., 50053","1928","825","1901","20","1083","20","1103","","0","1083","20","1103","51","1052","181","125","40","146","560","29.10.12"
"121557","31","Дніпропетровська область","школа №46, к.104, 1-й поверх
вул.П’ятихатська, 13, м.Кривий Ріг, Дніпропетровська обл., 50053","2424","1158","2378","42","1225","41","1266","","0","1225","41","1266","41","1225","316","182","31","142","554","29.10.12"
"121558","31","Дніпропетровська область","Відділ навчання та розвитку персоналу ПАТ ""ЦГЗК"", к.7, 1-й поверх
вул.Мусоргського, 15, м.Кривий Ріг, Дніпропетровська обл., 50053","1976","871","1936","26","1081","24","1105","","0","1081","24","1105","65","1040","204","163","26","186","461","29.10.12"
"121559","31","Дніпропетровська область","Криворізький професійний гірничо-технологічний ліцей, фойє, 1-й поверх
вул.Елістинська, 1, м.Кривий Ріг, Дніпропетровська обл., 50015","2016","966","1974","46","1015","35","1050","","0","1015","35","1050","51","999","223","171","27","157","421","29.10.12"
"121560","31","Дніпропетровська область","центр підготовки та перепідготовки робітничих кадрів будівельної галузі, к.1, 1-й поверх
вул.Кропивницького, 21А, м.Кривий Ріг, Дніпропетровська обл., 50015","1912","954","1882","40","925","33","958","","0","925","33","958","48","910","229","155","17","157","352","29.10.12"
"121561","31","Дніпропетровська область","КЗ ""Міський палац дитячо-юнацької творчості ""Горицвіт"", к.17, 2-й поверх
вул.Ватутіна, 33, м.Кривий Ріг, Дніпропетровська обл., 50015","1824","758","1786","24","1045","21","1066","","0","1045","21","1066","44","1022","244","165","29","142","442","29.10.12"
"121562","31","Дніпропетровська область","КЗ ""Міський палац дитячо-юнацької творчості ""Горицвіт"", к.1, 1-й поверх
вул.Ватутіна, 33, м.Кривий Ріг, Дніпропетровська обл., 50015","1664","735","1642","11","919","10","929","","0","919","10","929","39","890","217","135","19","117","402","29.10.12"
