"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Алексєєв
Володимир
Васильович","Жаботинський
Андрій
Вікторович","Задорожний
Вячеслав
Казимирович","Кривенко
Ірина
Василівна","Дата підписання протоколу"
"121482","33","Дніпропетровська область","Криворізький педагогічний інститут (гуманітарний корпус), вестибюль, 1-й поверх
вул.Димитрова, 79А, м.Кривий Ріг, Дніпропетровська обл., 50027","2344","937","2303","30","1383","24","1407","","0","1383","24","1407","78","1329","298","285","494","252","29.10.12"
"121483","33","Дніпропетровська область","школа №7, коридор, 1-й поверх
вул.Димитрова, 48, м.Кривий Ріг, Дніпропетровська обл., 50027","1512","719","1497","29","775","18","793","","0","775","18","793","31","762","155","139","319","149","29.10.12"
"121484","33","Дніпропетровська область","музична школа №4, лівий хол, 1-й поверх
вул.22 Партз’їзду, 32А, м.Кривий Ріг, Дніпропетровська обл., 50065","1664","743","1649","22","902","19","921","","0","902","19","921","40","881","152","139","402","188","29.10.12"
"121485","33","Дніпропетровська область","музична школа №4, центральний хол, 1-й поверх
вул.22 Партз’їзду, 32А, м.Кривий Ріг, Дніпропетровська обл., 50065","1640","727","1623","21","897","16","913","","0","897","16","913","63","850","159","157","381","153","29.10.12"
"121486","33","Дніпропетровська область","школа №103, шкільна рекреація, 1-й поверх
вул.Костенка, 23, м.Кривий Ріг, Дніпропетровська обл., 50065","1968","874","1939","50","1063","31","1094","","0","1063","31","1094","60","1034","158","238","442","196","29.10.12"
"121487","33","Дніпропетровська область","Криворізький національний університет, корпус 1, фойє, 1-й поверх
вул.22 Партз’їзду, 11, м.Кривий Ріг, Дніпропетровська обл., 50027","2280","869","2274","50","1370","41","1411","","0","1370","41","1411","62","1349","261","316","544","228","29.10.12"
"121488","33","Дніпропетровська область","школа №4, шкільна рекреація, 1-й поверх
вул.Димитрова, 15, м.Кривий Ріг, Дніпропетровська обл., 50027","1376","588","1366","26","764","24","788","","0","764","24","788","34","754","144","142","304","164","29.10.12"
"121489","33","Дніпропетровська область","школа №26, хол, 2-й поверх
вул.Якіра, 7А, м.Кривий Ріг, Дніпропетровська обл., 50074","2170","952","2142","22","1203","15","1218","","0","1203","15","1218","53","1165","221","277","436","231","29.10.12"
"121490","33","Дніпропетровська область","школа №26, хол, 1-й поверх
вул.Якіра, 7А, м.Кривий Ріг, Дніпропетровська обл., 50074","2136","907","2125","51","1192","37","1229","","1","1191","37","1228","55","1173","231","247","507","188","29.10.12"
"121491","33","Дніпропетровська область","школа №26, вестибюль, 1-й поверх
вул.Якіра, 7А, м.Кривий Ріг, Дніпропетровська обл., 50074","1736","788","1713","32","920","28","948","","0","919","28","947","47","900","174","182","375","169","30.10.12"
"121492","33","Дніпропетровська область","школа №63, шкільна рекреація, 2-й поверх
вул.Агафонова, 14А, м.Кривий Ріг, Дніпропетровська обл., 50007","2336","1148","2306","45","1155","33","1188","","0","1155","33","1188","63","1125","201","274","451","199","29.10.12"
"121493","33","Дніпропетровська область","Криворізький національний університет, корпус 6 (будівельний факультет), фойє, 1-й поверх
вул.22 Партз’їзду, 13, м.Кривий Ріг, Дніпропетровська обл., 50027","2112","951","2079","26","1138","23","1161","","0","1138","23","1161","46","1115","217","249","470","179","29.10.12"
"121494","33","Дніпропетровська область","школа №69, спортивний зал, 1-й поверх
вул.Хабаровська, 4, м.Кривий Ріг, Дніпропетровська обл., 50050","1984","792","1965","35","1165","27","1192","","0","1165","27","1192","72","1120","197","287","431","205","29.10.12"
"121495","33","Дніпропетровська область","Палац культури металургів, хол, 1-й поверх
просп.Металургів, 7, м.Кривий Ріг, Дніпропетровська обл., 50050","1824","864","1814","23","943","17","960","","0","943","17","960","47","913","157","219","382","155","29.10.12"
