"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Арутюнова
Наталя
Миколаївна","Дніпровський
Олександр
Борисович","Євтушенко
Володимир
Олексійович","Корнієнко
Олена
Валеріївна","Лучинська
Алла
Михайлівна","Мимриков
Олександр
Петрович","Нагнибіда
Наталя
Олександрівна","Поперечнюк
Михайло
Федорович","Рижков
Євген
Миколайович","Шипко
Андрій
Федорович","Дата підписання протоколу"
"120264","35","Дніпропетровська область","сільське споживче товариство, к.2
вул.Шавріна, 105, смт Червоногригорівка, Нікопольський р-н, Дніпропетровська обл., 53283","1368","636","1348","27","705","27","732","","0","705","27","732","23","709","14","71","172","8","6","34","90","7","14","293","29.10.12"
"120265","35","Дніпропетровська область","школа, фойє
вул.Леніна, 43, смт Червоногригорівка, Нікопольський р-н, Дніпропетровська обл., 53283","1620","760","1594","13","847","13","860","","0","847","13","860","36","824","11","72","214","2","5","18","94","4","36","368","29.10.12"
"120266","35","Дніпропетровська область","будинок культури, глядацька зала
вул.Залізнична, 28, смт Червоногригорівка, Нікопольський р-н, Дніпропетровська обл., 53283","1998","900","1954","11","1088","10","1098","","0","1088","10","1098","35","1063","15","94","281","6","10","39","108","8","48","454","29.10.12"
"120267","35","Дніпропетровська область","дитячий садок, к.1
вул.Миронюка, дитячий садок, с.Привільне, Нікопольський р-н, Дніпропетровська обл., 53262","300","47","293","13","240","13","253","","0","240","13","253","6","247","2","2","14","2","1","5","16","1","5","199","29.10.12"
"120268","35","Дніпропетровська область","будинок культури, фойє
вул.Леніна, 94В, с.Дмитрівка, Нікопольський р-н, Дніпропетровська обл., 53261","576","133","568","22","423","20","443","","0","423","20","443","8","435","3","29","35","1","0","7","5","1","9","345","29.10.12"
"120269","35","Дніпропетровська область","школа, фойє
вул.Шкільна, 2, с.Борисівка, Нікопольський р-н, Дніпропетровська обл., 53263","511","160","475","32","320","31","351","","0","320","31","351","2","349","1","11","53","0","2","2","6","0","10","264","29.10.12"
"120270","35","Дніпропетровська область","будинок культури, танцювальна зала
вул.Леніна, 23, с.Кірове, Нікопольський р-н, Дніпропетровська обл., 53253","1025","410","1042","109","512","103","615","","0","512","103","615","8","607","5","38","142","4","2","29","78","5","55","249","01.11.12"
"120271","35","Дніпропетровська область","школа, фойє
вул.60 років Комсомолу, 8, с.Криничувате, Нікопольський р-н, Дніпропетровська обл., 53244","684","268","671","69","347","69","416","","0","347","69","416","12","404","5","48","94","1","2","4","36","2","6","206","29.10.12"
"120272","35","Дніпропетровська область","будинок культури, світлиця
вул.Центральна, 9А, с.Веселе, Нікопольський р-н, Дніпропетровська обл., 53245","1092","535","1070","47","512","45","557","","0","512","45","557","11","546","5","28","117","3","1","4","38","1","20","329","29.10.12"
"120273","35","Дніпропетровська область","будинок культури, фойє
вул.Леніна, 13, с.Лошкарівка, Нікопольський р-н, Дніпропетровська обл., 53240","1188","438","1173","104","651","99","750","","0","651","99","750","27","723","8","11","190","6","2","3","28","1","29","445","29.10.12"
