"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Анікєєв
Володимир
Ілліч","Громакова
Раїса
Миколаївна","Кузьміна
Євгенія
Олександрівна","Мартовицький
Артур
Володимирович","Мочалін
Олексій
Олександрович","Ткаченко
Євгеній
Леонідович","Чумак
Геннадій
Іванович","Дата підписання протоколу"
"120351","36","Дніпропетровська область","школа, фойє
вул.Шевченка, 32Г, с.Богданівка, Павлоградський р-н, Дніпропетровська обл., 51464","2176","933","2137","56","1200","43","1243","","0","1200","43","1243","51","1192","39","40","153","678","173","85","24","29.10.12"
"120352","36","Дніпропетровська область","неповна школа, фойє
вул.Шкільна, 16А, с.Богданівка, Павлоградський р-н, Дніпропетровська обл., 51464","1656","683","1622","64","915","58","973","","0","915","58","973","30","943","19","35","89","554","142","88","16","29.10.12"
"120353","36","Дніпропетровська область","фельдшерський пункт, приймальна
фельдшерський пункт, с.Тельмана, Павлоградський р-н, Дніпропетровська обл., 51465","128","44","134","8","78","6","84","","0","78","6","84","2","82","2","6","17","42","10","4","1","29.10.12"
"120354","36","Дніпропетровська область","магазин, фойє
вул.Центральна, 28, с.Самарське, Павлоградський р-н, Дніпропетровська обл., 51465","160","40","159","8","113","7","120","","0","113","7","120","5","115","7","5","27","58","12","2","4","29.10.12"
"120355","36","Дніпропетровська область","неповна школа, коридор
вул.Першотравнева, 130, с.Богуслав, Павлоградський р-н, Дніпропетровська обл., 51486","1456","558","1429","70","831","67","898","","0","831","67","898","38","860","39","28","141","394","128","91","39","29.10.12"
"120356","36","Дніпропетровська область","будинок культури, вестибюль
вул.Карла Маркса, 64, с.Богуслав, Павлоградський р-н, Дніпропетровська обл., 51486","1720","696","1687","64","969","55","1024","","0","969","55","1024","32","992","38","31","169","477","127","109","41","29.10.12"
"120357","36","Дніпропетровська область","школа, їдальня
вул.Леніна, 25В, с.Булахівка, Павлоградський р-н, Дніпропетровська обл., 51470","1760","791","1740","108","870","99","969","","0","870","99","969","48","921","19","27","194","449","127","89","16","29.10.12"
"120358","36","Дніпропетровська область","школа, фойє
вул.Матросова, 13, с.Вербки, Павлоградський р-н, Дніпропетровська обл., 51453","1168","413","1146","88","677","78","755","","0","677","78","755","20","735","47","21","147","382","48","80","10","29.10.12"
"120359","36","Дніпропетровська область","районний будинок творчості, зала
вул.Леніна, 73, с.Вербки, Павлоградський р-н, Дніпропетровська обл., 51453","1704","629","1684","112","963","112","1075","","0","963","112","1075","34","1041","79","29","219","521","71","103","19","29.10.12"
"120360","36","Дніпропетровська область","фельдшерський пункт, приймальна
вул.Жукова, 18, с.Нові Вербки, Павлоградський р-н, Дніпропетровська обл., 51453","352","109","352","17","227","16","243","","0","227","16","243","10","233","10","6","35","137","16","25","4","29.10.12"
"120361","36","Дніпропетровська область","фельдшерський пункт, приймальна
вул.Степова, 3, с.Морозівське, Павлоградський р-н, Дніпропетровська обл., 51455","304","89","307","32","186","29","215","","0","186","29","215","5","210","10","8","19","125","33","12","3","29.10.12"
"120362","36","Дніпропетровська область","школа, фойє
вул.Жовтнева, 28, с.В’язівок, Павлоградський р-н, Дніпропетровська обл., 51452","752","327","741","55","374","51","425","","0","374","51","425","21","404","11","8","51","249","52","18","15","29.10.12"
"120363","36","Дніпропетровська область","будинок культури, зала
вул.Жовтнева, 67, с.В’язівок, Павлоградський р-н, Дніпропетровська обл., 51452","832","342","814","52","443","47","490","","0","443","47","490","15","475","17","12","82","234","71","48","11","29.10.12"
"120364","36","Дніпропетровська область","школа, фойє
вул.Миру, 17, с.Карабинівка, Павлоградський р-н, Дніпропетровська обл., 51471","760","252","755","36","474","34","508","","0","474","34","508","9","499","12","13","98","304","19","32","21","29.10.12"
"120365","36","Дніпропетровська область","сільський клуб, зала
вул.Радянська, 26, с.Лиманське, Павлоградський р-н, Дніпропетровська обл., 51472","288","90","282","41","157","41","198","","0","157","41","198","4","194","5","3","18","138","14","13","3","29.10.12"
"120366","36","Дніпропетровська область","Народний дім, фойє
вул.П’ятихатки, 1А, с.Кочережки, Павлоградський р-н, Дніпропетровська обл., 51450","680","281","669","53","352","47","399","","0","352","47","399","21","378","15","8","59","216","27","42","11","29.10.12"
"120367","36","Дніпропетровська область","сільська рада, коридор
вул.Леніна, 13, с.Кочережки, Павлоградський р-н, Дніпропетровська обл., 51450","512","211","501","43","258","43","301","","0","258","43","301","11","290","4","9","56","152","23","42","4","29.10.12"
"120368","36","Дніпропетровська область","будинок культури, фойє
вул.Жовтнева, 104, с.Межиріч, Павлоградський р-н, Дніпропетровська обл., 51473","1960","816","1943","117","1040","104","1144","","0","1040","104","1144","28","1116","35","15","133","717","72","93","51","29.10.12"
"120369","36","Дніпропетровська область","школа №2, коридор
вул.Зелена, 72, с.Межиріч, Павлоградський р-н, Дніпропетровська обл., 51473","1488","718","1471","81","699","71","770","","0","699","71","770","19","751","24","24","92","439","77","67","28","29.10.12"
"120370","36","Дніпропетровська область","фельдшерський пункт, приймальна
вул.Центральна, 24, с.Оженківка, Павлоградський р-н, Дніпропетровська обл., 51474","264","119","270","31","114","31","145","","0","114","31","145","4","141","6","3","8","110","3","6","5","29.10.12"
"120371","36","Дніпропетровська область","будинок культури, фойє
вул.Молодіжна, 5, с.Нова Дача, Павлоградський р-н, Дніпропетровська обл., 51462","1224","475","1206","97","665","84","749","","0","665","84","749","22","727","12","18","81","504","53","52","7","29.10.12"
"120372","36","Дніпропетровська область","школа, фойє
вул.Горького, 15А, с.Нова Русь, Павлоградський р-н, Дніпропетровська обл., 51461","632","242","620","64","331","59","390","","0","330","59","389","12","377","8","14","72","197","71","12","3","29.10.12"
"120373","36","Дніпропетровська область","будинок культури, фойє
вул.Гагаріна, 9, с.Поперечне, Павлоградський р-н, Дніпропетровська обл., 51460","344","117","336","35","193","34","227","","0","193","34","227","5","222","4","5","14","175","16","4","4","29.10.12"
"120374","36","Дніпропетровська область","школа, коридор
вул.Перемоги, 11, с.Привовчанське, Павлоградський р-н, Дніпропетровська обл., 51490","624","134","617","46","449","41","490","","0","449","41","490","9","481","14","8","33","368","25","26","7","29.10.12"
"120375","36","Дніпропетровська область","сільський клуб, глядацька зала
вул.Островського, 46А, с.Малоолександрівка, Павлоградський р-н, Дніпропетровська обл., 51490","432","111","426","38","283","38","321","","0","283","38","321","10","311","2","8","22","239","15","21","4","29.10.12"
"120376","36","Дніпропетровська область","будинок культури, актова зала
вул.Леніна, 105Г, с.Троїцьке, Павлоградський р-н, Дніпропетровська обл., 51491","1120","453","1103","109","564","103","667","","0","564","103","667","12","655","12","17","140","325","74","72","15","29.10.12"
"120377","36","Дніпропетровська область","сільський клуб, актова зала
вул.Шкільна, 2А, с.Вербове, Павлоградський р-н, Дніпропетровська обл., 51491","176","61","166","22","97","18","115","","0","97","18","115","1","114","2","2","27","64","6","11","2","29.10.12"
"120853","36","Дніпропетровська область","школа №6, праве крило, фойє
вул.Садовніченка, 8, м.Павлоград, Дніпропетровська обл., 51400","2328","1044","2270","29","1260","24","1284","","0","1259","24","1283","50","1233","62","42","127","668","206","105","23","29.10.12"
