"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Анащенко
Анатолій
Анатолійович","Білий
Андрій
Володимирович","Власова
Наталія
Федорівна","Городецький
Олексій
Ілліч","Карачевцев
Юрій
Васильович","Криштоп
Ігор
Володимирович","Лужецький
Олексій
Анатолійович","Салкоч
Олексій
Федорович","Солошенко
Микола
Павлович","Шилова
Вікторія
Віталіївна","Шипко
Аркадій
Юрійович","Дата підписання протоколу"
"120209","38","Дніпропетровська область","школа, вестибюль
вул.Крупської, 2, с.Бузівка, Магдалинівський р-н, Дніпропетровська обл., 51120","486","174","488","59","257","55","312","","0","257","55","312","9","303","2","28","13","4","3","1","0","7","127","82","36","29.10.12"
"120210","38","Дніпропетровська область","школа, вестибюль
вул.Центральна, 48, с.Ковпаківка, Магдалинівський р-н, Дніпропетровська обл., 51121","510","212","495","47","252","46","298","","0","252","46","298","7","291","4","20","8","2","4","1","1","6","123","80","42","29.10.12"
"120211","38","Дніпропетровська область","фельдшерський пункт, фойє
вул.Шкільна, 2, с.Йосипівка, Магдалинівський р-н, Дніпропетровська обл., 51123","180","48","177","28","104","28","132","","0","104","28","132","5","127","4","10","4","0","2","2","0","1","60","24","20","29.10.12"
"120212","38","Дніпропетровська область","школа, вестибюль
вул.Стаханова, 4, с.Гупалівка, Магдалинівський р-н, Дніпропетровська обл., 51110","930","371","918","110","455","104","559","","0","455","104","559","13","546","4","39","17","4","19","4","4","32","230","119","74","29.10.12"
"120213","38","Дніпропетровська область","сільська рада, кабінет бухгалтерії
вул.Пушкіна, 4, с.Дмухайлівка, Магдалинівський р-н, Дніпропетровська обл., 51115","912","387","902","117","410","115","525","","0","410","115","525","18","507","8","56","16","12","15","1","3","11","255","78","52","29.10.12"
"120214","38","Дніпропетровська область","школа, вестибюль
вул.Ленінська, 27, с.Жданівка, Магдалинівський р-н, Дніпропетровська обл., 51142","1002","437","994","82","489","76","565","","0","489","76","565","18","547","5","22","17","0","8","2","2","46","314","75","56","29.10.12"
"120215","38","Дніпропетровська область","школа, вестибюль
вул.Центральна, 34, с.Крамарка, Магдалинівський р-н, Дніпропетровська обл., 51142","336","121","324","31","187","28","215","","0","187","28","215","3","212","0","6","6","2","1","0","2","15","117","49","14","29.10.12"
"120216","38","Дніпропетровська область","школа, спортивна зала
вул.Крупської, 1, с.Заплавка, Магдалинівський р-н, Дніпропетровська обл., 51113","564","234","560","46","284","46","330","","0","284","46","330","9","321","8","27","7","0","3","5","0","3","116","67","85","28.10.12"
"120217","38","Дніпропетровська область","школа, вестибюль
вул.Нестеренка, 5, с.Минівка, Магдалинівський р-н, Дніпропетровська обл., 51114","330","124","330","40","166","40","206","","0","166","40","206","16","190","2","19","3","0","2","1","2","4","65","59","33","29.10.12"
"120218","38","Дніпропетровська область","будинок культури, зала
вул.Назаренка, 147, с.Казначеївка, Магдалинівський р-н, Дніпропетровська обл., 51153","858","323","850","34","505","30","535","","0","505","30","535","17","518","2","32","14","12","15","6","5","52","206","123","51","29.10.12"
"120219","38","Дніпропетровська область","будинок культури, великий зал
вул.Садова, 1Г, с.Котовка, Магдалинівський р-н, Дніпропетровська обл., 51112","1848","826","1819","92","932","90","1022","","0","932","90","1022","48","974","5","56","24","8","44","6","3","29","285","397","117","29.10.12"
"120220","38","Дніпропетровська область","будинок культури, велика зала
вул.Леніна, 37А, с.Личкове, Магдалинівський р-н, Дніпропетровська обл., 51140","1878","861","1876","135","890","127","1017","","0","890","127","1017","27","990","12","64","23","10","17","7","1","6","553","158","139","29.10.12"
"120221","38","Дніпропетровська область","районний будинок культури, фойє, 1-й поверх
вул.Радянська, 61, смт Магдалинівка, Магдалинівський р-н, Дніпропетровська обл., 51100","2412","1061","2376","60","1298","53","1351","","0","1298","53","1351","46","1305","24","112","20","6","73","11","5","56","564","241","193","29.10.12"
"120222","38","Дніпропетровська область","спорткомплекс ""Мрія"", спортивна зала
вул.Радянська, 1Б, смт Магдалинівка, Магдалинівський р-н, Дніпропетровська обл., 51100","2394","1201","2373","36","1164","29","1193","","0","1164","29","1193","42","1151","29","111","20","8","39","9","2","55","481","227","170","29.10.12"
"120223","38","Дніпропетровська область","адміністративна будівля ПТУ №88, фойє, 1-й поверх
вул.Колгоспна, 2, смт Магдалинівка, Магдалинівський р-н, Дніпропетровська обл., 51100","600","285","597","17","299","16","315","","0","299","16","315","19","296","5","42","3","2","11","0","3","8","119","60","43","29.10.12"
"120224","38","Дніпропетровська область","школа, вестибюль
вул.Шкільна, 1, с.Радянське, Магдалинівський р-н, Дніпропетровська обл., 51106","330","103","327","24","203","24","227","","0","203","24","227","8","219","0","6","10","1","9","4","0","1","93","27","68","29.10.12"
"120225","38","Дніпропетровська область","будинок культури, великий зал
вул.Адміністративна, 6, с.Мар’ївка, Магдалинівський р-н, Дніпропетровська обл., 51141","456","184","454","24","249","23","272","","0","249","23","272","15","257","4","15","5","3","9","2","2","12","101","64","40","29.10.12"
"120226","38","Дніпропетровська область","школа, вестибюль
вул.Фрунзе, 1, с.Новопетрівка, Магдалинівський р-н, Дніпропетровська обл., 51130","798","351","785","59","389","58","447","","0","389","58","447","16","431","7","30","7","0","8","2","1","7","152","129","88","29.10.12"
"120227","38","Дніпропетровська область","будинок культури, великий зал
вул.Гагаріна, 2А, с.Шевське, Магдалинівський р-н, Дніпропетровська обл., 51130","642","248","633","87","309","85","394","","0","309","85","394","12","382","9","19","14","1","20","1","2","16","134","105","61","29.10.12"
"120228","38","Дніпропетровська область","школа, вестибюль
вул.Шкільна, 5, с.Олександрівка, Магдалинівський р-н, Дніпропетровська обл., 51166","450","168","449","34","248","34","282","","0","248","34","282","7","275","4","15","8","2","15","2","0","7","90","61","71","29.10.12"
"120229","38","Дніпропетровська область","школа, вестибюль
вул.Широка, 13А, с.Оленівка, Магдалинівський р-н, Дніпропетровська обл., 51105","1032","420","1019","50","562","50","612","","0","562","50","612","24","588","11","29","14","1","10","2","1","17","295","154","54","29.10.12"
"120230","38","Дніпропетровська область","школа, вестибюль
вул.Чапаєва, 1, с.Очеретувате, Магдалинівський р-н, Дніпропетровська обл., 51165","606","190","603","43","373","43","416","","0","373","43","416","22","394","4","26","7","5","11","1","2","6","245","54","33","29.10.12"
"120231","38","Дніпропетровська область","школа, вестибюль
вул.40 років Перемоги, 2А, с.Першотравенка, Магдалинівський р-н, Дніпропетровська обл., 51163","528","209","519","64","259","60","319","","0","259","60","319","10","309","10","24","6","0","10","0","3","10","156","68","22","29.10.12"
"120232","38","Дніпропетровська область","школа, вестибюль
вул.Центральна, 18, с.Поливанівка, Магдалинівський р-н, Дніпропетровська обл., 51150","1056","471","1043","73","528","57","585","","0","528","57","585","28","557","5","33","16","5","16","3","3","72","202","160","42","29.10.12"
"120233","38","Дніпропетровська область","будинок культури, великий зал
вул.Центральна, 59, с.Почино-Софіївка, Магдалинівський р-н, Дніпропетровська обл., 51151","618","236","619","70","318","64","382","","0","318","64","382","6","376","0","11","5","0","14","0","0","190","73","57","26","28.10.12"
"120234","38","Дніпропетровська область","школа, вестибюль
вул.Радянська, 1, с.Січкарівка, Магдалинівський р-н, Дніпропетровська обл., 51152","192","47","192","19","126","19","145","","0","126","19","145","6","139","0","6","0","1","1","1","0","16","78","23","13","29.10.12"
