"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Барановський
Володимир
Миколайович","Булкін
Дмитро
Валерійович","Волосянко
Микола
Іванович","Дацько
Тетяна
Федорівна","Самойленко
Юрій
Павлович","Синенко
Світлана
Іванівна","Дата підписання протоколу"
"120035","39","Дніпропетровська область","Райавтодор, актова зала, 1-й поверх
вул.Партизанська, 97, смт Васильківка, Васильківський р-н, Дніпропетровська обл., 52600","2088","977","2070","73","1045","66","1111","","0","1045","66","1111","33","1078","21","168","186","154","526","23","29.10.12"
"120036","39","Дніпропетровська область","районний будинок культури, фойє
вул.Першотравнева, 197, смт Васильківка, Васильківський р-н, Дніпропетровська обл., 52600","2072","1004","2036","43","1043","25","1068","","0","1043","25","1068","40","1028","25","149","169","148","510","27","29.10.12"
"120037","39","Дніпропетровська область","навчально-виховний комплекс №1, фойє, 1-й поверх
вул.Леніна, 27, смт Васильківка, Васильківський р-н, Дніпропетровська обл., 52600","2048","992","2043","59","1010","46","1056","","0","1010","46","1056","29","1027","23","145","208","142","491","18","29.10.12"
"120038","39","Дніпропетровська область","сільський будинок культури, фойє
вул.Леніна, 250, смт Васильківка, Васильківський р-н, Дніпропетровська обл., 52600","1960","1078","1942","30","855","27","882","","0","855","27","882","41","841","22","103","158","148","385","25","29.10.12"
"120039","39","Дніпропетровська область","ВАТ ""Райагробуд"", зала засідань
вул.Будьонного, 58, смт Васильківка, Васильківський р-н, Дніпропетровська обл., 52600","1432","710","1429","65","663","59","722","","0","663","59","722","32","690","12","70","93","110","392","13","30.10.12"
"120040","39","Дніпропетровська область","школа, актова зала, 1-й поверх
вул.Леніна, 38, с.Манвелівка, Васильківський р-н, Дніпропетровська обл., 52605","968","445","938","64","463","60","523","","0","463","60","523","16","507","12","57","68","53","306","11","29.10.12"
"120041","39","Дніпропетровська область","школа, фойє, 1-й поверх
вул.Нова, 2, смт Письменне, Васильківський р-н, Дніпропетровська обл., 52630","1256","613","1244","82","561","82","643","","0","561","82","643","15","628","34","137","77","53","314","13","29.10.12"
"120042","39","Дніпропетровська область","школа, фойє
вул.Шкільна, 2, с.Вербівське, Васильківський р-н, Дніпропетровська обл., 52632","656","294","652","33","335","27","362","","0","335","27","362","14","348","11","34","76","50","170","7","29.10.12"
"120043","39","Дніпропетровська область","пункт технічного огляду вагонів, червоний куток
вул.Заводська, 2, смт Чаплине, Васильківський р-н, Дніпропетровська обл., 52663","872","399","864","74","404","69","473","","0","404","69","473","16","457","19","55","54","139","177","13","29.10.12"
"120044","39","Дніпропетровська область","локомотивне депо, червоний куток
вул.Шевченка, 7, смт Чаплине, Васильківський р-н, Дніпропетровська обл., 52663","880","375","861","44","464","41","505","","0","464","41","505","24","481","10","50","76","76","263","6","29.10.12"
"120045","39","Дніпропетровська область","клуб залізничників, фойє
вул.Жовтнева, 9, смт Чаплине, Васильківський р-н, Дніпропетровська обл., 52663","1072","437","1053","52","587","48","635","","0","587","48","635","29","606","20","87","119","88","278","14","29.10.12"
"120046","39","Дніпропетровська область","сільський клуб, зала
вул.Калініна, 42, с.Журавлинка, Васильківський р-н, Дніпропетровська обл., 52663","360","118","352","43","202","40","242","","0","202","40","242","8","234","7","14","22","30","156","5","29.10.12"
"120047","39","Дніпропетровська область","навчально-виховний комплекс, спортивна зала
вул.Шевченка, 20, с.Богданівка, Васильківський р-н, Дніпропетровська обл., 52612","456","219","449","21","218","19","237","","0","218","19","237","9","228","15","41","25","26","112","9","29.10.12"
"120048","39","Дніпропетровська область","сільський клуб, фойє
вул.Радянська, 2А, с.Катеринівка, Васильківський р-н, Дніпропетровська обл., 52613","352","135","349","42","177","40","217","","0","177","40","217","9","208","9","53","26","29","90","1","29.10.12"
"120049","39","Дніпропетровська область","будинок культури, к.1
вул.Леніна, 28, с.Великоолександрівка, Васильківський р-н, Дніпропетровська обл., 52610","1488","753","1470","65","672","63","735","","0","672","63","735","24","711","14","112","82","99","387","17","29.10.12"
"120050","39","Дніпропетровська область","сільський клуб, фойє
вул.Центральна, 8Г, с.Воскресенівка, Васильківський р-н, Дніпропетровська обл., 52611","472","198","464","32","243","31","274","","0","243","31","274","21","253","2","55","14","26","151","5","28.10.12"
"120051","39","Дніпропетровська область","навчально-виховний комплекс, фойє
вул.Кірова, 5, с.Григорівка, Васильківський р-н, Дніпропетровська обл., 52660","720","259","713","45","422","39","461","","0","422","39","461","9","452","4","39","27","33","339","10","29.10.12"
"120052","39","Дніпропетровська область","будинок культури, зала
вул.Центральна, 41, с.Дебальцеве, Васильківський р-н, Дніпропетровська обл., 52661","928","407","911","59","463","58","521","","0","463","58","521","16","505","11","69","39","49","329","8","29.10.12"
"120053","39","Дніпропетровська область","школа, вестибюль
вул.Леніна, 44, с.Добровілля, Васильківський р-н, Дніпропетровська обл., 52620","464","142","456","37","293","29","322","","0","293","29","322","10","312","3","30","53","26","192","8","28.10.12"
"120054","39","Дніпропетровська область","дитячий садок, к.3
вул.Квіткова, 3, с.Гришаї, Васильківський р-н, Дніпропетровська обл., 52621","320","140","320","16","166","14","180","","0","166","14","180","7","173","5","24","9","18","105","12","29.10.12"
"120055","39","Дніпропетровська область","школа, фойє
вул.Шкільна, 4, с.Зелений Гай, Васильківський р-н, Дніпропетровська обл., 52652","744","294","729","100","356","94","450","","0","356","94","450","14","436","4","73","31","41","283","4","29.10.12"
"120056","39","Дніпропетровська область","будинок культури, фойє
вул.Центральна, 5, с.Миколаївка, Васильківський р-н, Дніпропетровська обл., 52622","448","142","435","62","247","59","306","","0","247","59","306","9","297","6","16","17","46","205","7","28.10.12"
"120057","39","Дніпропетровська область","школа, вестибюль
вул.Леніна, 42, с.Дубовики, Васильківський р-н, Дніпропетровська обл., 52623","1024","329","999","264","449","246","695","","0","449","246","695","28","667","22","71","96","56","406","16","29.10.12"
"120058","39","Дніпропетровська область","будинок культури, зала
вул.Кірова, 100, с.Павлівка, Васильківський р-н, Дніпропетровська обл., 52640","1352","651","1335","97","610","91","701","","0","610","91","701","23","678","14","36","84","123","403","18","29.10.12"
"120059","39","Дніпропетровська область","сільський клуб, фойє
вул.Леніна, 28, с.Новогригорівка, Васильківський р-н, Дніпропетровська обл., 52643","352","103","349","36","215","34","249","","0","215","34","249","2","247","13","61","26","34","106","7","29.10.12"
"120060","39","Дніпропетровська область","будинок культури, фойє
вул.Голондія, 53, с.Шевченкове, Васильківський р-н, Дніпропетровська обл., 52650","544","200","535","58","289","55","344","","0","289","55","344","11","333","9","37","47","42","182","16","28.10.12"
"120061","39","Дніпропетровська область","сільський клуб, фойє
вул.Молодіжна, 7, с.Хуторо-Чаплине, Васильківський р-н, Дніпропетровська обл., 52651","368","158","354","39","172","38","210","","0","172","38","210","11","199","4","41","17","12","119","6","30.10.12"
"120242","39","Дніпропетровська область","школа, хол
вул.Садова, 19, с.Вознесенське, Межівський р-н, Дніпропетровська обл., 52906","136","53","136","8","75","8","83","","0","75","8","83","5","78","0","15","15","3","44","1","29.10.12"
"120243","39","Дніпропетровська область","школа, хол
вул.Леніна, 35, с.Українка, Межівський р-н, Дніпропетровська обл., 52905","568","248","562","54","268","52","320","","0","268","52","320","11","309","4","57","39","20","181","8","29.10.12"
"120244","39","Дніпропетровська область","школа №1, хол
вул.Учительська, 7, смт Межова, Межівський р-н, Дніпропетровська обл., 52900","1712","751","1688","86","884","77","961","","0","884","77","961","30","931","17","120","116","103","562","13","29.10.12"
"120245","39","Дніпропетровська область","аграрний ліцей-інтернат, хол
вул.Сонячна, 8, смт Межова, Межівський р-н, Дніпропетровська обл., 52900","1296","572","1282","30","695","29","724","","0","695","29","724","19","705","15","70","109","88","412","11","29.10.12"
"120246","39","Дніпропетровська область","будинок культури, хол
просп.Карла Маркса, 8, смт Межова, Межівський р-н, Дніпропетровська обл., 52900","1424","713","1401","69","651","60","711","","0","651","60","711","22","689","10","84","109","83","391","12","29.10.12"
"120247","39","Дніпропетровська область","школа №2, хол
вул.Будьонного, 33, смт Межова, Межівський р-н, Дніпропетровська обл., 52900","1952","871","1948","85","998","83","1081","","0","998","83","1081","46","1035","18","132","143","146","577","19","29.10.12"
"120248","39","Дніпропетровська область","школа, коридор
вул.Чапаєва, 18, с.Зоряне, Межівський р-н, Дніпропетровська обл., 52910","824","387","814","50","401","36","437","","0","401","36","437","17","420","4","63","27","35","282","9","29.10.12"
"120249","39","Дніпропетровська область","навчально-виробничий комбінат, ігрова кімната
пров.Шкільний, 1, с.Новопетровське, Межівський р-н, Дніпропетровська обл., 52910","352","128","345","33","193","31","224","","0","193","31","224","8","216","2","33","21","18","139","3","28.10.12"
"120250","39","Дніпропетровська область","будинок культури, коридор
вул.Шевченка, 3, с.Слов’янка, Межівський р-н, Дніпропетровська обл., 52911","1784","734","1767","62","996","54","1050","","0","996","54","1050","28","1022","11","106","117","77","688","23","29.10.12"
"120251","39","Дніпропетровська область","школа, хол
вул.Центральна, 109, с.Новогригорівка, Межівський р-н, Дніпропетровська обл., 52912","568","133","562","69","366","69","435","","0","366","69","435","14","421","8","33","36","17","323","4","28.10.12"
"120252","39","Дніпропетровська область","селищна рада, актова зала
вул.Центральна, 16, смт Демурине, Межівський р-н, Дніпропетровська обл., 52921","856","358","850","78","424","74","498","","0","424","74","498","20","478","17","47","46","83","274","11","29.10.12"
"120253","39","Дніпропетровська область","школа, спортивна зала
вул.Комсомольська, 22, с.Володимирівка, Межівський р-н, Дніпропетровська обл., 52924","632","235","623","51","346","51","397","","0","346","51","397","14","383","5","26","50","91","202","9","29.10.12"
"120254","39","Дніпропетровська область","школа, коридор
вул.Центральна, 4, с.Богданівка, Межівський р-н, Дніпропетровська обл., 52931","544","192","541","55","297","55","352","","0","297","55","352","15","337","7","41","19","25","236","9","29.10.12"
"120255","39","Дніпропетровська область","школа, хол
вул.Піонерська, 1, с.Антонівське, Межівський р-н, Дніпропетровська обл., 52932","328","125","324","19","185","18","203","","0","185","18","203","10","193","7","29","9","11","132","5","28.10.12"
"120256","39","Дніпропетровська область","школа, хол
вул.Капустіна, 6, с.Веселе, Межівський р-н, Дніпропетровська обл., 52930","744","261","742","66","426","57","483","","0","426","57","483","10","473","9","69","47","39","300","9","29.10.12"
"120257","39","Дніпропетровська область","медичний пункт, приймальня
вул.Комсомольська, 1, с.Олександрівка, Межівський р-н, Дніпропетровська обл., 52932","152","41","147","14","97","14","111","","0","97","14","111","3","108","3","25","3","1","74","2","29.10.12"
"120258","39","Дніпропетровська область","будинок культури, хол
вул.Леніна, 49А, с.Іванівка, Межівський р-н, Дніпропетровська обл., 52952","848","281","843","61","510","57","567","","0","510","57","567","19","548","14","94","64","24","338","14","29.10.12"
"120259","39","Дніпропетровська область","будинок культури, коридор
вул.Карпінського, 24, с.Новопавлівка, Межівський р-н, Дніпропетровська обл., 52950","1344","584","1327","90","671","89","760","","0","671","89","760","37","723","13","120","66","129","376","19","29.10.12"
"120260","39","Дніпропетровська область","школа №2, актова зала
вул.Комунарівська, 44, с.Новопавлівка, Межівський р-н, Дніпропетровська обл., 52951","896","360","886","89","454","82","536","","0","454","82","536","21","515","2","78","49","90","285","11","28.10.12"
"120261","39","Дніпропетровська область","школа, спортивна зала
вул.Центральна, 14, с.Преображенка, Межівський р-н, Дніпропетровська обл., 52920","616","202","610","50","367","47","414","","0","367","47","414","8","406","14","41","34","27","279","11","28.10.12"
"120262","39","Дніпропетровська область","будинок культури, актова зала
вул.Котовського, 36, с.Райполе, Межівський р-н, Дніпропетровська обл., 52940","760","277","755","69","414","69","483","","0","414","69","483","18","465","4","27","41","22","359","12","29.10.12"
