"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бобков
Олександр
Михайлович","Деркач
Володимир
Григорович","Заярний
Артем
Олексійович","Скакун
Павло
Петрович","Дата підписання протоколу"
"141592","41","Донецька область","школа №99, хол
вул.Дарницька, 4, м.Донецьк, 83059","1832","281","1809","43","1516","35","1551","","0","1516","35","1551","37","1514","1238","87","66","123","29.10.12"
"141593","41","Донецька область","школа №120, зал 1
вул.Багратіона, 16, м.Донецьк, 83047","2480","585","2460","64","1841","54","1895","","0","1841","54","1895","104","1791","1308","129","164","190","29.10.12"
"141594","41","Донецька область","школа №120, зал 2
вул.Багратіона, 16, м.Донецьк, 83047","1696","362","1676","41","1310","24","1334","","0","1310","24","1334","38","1296","1005","74","57","160","29.10.12"
"141595","41","Донецька область","школа №120, зал 3
вул.Багратіона, 16, м.Донецьк, 83047","2184","383","2159","65","1749","52","1801","","0","1749","52","1801","67","1734","1353","90","111","180","29.10.12"
"141596","41","Донецька область","школа–інтернат №4, зал 1
вул.Полоцька, 12, м.Донецьк, 83092","2296","632","2273","46","1621","43","1664","","0","1621","43","1664","46","1618","1261","88","91","178","29.10.12"
"141597","41","Донецька область","школа №136, зал 1
вул.Багратіона, 9, м.Донецьк, 83092","2272","444","2242","56","1782","46","1828","","0","1782","46","1828","44","1784","1372","100","85","227","29.10.12"
"141598","41","Донецька область","школа №136, зал 2
вул.Багратіона, 9, м.Донецьк, 83092","2408","643","2356","54","1717","48","1765","","0","1713","48","1761","83","1678","1293","80","94","211","29.10.12"
"141599","41","Донецька область","школа №147, актовий зал
вул.Полоцька, 1, м.Донецьк, 83092","2264","406","2234","40","1818","40","1858","","0","1818","40","1858","44","1814","1457","93","89","175","29.10.12"
"141600","41","Донецька область","Донецька профільна гімназія №122, зал 1
вул.Незалежності, 1, м.Донецьк, 83092","2392","960","2365","14","1420","12","1432","","0","1420","12","1432","59","1373","957","122","112","182","29.10.12"
"141601","41","Донецька область","Донецька профільна гімназія №122, зал 2
вул.Незалежності, 1, м.Донецьк, 83092","2120","556","2084","27","1543","21","1564","","0","1543","21","1564","28","1536","1133","127","93","183","29.10.12"
