"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Анікушин
Сергій
Ігорович","Бахтеєва
Тетяна
Дмитрівна","Лук’янець
Володимир
Васильович","Талишев
Євген
Іванович","Шейко
Вольга
Василівна","Юрчак
Вадим
Олександрович","Дата підписання протоколу"
"000001","42","Донецька область","Донецький слідчий ізолятор
вул.Кобозєва, 4, м. Донецьк, 83086","2416","138","2290","201","2078","200","2278","","0","2078","200","2278","414","1864","182","1153","176","67","169","117","29.10.12"
"000002","42","Донецька область","Ізолятор тимчасового тримання 
вул.Красноармійська, 18, м.Донецьк, 83036","64","32","32","0","32","0","32","","0","32","0","32","2","30","2","14","4","5","4","1","28.10.12"
"141632","42","Донецька область","спеціалізована дитяча юнацька школа олімпійського резерву №1 з легкої атлетики, хол, 1-й поверх
просп.Дзержинського, 5, м.Донецьк, 83086","1872","822","1871","34","1021","29","1050","","0","1021","29","1050","53","997","31","651","123","23","89","80","29.10.12"
"141633","42","Донецька область","ККП Донецької міської ради ""Донелектроавтотранс"", хол, 1-й поверх
вул.Донецька, 39, м.Донецьк, 83086","1392","653","1382","42","697","42","739","","0","697","42","739","32","707","21","511","69","16","58","32","29.10.12"
"141634","42","Донецька область","школа №9, молодший блок, 1-й поверх
вул.50-річчя СРСР, 104, м.Донецьк, 83001","1928","817","1899","42","1077","34","1111","","0","1077","34","1111","35","1076","22","644","124","43","134","109","29.10.12"
"141635","42","Донецька область","школа №9, центральний блок, хол, 1-й поверх
вул.50-річчя СРСР, 104, м.Донецьк, 83001","1800","726","1782","51","1031","43","1074","","0","1031","43","1074","39","1035","22","612","156","42","105","98","29.10.12"
"141636","42","Донецька область","школа №9, центральний блок, хол, 1-й поверх
вул.50-річчя СРСР, 104, м.Донецьк, 83001","2320","951","2292","44","1327","42","1369","","0","1327","42","1369","61","1308","37","763","199","37","156","116","29.10.12"
"141637","42","Донецька область","ліцей №22 ""Лідер"", актова зала, 2-й поверх
вул.Зелена, 1, м.Донецьк, 83015","1704","733","1719","58","924","47","971","","0","924","47","971","54","917","20","533","134","25","114","91","29.10.12"
"141638","42","Донецька область","Донецький навчально-виховний комплекс №5 імені М.П.Бойка, їдальня, 1-й поверх
бульв.Шкільний, 5, м.Донецьк, 83015","1920","706","1924","25","1189","25","1214","","0","1189","25","1214","48","1166","38","704","144","38","142","100","29.10.12"
"141639","42","Донецька область","Донецький навчально-виховний комплекс №5 імені М.П.Бойка, хол, 2-й поверх
бульв.Шкільний, 5, м.Донецьк, 83015","984","399","991","31","556","29","585","","0","556","29","585","28","557","17","368","54","26","60","32","29.10.12"
