"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Абрамчук
Євген
Миколайович","Бунтовський
Сергій
Юрійович","Вельдяксова
Ольга
Олександрівна","Волков
Роман
Юрійович","Екштейн
Інна
Миколаївна","Коваленко
Юрій
Тимофійович","Кутепов
Микола
Леонідович","Ландик
Валентин
Іванович","Лівочка
Олександр
Васильович","Рищенко
Наталя
Ашотовна","Дата підписання протоколу"
"141805","43","Донецька область","школа №69, хол, ліва сторона
вул.Шутова, 20, м.Донецьк, 83064","2280","942","2255","31","1307","31","1338","","0","1307","31","1338","82","1256","30","63","20","102","59","189","100","603","71","19","29.10.12"
"141806","43","Донецька область","школа №69, хол, ліва сторона
вул.Шутова, 20, м.Донецьк, 83064","1860","796","1838","25","1044","20","1064","","0","1044","20","1064","96","968","12","42","25","75","27","169","66","478","62","12","29.10.12"
"141807","43","Донецька область","школа №69, хол, права сторона
вул.Шутова, 20, м.Донецьк, 83064","1962","603","1932","17","1343","16","1359","","0","1343","16","1359","79","1280","24","55","30","80","49","180","94","703","47","18","29.10.12"
"141808","43","Донецька область","школа №115, вестибюль, права сторона
вул.Туполєва, 14, м.Донецьк, 83112","2496","1084","2459","45","1371","41","1412","","0","1371","41","1412","89","1323","21","72","21","92","63","196","104","674","63","17","29.10.12"
"141809","43","Донецька область","школа №115, вестибюль, ліва сторона
вул.Туполєва, 14, м.Донецьк, 83112","2340","1000","2336","45","1298","42","1340","","0","1298","42","1340","127","1213","20","57","20","75","31","228","98","615","53","16","29.10.12"
"141810","43","Донецька область","школа №90, хол, права сторона
вул.Купріна, 156, м.Донецьк, 83112","2382","904","2366","50","1430","48","1478","","0","1430","48","1478","78","1400","30","75","27","103","57","232","59","755","53","9","29.10.12"
"141811","43","Донецька область","школа №90, хол, ліва сторона
вул.Купріна, 156, м.Донецьк, 83112","2328","997","2306","84","1258","73","1331","","0","1258","73","1331","68","1263","11","54","11","60","28","158","58","825","40","18","29.10.12"
"141827","43","Донецька область","школа №51, вестибюль
вул.Куйбишева, 209А, м.Донецьк, 83012","2094","915","2089","30","1152","27","1179","","0","1152","27","1179","92","1087","14","60","33","93","48","159","114","504","54","8","29.10.12"
"141828","43","Донецька область","гуманітарний колегіум №62, 1-й корпус, їдальня
вул.Куйбишева, 167, м.Донецьк, 83012","2274","1145","2252","44","1088","41","1129","","0","1088","41","1129","98","1031","18","51","17","94","40","188","69","499","41","14","29.10.12"
"141829","43","Донецька область","школа №51, спортивна зала
вул.Куйбишева, 209А, м.Донецьк, 83012","2166","984","2146","26","1158","24","1182","","0","1158","24","1182","76","1106","25","62","28","84","29","148","106","550","63","11","29.10.12"
"141830","43","Донецька область","ДП ""Донецьквантажтранс"", вестибюль
вул.Словацька, м.Донецьк, 83012","1866","806","1856","33","1028","32","1060","","0","1028","32","1060","88","972","18","49","13","74","32","164","68","491","51","12","28.10.12"
"141831","43","Донецька область","ПАТ ""Топаз"", к.48
вул.Соколина, 1А, м.Донецьк, 83012","2436","1092","2445","54","1298","46","1344","","0","1298","46","1344","117","1227","42","79","35","108","49","197","94","548","56","19","29.10.12"
"141832","43","Донецька область","гуманітарний колегіум №62, 2-й корпус, вестибюль
вул.Куйбишева, 167, м.Донецьк, 83012","2376","1071","2357","36","1274","31","1305","","0","1274","31","1305","108","1197","22","76","36","92","41","192","91","580","47","20","29.10.12"
"141834","43","Донецька область","школа №68, вестибюль, 1-й поверх
вул.Свідерського, 48, м.Донецьк, 83060","2268","1254","2239","63","962","52","1014","","0","962","52","1014","71","943","24","51","23","84","35","135","71","466","40","14","29.10.12"
"141835","43","Донецька область","школа №68, вестибюль, 2-й поверх
вул.Свідерського, 48, м.Донецьк, 83060","1932","948","1939","38","951","33","984","","0","951","33","984","67","917","23","52","28","72","25","145","56","453","39","24","29.10.12"
"141843","43","Донецька область","школа №60, вестибюль
вул.Куйбишева, 89, м.Донецьк, 83087","2358","1330","2340","36","1003","25","1028","","0","1003","25","1028","73","955","15","33","26","91","32","147","66","497","37","11","29.10.12"
"141844","43","Донецька область","ККП Донецької міської ради ""Донелектроавтотранс"", їдальня
вул.Югославська, 36, м.Донецьк, 83008","1452","847","1450","40","568","37","605","","0","568","37","605","40","565","8","19","22","22","16","88","22","352","11","5","29.10.12"
"141845","43","Донецька область","школа №66, вестибюль 1
вул.Дмитра Козака, 16, м.Донецьк, 83049","2358","1378","2323","46","938","42","980","","0","938","42","980","90","890","15","39","27","65","23","153","73","455","30","10","29.10.12"
"141846","43","Донецька область","школа №66, вестибюль 2
вул.Дмитра Козака, 16, м.Донецьк, 83049","2268","1195","2237","17","1057","16","1073","","0","1057","16","1073","89","984","16","46","33","72","29","165","48","525","36","14","29.10.12"
"141847","43","Донецька область","Донецький професійний ліцей будівництва, вестибюль
вул.Лермонтова, 1А, м.Донецьк, 83008","2100","1082","2067","36","988","30","1018","","0","988","30","1018","86","932","13","39","25","65","14","132","57","538","32","17","29.10.12"
"141848","43","Донецька область","Спеціальна загальноосвітня школа-інтернат №29, їдальня
вул.Курганова, 14, м.Донецьк, 83008","1884","986","1861","29","869","29","898","","0","869","29","898","85","813","19","35","13","46","24","146","63","420","35","12","29.10.12"
"141849","43","Донецька область","школа №46, спортивна зала
вул.Валерія Арсьонова, 5, м.Донецьк, 83008","2334","1189","2296","26","1121","24","1145","","0","1121","24","1145","90","1055","26","34","22","92","27","185","61","554","43","11","29.10.12"
"141850","43","Донецька область","ПАТ ""Донецькелектрооптторг"", актова зала
вул.Весела, 74, м.Донецьк, 83057","2172","1289","2131","58","830","53","883","","0","830","53","883","65","818","60","25","24","39","18","143","44","439","18","8","29.10.12"
"141851","43","Донецька область","палац культури ""Гірник"", вестибюль
вул.Вугільна, 30А, м.Донецьк, 83057","2256","1218","2220","44","1000","38","1038","","0","1000","38","1038","92","946","15","23","24","66","18","156","50","559","28","7","29.10.12"
"141852","43","Донецька область","ліцей №52 ""Меркурій"", спортивна зала
вул.Сомова, 16, м.Донецьк, 83008","1872","936","1850","24","913","23","936","","0","913","23","936","77","859","18","35","15","65","33","150","51","456","27","9","29.10.12"
"141853","43","Донецька область","ліцей №52 ""Меркурій"", вестибюль
вул.60-річчя СРСР, ліцей №52 ""Меркурій"", м.Донецьк, 83008","1848","884","1826","51","933","31","964","","0","933","31","964","76","888","27","21","25","72","25","135","71","470","31","11","29.10.12"
