"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Волкова
Ольга
Іванівна","Гришко
Олег
Борисович","Звягільський
Юхим
Леонідович","Сінілов
Олександр
Валерійович","Топузов
Олександр
Юрійович","Дата підписання протоколу"
"140566","45","Донецька область","школа, фойє
вул.Леніна, 92, смт Верхньоторецьке, Ясинуватський р-н, Донецька обл., 86040","2080","477","2051","123","1483","120","1603","","0","1483","120","1603","35","1568","250","23","1228","11","56","29.10.12"
"140567","45","Донецька область","школа, фойє
вул.Гагаріна, 9, с-ще Красний Партизан, Ясинуватський р-н, Донецька обл., 86040","1280","334","1256","80","870","76","946","","0","870","76","946","29","917","181","22","651","8","55","29.10.12"
"140568","45","Донецька область","школа, фойє
вул.50-річчя СРСР, 89, смт Желанне, Ясинуватський р-н, Донецька обл., 86023","1136","266","1116","73","797","73","870","","0","797","73","870","13","857","62","17","733","9","36","29.10.12"
"140569","45","Донецька область","палац культури, фойє
вул.Заводська, 2, смт Очеретине, Ясинуватський р-н, Донецька обл., 86020","1296","448","1290","46","802","46","848","","0","802","46","848","65","783","193","21","494","15","60","29.10.12"
"140570","45","Донецька область","школа, фойє
вул.Набережна, 12, смт Очеретине, Ясинуватський р-н, Донецька обл., 86020","1664","642","1630","71","951","71","1022","","0","951","71","1022","21","1001","258","26","650","13","54","29.10.12"
"140571","45","Донецька область","дитячий садочок, зал фізкультури
вул.Шкільна, 1, смт Керамік, Ясинуватський р-н, Донецька обл., 86020","312","66","306","23","223","23","246","","0","223","23","246","10","236","42","8","174","3","9","29.10.12"
"140572","45","Донецька область","школа, фойє
вул.Гагаріна, 11А, с.Красногорівка, Ясинуватський р-н, Донецька обл., 86042","680","79","672","104","497","104","601","","0","497","104","601","1","600","118","6","446","6","24","29.10.12"
"140573","45","Донецька область","школа, фойє
вул.Октябрьська, 1, с.Новобахмутівка, Ясинуватський р-н, Донецька обл., 86032","536","111","530","25","402","23","425","","0","402","23","425","5","420","44","5","361","2","8","29.10.12"
"140574","45","Донецька область","будинок культури, фойє
вул.Первомайська, 13Б, с.Новоселівка Перша, Ясинуватський р-н, Донецька обл., 86024","776","126","764","57","596","54","650","","0","596","54","650","17","633","115","9","485","6","18","29.10.12"
"140575","45","Донецька область","будинок народних традицій, фойє
вул.Єлагіна, 29А, с.Орлівка, Ясинуватський р-н, Донецька обл., 86050","1464","373","1460","122","973","118","1091","","0","973","118","1091","5","1086","179","23","823","14","47","29.10.12"
"140576","45","Донецька область","дитячий садочок ""Одуванчик"", фойє
вул.Совєтська, 1А, с-ще Ласточкіне, Ясинуватський р-н, Донецька обл., 86050","448","104","433","22","322","22","344","","0","322","22","344","5","339","76","7","239","2","15","28.10.12"
"140577","45","Донецька область","школа, фойє
вул.Шкільна, 30, с.Первомайське, Ясинуватський р-н, Донецька обл., 86051","1928","745","1904","166","1020","163","1183","","0","1020","163","1183","34","1149","143","18","888","17","83","29.10.12"
"140578","45","Донецька область","школа, фойє
вул.Набережна, 3, с.Нетайлове, Ясинуватський р-н, Донецька обл., 86051","856","303","844","63","490","63","553","","0","490","63","553","0","553","35","16","479","7","16","29.10.12"
"140579","45","Донецька область","будинок народної культури, фойє
вул.Леніна, 12, с-ще Піски, Ясинуватський р-н, Донецька обл., 86053","2440","1066","2397","162","1215","159","1374","","0","1215","159","1374","0","1374","257","81","899","21","116","29.10.12"
"140580","45","Донецька область","школа, фойє
вул.Свободи, 1, с.Новоселівка (Розівська сільська рада), Ясинуватський р-н, Донецька обл., 86030","624","146","611","73","406","72","478","","0","406","72","478","13","465","90","9","329","7","30","28.10.12"
"140581","45","Донецька область","професійно-технічне училище, фойє
вул.Совєтська, 1, с.Архангельське, Ясинуватський р-н, Донецька обл., 86020","432","111","426","57","265","56","321","","0","265","56","321","7","314","45","16","230","4","19","28.10.12"
"140582","45","Донецька область","клуб-бібліотека, фойє
вул.Чкалова, 11Б, с.Соловйово, Ясинуватський р-н, Донецька обл., 86020","352","55","349","28","269","28","297","","0","269","28","297","0","297","8","0","288","0","1","29.10.12"
"140583","45","Донецька область","школа, фойє
вул.Центральна, школа, с.Спартак, Ясинуватський р-н, Донецька обл., 86042","1584","588","1568","84","912","84","996","","0","912","84","996","8","988","154","25","714","10","85","29.10.12"
"140584","45","Донецька область","СВК ""Спартак"", фойє
вул.Колхозна, 69, с.Веселе (Спартаківська сільська рада), Ясинуватський р-н, Донецька обл., 86080","560","124","555","38","398","38","436","","0","398","38","436","13","423","46","15","323","3","36","29.10.12"
"140585","45","Донецька область","навчально-виховний комплекс, фойє
вул.Учительська, 2, с-ще Опитне, Ясинуватський р-н, Донецька обл., 86080","728","235","681","59","435","58","493","","0","435","58","493","0","493","84","18","350","14","27","29.10.12"
"140586","45","Донецька область","школа, фойє
вул.Колхозна, 1, с.Яковлівка, Ясинуватський р-н, Донецька обл., 86080","1416","472","1383","109","835","109","944","","0","835","109","944","4","940","112","22","765","4","37","29.10.12"
"140587","45","Донецька область","лінійна поліклініка, хол, 1-й поверх
вул.Чистякова, 60А, м.Авдіївка, Донецька обл., 86060","1064","461","1052","72","532","71","603","","0","532","71","603","16","587","156","9","348","7","67","28.10.12"
"140588","45","Донецька область","школа №1, спортзал, 1-й поверх
пров.Котовського, 1, м.Авдіївка, Донецька обл., 86060","1584","753","1572","81","770","61","831","","0","770","61","831","55","776","202","17","470","11","76","28.10.12"
"140589","45","Донецька область","ПТУ №43, спортивний зал, 1-й поверх
вул.Поштова, 23, м.Авдіївка, Донецька обл., 86060","1032","399","1039","60","574","59","633","","0","574","59","633","31","602","148","11","351","7","85","29.10.12"
"140590","45","Донецька область","школа №3, спортивний зал, 1-й поверх
вул.Леніна, 64, м.Авдіївка, Донецька обл., 86061","1064","471","1061","71","527","66","593","","0","527","66","593","18","575","164","16","340","2","53","28.10.12"
"140591","45","Донецька область","школа №4, хол, 1-й поверх
вул.Єлагіна, 20, м.Авдіївка, Донецька обл., 86062","1360","600","1350","79","686","74","760","","0","686","74","760","39","721","181","20","433","8","79","28.10.12"
"140592","45","Донецька область","школа №4, спортивний зал, 1-й поверх
вул.Єлагіна, 20, м.Авдіївка, Донецька обл., 86062","1160","476","1149","76","608","76","684","","0","608","76","684","26","658","129","18","442","9","60","28.10.12"
"140593","45","Донецька область","школа №4, актовий зал, 1-й поверх
вул.Єлагіна, 20, м.Авдіївка, Донецька обл., 86062","1360","612","1337","88","672","76","748","","0","672","76","748","46","702","145","16","465","8","68","28.10.12"
"140594","45","Донецька область","школа №6, хол, 1-й поверх
бульв.Шевченка, 1, м.Авдіївка, Донецька обл., 86065","2216","973","2182","18","1228","15","1243","","0","1228","15","1243","62","1181","289","31","718","14","129","29.10.12"
