"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Єрдакій
Олег
Миколайович","Каплунов
Денис
Вікторович","Капля
Вадим
Вікторович","Клюєв
Сергій
Петрович","Матейченко
Костянтин
Володимирович","Теплицький
Валерій
Павлович","Дата підписання протоколу"
"000001","46","Донецька область","медсанчасть
вул.Ціолковського, 4, м. Артемівськ, Донецька обл., 84500","2016","372","1660","5","1639","5","1644","","0","1639","5","1644","187","1457","78","80","97","1052","106","44","29.10.12"
"140041","46","Донецька область","адмінбудинок ВКФ ""Етра"", фойє
вул.Зарічна, 24А, м.Сіверськ, Артемівський р-н, Донецька обл., 84523","1152","547","1134","64","549","56","605","","0","549","56","605","25","580","95","10","20","377","73","5","29.10.12"
"140042","46","Донецька область","школа №1, фойє
вул.Залізнична, 76, м.Сіверськ, Артемівський р-н, Донецька обл., 84522","1584","720","1576","89","793","71","864","","0","793","71","864","29","835","96","19","20","609","83","8","29.10.12"
"140043","46","Донецька область","школа №3, фойє
вул.Енергетиків, 25, м.Сіверськ, Артемівський р-н, Донецька обл., 84523","1680","789","1654","37","856","35","891","","0","856","35","891","21","870","93","9","16","627","114","11","29.10.12"
"140044","46","Донецька область","професійний ліцей, фойє
вул.Суворова, 32, м.Сіверськ, Артемівський р-н, Донецька обл., 84523","1656","700","1601","103","864","92","956","","0","864","92","956","16","940","81","20","18","731","87","3","29.10.12"
"140045","46","Донецька область","школа №2, фойє
вул.Б.Хмельницького, 2, м.Сіверськ, Артемівський р-н, Донецька обл., 84523","1632","772","1615","60","811","49","860","","0","811","49","860","30","830","64","17","27","627","89","6","29.10.12"
"140046","46","Донецька область","центр культури, фойє
просп.Леніна, 1, м.Сіверськ, Артемівський р-н, Донецька обл., 84523","968","399","962","94","499","70","569","","0","499","70","569","11","558","58","12","15","399","68","6","29.10.12"
"140047","46","Донецька область","школа, фойє
вул.Чапаєва, 59, смт Луганське, Артемівський р-н, Донецька обл., 84580","776","324","762","67","385","67","452","","0","385","67","452","14","438","50","14","26","299","46","3","29.10.12"
"140048","46","Донецька область","адмінбудинок ТОВ ім.В.Грязєва, зал засідань
вул.Калініна, 22, смт Луганське, Артемівський р-н, Донецька обл., 84580","976","454","959","105","419","103","522","","0","419","103","522","27","495","65","21","29","327","47","6","29.10.12"
"140049","46","Донецька область","адмінбудинок АФ ""Україна"", зал засідань
вул.Леніна, 100, смт Луганське, Артемівський р-н, Донецька обл., 84580","272","84","266","29","163","25","188","","0","163","25","188","7","181","30","10","12","96","29","4","29.10.12"
