"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Азаров
Олексій
Миколайович","Бондарєв
Вадим
Анатолійович","Вєкуа
Фрідон
Напойович","Єрмак
Олег
Віталійович","Зонтов
Олег
Вячеславович","Казацький
Дмитро
Геннадійович","Котенко
Олег
Олексійович","Мельник
Віталій
Володимирович","Підлісний
Ігор
Павлович","Хмельовий
Анатолій
Петрович","Дата підписання протоколу"
"140393","47","Донецька область","школа, спортивна зала
вул.Першотравнева, 21, смт Олександрівка, Олександрівський р-н, Донецька обл., 84000","1572","388","1562","93","1091","93","1184","","0","1091","93","1184","8","1176","972","27","3","3","30","14","12","2","10","103","29.10.12"
"140394","47","Донецька область","аграрний ліцей, спортивна зала
вул.Івана Франка, 3, смт Олександрівка, Олександрівський р-н, Донецька обл., 84000","1512","495","1490","38","981","36","1017","","0","981","36","1017","29","988","800","17","0","1","34","28","10","0","3","95","30.10.12"
"140395","47","Донецька область","школа, спортивна зала
вул.Космонавтів, 3А, с.Дмитро-Дар’ївка, Олександрівський р-н, Донецька обл., 84005","444","75","438","20","349","20","369","","0","349","20","369","5","364","310","3","1","0","13","11","3","0","1","22","29.10.12"
"140396","47","Донецька область","бібліотека, читальна зала
вул.Леніна, 83, с.Новополтавка, Олександрівський р-н, Донецька обл., 84000","1008","289","990","92","627","92","719","","0","627","92","719","20","699","551","29","7","4","50","15","6","5","3","29","30.10.12"
"140397","47","Донецька область","школа, їдальня
вул.Центральна, 2, с.Високопілля, Олександрівський р-н, Донецька обл., 84020","624","101","614","65","458","65","523","","0","458","65","523","0","523","469","5","4","0","7","11","5","0","0","22","29.10.12"
"140398","47","Донецька область","навчально-виховний комплекс, фойє
вул.Молодіжна, 14, с.Новостепанівка, Олександрівський р-н, Донецька обл., 84040","666","178","662","61","427","61","488","","0","427","61","488","7","481","386","12","1","2","12","23","4","3","2","36","29.10.12"
"140399","47","Донецька область","школа, спортивна зала
вул.Центральна, 78, с.Золоті Пруди, Олександрівський р-н, Донецька обл., 84023","522","108","512","41","376","38","414","","0","376","38","414","4","410","372","9","0","0","3","6","2","1","0","17","29.10.12"
"140400","47","Донецька область","школа, спортивна зала
вул.70 років Жовтня, 2, с.Іверське, Олександрівський р-н, Донецька обл., 84050","1500","353","1477","114","1036","111","1147","","0","1036","111","1147","39","1108","891","35","6","9","34","23","6","3","6","95","29.10.12"
"140401","47","Донецька область","адміністративний будинок ТОВ ""Олександрівка -Агро"", актова зала
вул.Артема, 53, с.Криниці, Олександрівський р-н, Донецька обл., 84041","492","139","483","50","309","44","353","","0","309","44","353","13","340","271","9","1","3","14","13","3","0","2","24","29.10.12"
"140402","47","Донецька область","школа, спортивна зала
вул.Шкільна, 1А, с.Михайлівка, Олександрівський р-н, Донецька обл., 84030","756","183","741","46","527","46","573","","0","527","46","573","16","557","484","9","1","3","6","19","5","1","1","28","29.10.12"
"140403","47","Донецька область","школа, спортивна зала
вул.Радянська, 4, с.Петрівка Друга, Олександрівський р-н, Донецька обл., 84012","726","123","718","81","522","81","603","","0","522","81","603","16","587","496","18","1","3","13","23","0","8","0","25","29.10.12"
"140404","47","Донецька область","навчально-виховний комплекс, спортивна зала
вул.Шкільна, 3, с.Мирна Долина, Олександрівський р-н, Донецька обл., 84051","558","78","550","19","461","19","480","","0","461","19","480","1","479","437","8","3","2","0","1","1","0","1","26","29.10.12"
"140405","47","Донецька область","школа, спортивна зала
вул.Дівиченка, 1А, с.Некременне, Олександрівський р-н, Донецька обл., 84021","420","71","415","38","311","38","349","","0","311","38","349","5","344","306","11","0","0","9","9","0","0","3","6","29.10.12"
"140406","47","Донецька область","навчально-виховний комплекс, хол
вул.Миру, 55, с.Новоолександрівка, Олександрівський р-н, Донецька обл., 84010","732","122","726","79","531","79","610","","0","531","79","610","6","604","502","24","3","4","14","11","1","6","2","37","29.10.12"
"140407","47","Донецька область","школа, спортивна зала
вул.Леніна, 1, с.Очеретине, Олександрівський р-н, Донецька обл., 84022","762","142","756","68","552","68","620","","0","552","68","620","15","605","519","10","2","2","20","8","1","0","2","41","29.10.12"
"140408","47","Донецька область","школа, спортивна зала
вул.Октябрська, 67, с.Весела Гора, Олександрівський р-н, Донецька обл., 84042","588","182","574","78","328","78","406","","0","328","78","406","15","391","319","13","1","2","6","9","4","1","4","32","29.10.12"
"140409","47","Донецька область","школа, спортивна зала
вул.Степова, 3, с.Степанівка, Олександрівський р-н, Донецька обл., 84043","990","332","972","113","556","102","658","","0","556","102","658","24","634","513","13","3","7","36","9","7","0","5","41","29.10.12"
"140410","47","Донецька область","школа, актова зала
вул.Велика Садова, 13, с.Староварварівка, Олександрівський р-н, Донецька обл., 84031","678","172","676","79","429","77","506","","0","429","77","506","8","498","416","20","3","4","13","6","7","3","5","21","29.10.12"
"140411","47","Донецька область","школа, спортивна зала
вул.Леніна, 111, с.Спасько-Михайлівка, Олександрівський р-н, Донецька обл., 84052","1140","257","1120","155","729","154","883","","0","729","154","883","6","877","760","29","0","6","15","14","8","0","5","40","29.10.12"
"140433","47","Донецька область","школа, коридор
вул.Жовтнева, 25, с.Привілля, Слов’янський р-н, Донецька обл., 84160","984","336","971","90","560","88","648","","0","560","88","648","16","632","562","9","6","3","15","0","0","2","7","28","29.10.12"
"140434","47","Донецька область","школа, актова зала
вул.Шкільна, 1, с.Прелесне, Слов’янський р-н, Донецька обл., 84161","672","209","669","54","409","54","463","","0","409","54","463","6","457","409","8","1","0","8","4","2","0","4","21","29.10.12"
"140435","47","Донецька область","сільський клуб, актова зала
вул.Леніна, 130, с.Майдан, Слов’янський р-н, Донецька обл., 84161","360","116","366","30","216","28","244","","0","216","28","244","9","235","193","2","1","0","6","15","1","0","2","15","28.10.12"
"140436","47","Донецька область","будинок культури, фойє
вул.Шевченко, 19, смт Черкаське, Слов’янський р-н, Донецька обл., 84162","1692","592","1670","111","990","110","1100","","0","990","110","1100","21","1079","864","26","6","6","26","12","2","0","9","128","29.10.12"
"140437","47","Донецька область","школа №2, спортивний зал
вул.Чапаєва, 6, смт Черкаське, Слов’янський р-н, Донецька обл., 84162","1098","439","1089","94","567","92","659","","0","567","92","659","16","643","532","16","2","5","8","9","5","1","3","62","29.10.12"
"140438","47","Донецька область","сільський клуб, методичний кабінет
вул.Леніна, 17/1, с.Новомиколаївка, Слов’янський р-н, Донецька обл., 84167","720","224","713","48","448","48","496","","0","448","48","496","6","490","374","15","5","2","6","27","5","1","3","52","29.10.12"
"140439","47","Донецька область","сільський клуб, фойє
вул.Октябрська, 142, с.Красноармійське, Слов’янський р-н, Донецька обл., 84168","558","186","555","35","337","35","372","","0","337","35","372","8","364","313","9","4","2","9","1","1","2","1","22","29.10.12"
"140440","47","Донецька область","будинок культури, фойє
вул.Комсомольска, 10, с.Олександрівка, Слов’янський р-н, Донецька обл., 84168","1320","486","1301","91","751","83","834","","0","751","83","834","13","821","674","20","8","6","26","11","7","6","3","60","30.10.12"
"140441","47","Донецька область","центр культури та дозвілля, фойє
вул.Леніна, 168, смт Билбасівка, Слов’янський р-н, Донецька обл., 84170","1626","782","1622","92","752","92","844","","0","752","92","844","18","826","644","22","4","7","40","23","0","1","5","80","29.10.12"
"140442","47","Донецька область","школа, спортивний зал
вул.Шкільна, 14, смт Билбасівка, Слов’янський р-н, Донецька обл., 84170","1518","580","1499","77","861","77","938","","0","861","77","938","21","917","786","17","6","4","21","17","5","1","7","53","29.10.12"
"140443","47","Донецька область","школа, фойє
вул.Островського, 24, смт Билбасівка, Слов’янський р-н, Донецька обл., 84171","1578","543","1557","110","925","110","1035","","0","925","110","1035","29","1006","825","22","5","6","34","33","3","1","4","73","29.10.12"
"140444","47","Донецька область","будинок культури, фойє
вул.60 років СРСР, 27, с-ще Мирне, Слов’янський р-н, Донецька обл., 84173","1212","457","1203","34","725","30","755","","0","725","30","755","33","722","512","25","3","2","55","27","11","2","5","80","29.10.12"
