"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Боярський
Юрій
Іванович","Гордієнко
Сергій
Леонідович","Городенський
Максим
Олексійович","Корнієнко
Сергій
Миколайович","Кривошеєв
Дмитро
Олексійович","Ржавський
Володимир
Іванович","Сопельник
Віктор
Іванович","Дата підписання протоколу"
"140970","48","Донецька область","школа №16, вестибюль, 2-й поверх
вул.Леоніда Бикова, 7, м.Краматорськ, Донецька обл., 84320","1848","899","1815","6","944","5","949","","0","944","5","949","40","909","484","73","100","43","58","99","52","04.11.12"
"140971","48","Донецька область","школа №16, вестибюль, 1-й поверх
вул.Леоніда Бикова, 7, м.Краматорськ, Донецька обл., 84320","1736","859","1716","9","870","7","877","","0","870","7","877","38","839","444","60","87","33","49","96","70","29.10.12"
"140972","48","Донецька область","школа №16, вестибюль, 3-й поверх
вул.Леоніда Бикова, 7, м.Краматорськ, Донецька обл., 84320","1856","942","1820","5","909","5","914","","0","909","5","914","35","879","475","59","101","32","59","91","62","04.11.12"
"140973","48","Донецька область","школа №10, музей
вул.Хабаровська, 40, м.Краматорськ, Донецька обл., 84320","2248","1077","2220","7","1165","6","1171","","0","1165","6","1171","34","1137","637","61","155","62","58","93","71","28.10.12"
"140974","48","Донецька область","школа №10, коридор, 2-й поверх
вул.Хабаровська, 40, м.Краматорськ, Донецька обл., 84320","2016","1055","1988","10","956","5","961","","0","956","5","961","26","935","504","52","101","40","75","104","59","29.10.12"
"140975","48","Донецька область","школа №10, актова зала, 2-поверх
вул.Хабаровська, 40, м.Краматорськ, Донецька обл., 84320","2024","1116","1975","9","900","8","908","","0","900","8","908","37","871","481","49","102","43","45","95","56","29.10.12"
"140976","48","Донецька область","Краматорське вище професійне металургійне училище, вестибюль
вул.Дніпропетровська, 7, м.Краматорськ, Донецька обл., 84318","2376","1254","2346","12","1111","11","1122","","0","1111","11","1122","59","1063","599","80","143","35","35","118","53","29.10.12"
"140977","48","Донецька область","Краматорська українська гімназія, коридор, 2-й поверх
вул.Архангельська, 11, м.Краматорськ, Донецькая обл., 84306","2463","1318","2414","27","1125","20","1145","","0","1125","20","1145","51","1094","597","70","140","28","51","141","67","29.10.12"
"140978","48","Донецька область","школа №26, коридор, 1-й поверх
вул.Ульянівська, 136, смт Біленьке, м.Краматорськ, Донецька обл., 84318","2128","1033","2073","35","1063","30","1093","","0","1063","30","1093","48","1045","548","46","128","73","43","135","72","29.10.12"
"140979","48","Донецька область","школа №26, коридор, 1-й поверх
вул.Ульянівська, 136, смт Біленьке, м.Краматорськ, Донецька обл., 84318","1968","940","1938","65","967","61","1028","","0","967","61","1028","38","990","511","46","113","76","48","135","61","29.10.12"
