"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Гур
Юлія
Олександрівна","Омельянович
Денис
Сергійович","Ходус
Микола
Олександрович","Шипілов
Олег
Федорович","Дата підписання протоколу"
"140246","49","Донецька область","районний будинок культури, фойє
вул.Центральна, 8Б, с-ще Артема, Костянтинівський р-н, Донецька обл., 85140","792","362","773","45","386","44","430","","0","386","44","430","29","401","150","204","15","32","29.10.12"
"140247","49","Донецька область","сільський клуб, фойє
вул.Леніна, 13, с.Степанівка, Костянтинівський р-н, Донецька обл., 85141","448","127","439","17","305","16","321","","0","305","16","321","24","297","127","136","10","24","28.10.12"
"140248","49","Донецька область","сільський центр культури, глядацька зала
вул.Шкільна, 8, с.Білокузьминівка, Костянтинівський р-н, Донецька обл., 85130","480","90","470","22","368","22","390","","0","368","22","390","30","360","94","231","10","25","29.10.12"
"140249","49","Донецька область","школа, спортивна зала
вул.Шкільна, 60А, с.Віролюбівка, Костянтинівський р-н, Донецька обл., 85131","392","111","385","21","260","21","281","","0","260","21","281","7","274","47","188","8","31","28.10.12"
"140250","49","Донецька область","школа, фойє
вул.Дубрівного, 72, с-ще Зоря, Костянтинівський р-н, Донецька обл., 85184","648","176","637","40","432","40","472","","0","432","40","472","18","454","44","365","11","34","29.10.12"
"140251","49","Донецька область","сільський будинок культури, фойє
вул.Садова, 36А, с.Іванопілля, Костянтинівський р-н, Донецька обл., 85160","1136","326","1128","85","725","85","810","","0","725","85","810","40","770","131","614","13","12","28.10.12"
"140252","49","Донецька область","навчально-виховний комплекс, актова зала
вул.Шкільна, 29, с.Олександро-Шультине, Костянтинівський р-н, Донецька обл., 85162","272","49","266","31","192","31","223","","0","192","31","223","9","214","26","160","16","12","03.11.12"
"140253","49","Донецька область","адмінбудівля СТОВ ""Донбас"", актова зала
вул.Догаєва, 21, с.Диліївка, Костянтинівський р-н, Донецька обл., 85162","208","42","205","13","153","13","166","","0","153","13","166","7","159","34","108","9","8","28.10.12"
"140254","49","Донецька область","адмінбудівля ""Укркотлосервіс"", актова зала
вул.Дзержинського, 34А, с.Іванопілля, Костянтинівський р-н, Донецька обл., 85103","192","76","183","10","106","10","116","","0","106","10","116","11","105","35","64","1","5","28.10.12"
"140255","49","Донецька область","сільський будинок культури, глядацька зала
вул.Фрунзе, 4, с.Ілліча, Костянтинівський р-н, Донецька обл., 85143","1576","524","1549","98","966","86","1052","","0","966","86","1052","109","943","172","678","19","74","29.10.12"
