"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Байсаров
Леонід
Володимирович","Єлін
Ілля
Костянтинович","Єрмоленко
Олена
Олександрівна","Яструбенко
Олександр
Васильович","Дата підписання протоколу"
"140220","50","Донецька область","школа, фойє, 1-й поверх
вул.Шкільна, 75, смт Святогорівка, Добропільський р-н, Донецька обл., 85020","1536","497","1508","109","932","107","1039","","0","932","107","1039","66","973","697","96","154","26","29.10.12"
"140221","50","Донецька область","будинок культури, фойє, 1-й поверх
вул.Кірова, 1, с.Вірівка, Добропільський р-н, Донецька обл., 85061","448","122","441","27","303","23","326","","0","303","23","326","21","305","217","19","64","5","28.10.12"
"140222","50","Донецька область","їдальня СТОВ ""Святогорівське"", зала, 1-й поверх
вул.Українська, 13, с.Новоукраїнка, Добропільський р-н, Донецька обл., 85012","448","89","439","46","313","46","359","","0","313","46","359","3","356","268","33","47","8","29.10.12"
"140223","50","Донецька область","будинок народних традицій, вестибюль, 1-й поверх
вул.Перемоги, 26, с-ще Світле, Добропільський р-н, Донецька обл., 85064","1424","578","1397","103","746","100","846","","0","746","100","846","41","805","545","70","176","14","29.10.12"
"140224","50","Донецька область","сільський клуб, фойє, 1-й поверх
вул.Чарушникова, 1Б, с-ще Шевченко, Добропільський р-н, Донецька обл., 85065","344","116","337","28","200","28","228","","0","200","28","228","16","212","189","4","17","2","29.10.12"
"140225","50","Донецька область","дитячий навчальний заклад №14, спортивна зала, 1-й поверх
вул.Шкільна, 19А, с-ще Новий Донбас, Добропільський р-н, Донецька обл., 85063","360","92","353","25","243","25","268","","0","243","25","268","5","263","193","12","48","10","29.10.12"
"140226","50","Донецька область","школа, фойє, 1-й поверх
вул.Радянська, 73, с.Криворіжжя, Добропільський р-н, Донецька обл., 85030","952","414","919","62","488","50","538","","0","488","50","538","26","512","324","96","82","10","29.10.12"
"140227","50","Донецька область","сільський клуб, фойє, 1-й поверх
вул.Донецька, 3, с.Завидо-Кудашеве, Добропільський р-н, Донецька обл., 85030","448","143","434","31","275","30","305","","0","275","30","305","16","289","214","17","53","5","28.10.12"
"140228","50","Донецька область","сільський клуб, зала, 1-й поверх
вул.Чапаєва, 8, с.Новофедорівка, Добропільський р-н, Донецька обл., 85031","416","160","404","23","238","18","256","","0","238","18","256","18","238","154","31","47","6","29.10.12"
"140229","50","Донецька область","будинок культури, фойє, 1-й поверх
вул.Патріотична, 25В, с.Золотий Колодязь, Добропільський р-н, Донецька обл., 85018","488","153","478","46","289","46","335","","0","289","46","335","20","315","201","41","63","10","28.10.12"
"140230","50","Донецька область","магазин ПП Тирінова Л.М., торгова зала, 1-й поверх
вул.ім.Гутника, 10А, с.Грузьке, Добропільський р-н, Донецька обл., 85018","304","130","302","21","158","16","174","","0","158","16","174","12","162","127","16","14","5","28.10.12"
"140231","50","Донецька область","сільський клуб, зала, 1-й поверх
вул.Шкільна, 15А, с.Кучерів Яр, Добропільський р-н, Донецька обл., 85018","168","50","160","11","109","9","118","","0","109","9","118","7","111","93","5","11","2","28.10.12"
"140232","50","Донецька область","магазин ПП Бусилко Г.О., торгова зала, 1-й поверх
вул.ім.Потапенка, 1А, с.Новотроїцьке, Добропільський р-н, Донецька обл., 85019","264","55","257","22","187","22","209","","0","187","22","209","12","197","122","37","32","6","28.10.12"
"140233","50","Донецька область","будинок культури, зала, 1-й поверх
вул.Шкільна, 32, с.Добропілля, Добропільський р-н, Донецька обл., 85032","1192","489","1163","66","637","66","703","","0","637","66","703","33","670","513","69","78","10","28.10.12"
"140234","50","Донецька область","школа, спортивна зала, 1-й поверх
вул.Ходневича, 39Б, с.Ганнівка, Добропільський р-н, Донецька обл., 85022","976","320","946","104","561","95","656","","0","561","95","656","19","637","537","45","45","10","29.10.12"
"140235","50","Донецька область","Новоторецька сільська рада, зала, 1-й поверх
вул.Гагаріна, 15, с.Новоторецьке, Добропільський р-н, Донецької обл., 85052","368","104","360","25","240","24","264","","0","240","24","264","5","259","175","25","51","8","28.10.12"
"140236","50","Донецька область","будинок культури, зала, 1-й поверх
вул.Куйбишева, 51, с.Володимирівка, Добропільський р-н, Донецька обл., 85051","512","86","496","29","397","29","426","","0","397","29","426","0","426","358","29","38","1","28.10.12"
"140237","50","Донецька область","будинок культури, зала, 1-й поверх
вул.Октябрська, 16, с.Октябрське, Добропільський р-н, Донецька обл., 85050","616","172","602","34","410","34","444","","0","410","34","444","10","434","327","43","57","7","28.10.12"
"140238","50","Донецька область","сільський клуб, фойє, 1-й поверх
вул.50 років Жовтня, 79, с.Торецьке, Добропільський р-н, Донецька обл., 85050","232","57","224","26","149","26","175","","0","149","26","175","4","171","112","11","46","2","28.10.12"
"140239","50","Донецька область","школа, спортивна зала, 1-й поверх
вул.Миру, 3, с.Никанорівка, Добропільський р-н, Донецька обл., 85053","816","298","797","56","462","56","518","","0","462","56","518","12","506","364","43","84","15","28.10.12"
"140240","50","Донецька область","школа, актова зала, 1-й поверх
вул.ім.Шевченка, 26, с.Шилівка, Добропільський р-н, Донецька обл., 85033","208","46","196","24","140","22","162","","0","140","22","162","6","156","116","23","13","4","28.10.12"
"140241","50","Донецька область","будинок культури, зала, 1-й поверх
вул.ім.Леніна, 84, с.Леніна, Добропільський р-н, Донецька обл., 85033","288","77","282","20","191","20","211","","0","191","20","211","8","203","162","19","20","2","29.10.12"
"140242","50","Донецька область","клуб ПАТ імені Шевченко, зала, 1-й поверх
вул.Центральна, 80, с.Юр’ївка, Добропільський р-н, Донецька обл., 85033","192","66","184","10","118","8","126","","0","118","8","126","2","124","61","20","38","5","28.10.12"
"140243","50","Донецька область","сільський клуб, зала, 1-й поверх
вул.ім.Астахова, 2, с.Кам’янка, Добропільський р-н, Донецька обл., 85033","168","50","154","23","96","22","118","","0","96","22","118","5","113","80","9","22","2","28.10.12"
"140244","50","Донецька область","Нововодянська сільська рада, зала, 1-й поверх
вул.Донецька, 60, с.Нововодяне, Добропільський р-н, Донецька обл., 85017","440","158","424","28","255","27","282","","0","255","27","282","12","270","206","22","41","1","29.10.12"
"140245","50","Донецька область","магазин ПП Бородіч В.В., зала, 1-й поверх
вул.Ватутіна, 11А, с.Первомайське, Добропільський р-н, Донецька обл., 85013","344","106","337","25","214","24","238","","0","214","24","238","5","233","165","21","39","8","28.10.12"
"140738","50","Донецька область","ВП ""Автомобіліст"", коридор, 1-й поверх
вул.Артема, 38, м.Димитров, Донецька обл., 85320","1944","1177","1920","30","737","30","767","","0","737","30","767","61","706","468","83","138","17","29.10.12"
"140739","50","Донецька область","школа №8, коридор, 1-й поверх
пров.Островського, 3, м.Димитров, Донецька обл., 85320","2000","772","1962","30","1205","23","1228","","0","1173","23","1196","58","1138","853","69","188","28","29.10.12"
"140740","50","Донецька область","школа №8, коридор, 2-й поверх
пров.Островського, 3, м.Димитров, Донецька обл., 85320","1800","613","1758","41","1152","35","1187","","0","1152","35","1187","21","1166","1094","14","53","5","28.10.12"
"140741","50","Донецька область","школа №4, коридор, 2-й поверх
вул.Щербакова, 92, м.Димитров, Донецька обл., 85320","1544","618","1524","30","899","27","926","","0","899","27","926","35","891","709","52","113","17","29.10.12"
"140742","50","Донецька область","школа-інтернат, коридор, 1-й поверх
вул.Лізи Чайкіної, 32, м.Димитров, Донецька обл., 85320","1960","454","1924","24","1485","21","1506","","0","1485","21","1506","82","1424","1149","62","189","24","28.10.12"
"140743","50","Донецька область","палац культури імені Артема, фойє, 2-й поверх
вул.Ватутіна, 9, м.Димитров, Донецька обл., 85320","1752","690","1723","28","1039","23","1062","","0","1039","23","1062","68","994","736","75","157","26","29.10.12"
