"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Алишев
Олександр
Миколайович","Антип
Петро
Іванович","Березовий
Микола
Вікторович","Весьолкін
Володимир
Юрійович","Вініченко
Сергій
Вікторович","Герасимов
Артур
Володимирович","Гончаров
Анатолій
Дмитрович","Карпушев
Олексій
Олександрович","Поляков
Віталій
Дмитрійович","Попов
Роман
Валентинович","П’ятько
Роман
Анатолійович","Черненко
Віталій
Григорович","Шило
Віталій
Олександрович","Дата підписання протоколу"
"000001","51","Донецька область","приміщення санітарного пропускника
просп.Перемоги, 5А, м. Горлівка, Донецька обл., 84617","30","23","10","0","7","0","7","","0","7","0","7","2","5","0","1","0","2","1","1","0","0","0","0","0","0","0","28.10.12"
"141497","51","Донецька область","школа №47, коридор, 1-й поверх
просп.Леніна, 229, м.Горлівка, Донецька обл., 84629","2274","1216","2245","16","1046","12","1058","","0","1046","12","1058","59","999","15","75","38","134","97","49","417","131","7","5","5","20","6","29.10.12"
"141498","51","Донецька область","школа №47, коридор, 1-й поверх
просп.Леніна, 229, м.Горлівка, Донецька обл., 84629","2370","1208","2327","12","1151","11","1162","","0","1151","11","1162","62","1100","17","74","43","162","108","67","443","142","8","3","0","26","7","29.10.12"
"141499","51","Донецька область","школа №47, вестибюль
просп.Леніна, 229, м.Горлівка, Донецька обл., 84629","2226","1149","2191","8","1070","7","1077","","0","1070","7","1077","65","1012","9","102","36","156","105","68","364","137","9","3","2","19","2","29.10.12"
"141500","51","Донецька область","школа №25, спортивний зал
вул.Оленіна, 10, м.Горлівка, Донецька обл., 84629","2346","1247","2304","16","1084","15","1099","","0","1084","15","1099","56","1043","5","82","30","125","132","78","411","134","7","2","2","28","7","29.10.12"
"141501","51","Донецька область","школа №25, актова зала
вул.Оленіна, 10, м.Горлівка, Донецька обл., 84629","2268","1168","2234","32","1079","21","1100","","0","1079","21","1100","63","1037","10","70","36","156","91","89","436","105","16","6","1","15","6","29.10.12"
"141502","51","Донецька область","школа №48, вестибюль
вул.Стожка, 53, м.Горлівка, Донецька обл., 84607","996","531","986","27","447","18","465","","0","447","18","465","37","428","2","22","5","47","44","114","125","53","4","4","1","1","6","28.10.12"
"141503","51","Донецька область","школа №12, спортивний зал
вул.Дубініна, 2, м.Горлівка, Донецька обл., 84607","2250","1230","2203","35","989","31","1020","","0","989","31","1020","36","984","9","43","12","201","78","158","364","104","2","3","1","8","1","29.10.12"
"141504","51","Донецька область","ДНЗ ""Горлівський центр ПТО"", вестибюль
вул.Неверова, 46, м.Горлівка, Донецька обл., 84607","1992","1110","1971","34","852","30","882","","0","852","30","882","47","835","7","48","23","181","80","68","285","113","5","5","2","13","5","29.10.12"
"141505","51","Донецька область","ДП шахта ""Комсомолець"", зал засідань
вул.Куйбишева, 1, м.Горлівка, Донецька обл., 84607","2052","1187","2026","34","833","32","865","","0","833","32","865","33","832","4","56","17","160","78","80","319","87","2","5","2","12","10","29.10.12"
"141506","51","Донецька область","палац культури ""Комсомолець"", вестибюль
вул.60 років СРСР, 16, м.Горлівка, Донецька обл., 84607","2268","1286","2233","36","954","28","982","","0","954","28","982","38","944","5","65","24","183","88","79","359","105","8","1","5","20","2","29.10.12"
"141507","51","Донецька область","СП УМТЗтаДВ ДП ""Артемвугілля"", вестибюль
вул.Дивногірська, 3, м.Горлівка, Донецька обл., 84614","1175","639","1174","26","514","22","536","","0","514","22","536","33","503","2","30","13","60","79","126","143","43","4","0","0","2","1","29.10.12"
"141508","51","Донецька область","школа №6, вестибюль
вул.Переяславська, 9, м.Горлівка, Донецька обл., 84614","2172","1175","2139","65","941","56","997","","0","941","56","997","40","957","6","52","12","147","208","102","319","84","8","4","2","9","4","29.10.12"
"141509","51","Донецька область","дитячо-юнацька спортивна школа №3, вестибюль
вул.Болотникова, 2, м.Горлівка, Донецька обл., 84607","1926","1091","1903","39","797","38","835","","0","797","38","835","31","804","10","61","14","109","62","179","278","72","3","4","1","7","4","30.10.12"
"141510","51","Донецька область","стоматологічне відділення №3, вестибюль
пров.Лікарняний, 6, м.Горлівка, Донецька обл., 84630","672","358","680","12","304","10","314","","0","304","10","314","23","291","4","28","8","42","28","13","118","37","3","1","0","7","2","30.10.12"
"141511","51","Донецька область","школа №10, вестибюль
вул.Комарова, 34, м.Горлівка, Донецька обл., 84630","1794","926","1763","37","835","33","868","","0","835","33","868","38","830","8","53","11","118","75","181","252","118","4","2","2","5","1","29.10.12"
"141512","51","Донецька область","ТОВ ""Центренергосервіс"", вестибюль
вул.Шашуріна, 31, м.Горлівка, Донецька обл., 84630","1824","1016","1791","48","764","44","808","","0","764","44","808","43","765","5","38","17","148","49","128","260","91","5","1","3","19","1","29.10.12"
"141513","51","Донецька область","школа №68, вестибюль
вул.Новаторів, 1, м.Горлівка, Донецька обл., 84635","2058","1173","2025","50","839","46","885","","0","839","46","885","48","837","6","72","13","99","100","101","321","100","6","4","0","12","3","29.10.12"
"141514","51","Донецька область","школа №68, вестибюль
вул.Тимірязєва, 26, м.Горлівка, Донецька обл., 84635","498","249","503","40","210","39","249","","0","210","39","249","11","238","6","25","3","17","19","90","57","17","2","1","0","1","0","29.10.12"
"141515","51","Донецька область","СП Горлівської ДЛШ ш.Ізотова, вестибюль
вул.Гірничопромислова, 100, м.Горлівка, Донецька обл., 84635","1410","795","1392","50","569","46","615","","0","569","46","615","38","577","3","34","20","44","48","164","181","63","10","0","0","9","1","29.10.12"
"141516","51","Донецька область","палац культури ім. М.О.Ізотова, вестибюль
вул.Черняховського, 81, м.Горлівка, Донецька обл., 84635","2310","1245","2286","39","1026","39","1065","","0","1026","39","1065","87","978","10","127","8","99","122","151","342","95","6","2","1","10","5","29.10.12"
"141517","51","Донецька область","школа-інтернат №25, вестибюль
вул.Черняховського, 144, м.Горлівка, Донецька обл., 84635","1668","845","1638","34","794","29","823","","0","794","29","823","33","790","3","82","14","78","77","205","225","73","12","2","2","10","7","29.10.12"
"141518","51","Донецька область","школа №7, спортивний зал
вул.Ртутна, 10, м.Горлівка, Донецька обл., 84635","2238","1165","2210","51","1028","45","1073","","0","1028","45","1073","51","1022","14","78","19","89","101","211","375","112","4","3","3","13","0","29.10.12"
"141519","51","Донецька область","школа №84, коридор
вул.Фадєєва, 51, м.Горлівка, Донецька обл., 84632","1086","583","1061","22","485","18","503","","0","485","18","503","30","473","2","38","4","21","38","99","205","54","7","0","0","3","2","29.10.12"
"141520","51","Донецька область","школа №42, вестибюль
вул.Туполєва, 12, м.Горлівка, Донецька обл., 84632","1680","968","1667","47","665","47","712","","0","664","47","711","25","686","4","78","11","59","79","88","287","55","10","1","2","5","7","29.10.12"
"141521","51","Донецька область","палац культури ""Микитівський"", вестибюль, 2-й поверх
вул.Корольова, 109, м.Горлівка, Донецька обл., 84632","1452","867","1448","30","561","24","585","","0","561","24","585","36","549","8","50","14","31","56","95","218","50","6","2","5","12","2","29.10.12"
"141522","51","Донецька область","палац культури ""Микитівський"", вестибюль, 1-й поверх
вул.Корольова, 109, м.Горлівка, Донецька обл., 84632","1692","1070","1674","43","586","36","622","","0","586","36","622","50","572","2","51","16","54","68","70","233","56","2","3","3","9","5","29.10.12"
"141523","51","Донецька область","станція Майорська, червоний куток
Станція Майорська, м.Горлівка, Донецька обл., 84632","528","245","526","8","275","8","283","","0","275","8","283","20","263","4","33","5","20","29","38","100","20","5","4","1","4","0","29.10.12"
