"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Другашов
Дмитро
Олександрович","Жмурко
Андрій
Анатолійович","Поддубний
Володимир
Анатолійович","Подколзін
Тимур
Сергійович","Попов
Василь
Миколайович","Проценко
Володимир
Васильович","Рибак
Володимир
Іванович","Рижков
Анатолій
Іванович","Шкіря
Ігор
Миколайович","Дата підписання протоколу"
"140669","52","Донецька область","школа №4, їдальня
вул.60 років Октября, 30, м.Дебальцеве, Донецька обл., 84700","1328","547","1303","29","752","29","781","","0","752","29","781","34","747","49","9","174","2","6","147","21","23","316","29.10.12"
"140670","52","Донецька область","будинок культури і техніки вагонного депо Дебальцеве-сортувальне, хол
вул.Калініна, 137, м.Дебальцеве, Донецька обл., 84700","1984","874","1957","65","1063","47","1110","","0","1063","47","1110","66","1044","68","39","167","6","7","265","26","28","438","30.10.12"
"140671","52","Донецька область","школа №5, рекреація
вул.Сосюри, 24, м.Дебальцеве, Донецька обл., 84700","1784","784","1768","48","959","41","1000","","0","959","41","1000","50","950","62","23","160","5","12","193","33","15","447","29.10.12"
"140672","52","Донецька область","Дебальцівська дирекція залізничних перевезень, хол
вул.Леніна, 12, м.Дебальцеве, Донецька обл., 84700","2056","937","1987","35","1088","31","1119","","0","1088","31","1119","54","1065","73","31","140","1","6","247","9","17","541","29.10.12"
"140673","52","Донецька область","школа №3, хол
вул.Пархоменка, 35, м.Дебальцеве, Донецька обл., 84700","2088","844","2050","72","1180","64","1244","","0","1180","64","1244","52","1192","63","25","180","4","7","200","16","26","671","29.10.12"
"140674","52","Донецька область","міський центр культури і дозвілля, фойє
вул.Заводська, 3, м.Дебальцеве, Донецька обл., 84700","2040","996","2016","64","992","52","1044","","0","992","52","1044","0","1044","71","22","261","8","5","210","24","9","434","29.10.12"
"140675","52","Донецька область","школа №2, вестибюль
вул.Денисенка, 87, м.Дебальцеве, Донецька обл., 84700","1960","971","1938","47","949","40","989","","0","949","40","989","58","931","39","26","191","6","5","192","20","22","430","29.10.12"
"140676","52","Донецька область","школа №1, їдальня
мікрорайон Восточний, школа №1, м.Дебальцеве, Донецька обл., 84700","2376","1208","2352","27","1142","26","1168","","0","1142","26","1168","52","1116","54","28","211","7","6","236","21","16","537","29.10.12"
"140677","52","Донецька область","школа №6, спортзал
вул.Космонавтів, 13, м.Дебальцеве, Донецька обл., 84700","1944","851","1916","27","1069","24","1093","","0","1069","24","1093","48","1045","60","14","148","7","9","262","23","9","513","29.10.12"
"140678","52","Донецька область","школа №6, їдальня
вул.Космонавтів, 13, м.Дебальцеве, Донецька обл., 84700","1872","781","1839","44","1056","35","1091","","0","1056","35","1091","56","1035","40","15","172","6","8","322","7","9","456","29.10.12"
"140679","52","Донецька область","школа №7, спортзал
вул.50 років Октября, 46, м.Дебальцеве, Донецька обл., 84700","1736","680","1719","31","1027","29","1056","","0","1027","29","1056","70","986","63","25","82","4","12","223","15","26","536","29.10.12"
"140680","52","Донецька область","їдальня локомотивного депо-сортувальне, зала
вул.Путєва, 18, м.Дебальцеве, Донецька обл., 84700","968","411","959","31","526","31","557","","0","526","31","557","16","541","12","5","1","82","2","293","4","12","130","29.10.12"
"140681","52","Донецька область","школа №9, фойє
вул.Леніна, 11, смт Миронівський, м.Дебальцеве, Донецька обл., 84791","2056","911","2038","65","1081","64","1145","","0","1081","64","1145","62","1083","39","29","14","8","13","201","46","60","673","28.10.12"
"140682","52","Донецька область","будинок культури, фойє
вул.Леніна, 18, смт Миронівський, м.Дебальцеве, Донецька обл., 84791","2200","1017","2181","80","1106","77","1183","","0","1106","77","1183","64","1119","33","48","19","8","14","218","56","45","678","29.10.12"
"140683","52","Донецька область","школа №10, хол
вул.Комсомольська, 10, смт Миронівський, м.Дебальцеве, Донецька обл., 84791","1816","782","1799","102","935","99","1034","","0","935","99","1034","59","975","25","48","19","9","10","252","31","25","556","29.10.12"
"140684","52","Донецька область","палац культури, фойє
просп.Леніна, 3, м.Світлодарськ, м.Дебальцеве, Донецька обл., 84792","2376","984","2350","48","1356","36","1392","","0","1356","36","1392","67","1325","31","42","30","9","33","225","67","34","854","29.10.12"
