"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Волошин
Геннадій
Якович","Литвинов
Леонід
Федорович","Славгородський
Ігор
Васильович","Стужук
Микола
Олександрович","Дата підписання протоколу"
"140835","53","Донецька область","гуртожиток металургійного заводу, актова зала
вул.Восточна, 10, м.Єнакієве, Донецька обл., 86400","2120","964","2095","102","1055","101","1156","","0","1055","101","1156","38","1118","33","963","23","99","28.10.12"
"140836","53","Донецька область","школа №5, коридор, 1-й поверх
вул.Броненосця ""Потьомкін"", 107, м.Єнакієве, Донецька обл., 86400","2160","1048","2124","63","1060","52","1112","","0","1060","52","1112","44","1068","51","876","26","115","29.10.12"
"140837","53","Донецька область","школа №5, актова зала
вул.Броненосця ""Потьомкін"", 107, м.Єнакієве, Донецька обл., 86400","1336","633","1311","65","638","65","703","","0","638","65","703","13","690","33","561","22","74","29.10.12"
"140838","53","Донецька область","школа №12, актова зала
вул.Алмазна, 4, м.Єнакієве, Донецька обл., 86400","2064","882","2042","125","1058","124","1182","","0","1058","124","1182","39","1143","38","981","26","98","29.10.12"
"140839","53","Донецька область","адмінбудівля виробничого підприємства ""Центральні електрічні мережі"", приміщення їдальні
вул.Октябрьської революції, 136, м.Єнакієве, Донецька обл., 86400","1512","716","1490","91","705","91","796","","0","705","91","796","38","758","39","630","21","68","29.10.12"
"140840","53","Донецька область","школа №34, вестибюль
вул.60 лєт СССР, 31, м.Єнакієве, Донецька обл., 86400","2056","921","2040","47","1098","37","1135","","0","1098","37","1135","52","1083","40","909","19","115","29.10.12"
"140841","53","Донецька область","гімназія, актова зала
вул.Турутіна, 113, м.Єнакієве, Донецька обл., 86400","2048","823","2003","58","1174","51","1225","","0","1174","51","1225","37","1188","42","990","28","128","29.10.12"
"140842","53","Донецька область","школа №1, актова зала
вул.Передовиків, 3, м.Єнакієве, Донецька обл., 86400","2112","946","2075","26","1145","21","1166","","0","1145","21","1166","13","1153","40","969","33","111","29.10.12"
"140843","53","Донецька область","школа №2, їдальня
просп.Шевченко, 84А, м.Єнакієве, Донецька обл., 86400","1599","746","1580","27","827","26","853","","0","827","26","853","34","819","41","661","28","89","29.10.12"
"140844","53","Донецька область","будинок культури імені 40-річчя Перемоги, фойє, 2-й поверх
пл.Леніна, 5, м.Єнакієве, Донецька обл., 86400","1912","742","1871","61","1112","58","1170","","0","1112","58","1170","32","1138","34","984","31","89","29.10.12"
"140845","53","Донецька область","центральна бібліотека, к.1, 1-й поверх
вул.Тіунова, 103, м.Єнакієве, Донецька обл., 86400","632","233","632","46","355","44","399","","0","355","44","399","13","386","15","322","11","38","28.10.12"
"140846","53","Донецька область","Єнакієвський технікум економіки і менеджменту, хол, 1-й поверх
вул.Партизанська, 125, м.Єнакієве, Донецька обл., 86400","1608","688","1582","66","857","63","920","","0","857","63","920","23","897","37","744","31","85","28.10.12"
"140847","53","Донецька область","музей історії металургійного заводу, фойє
вул.Партизанська, 123, м.Єнакієве, Донецька обл., 86400","2192","979","2152","57","1158","55","1213","","0","1158","55","1213","34","1179","43","973","29","134","28.10.12"
"140848","53","Донецька область","школа №15, вестибюль, 1-й поверх
вул.ХХ Партз’їзду, 81, м.Єнакієве, Донецька обл., 86400","1952","878","1916","60","1022","52","1074","","0","1022","52","1074","19","1055","42","877","25","111","29.10.12"
