"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бєліков
Юрій
Миколайович","Кисельов
Юрій
Анатолійович","Ложечкін
Вадим
Сергійович","Нагорний
Тимофій
Олександрович","Новиков
Станіслав
Олегович","Омельченко
Валерій
Павлович","Дата підписання протоколу"
"140908","55","Донецька область","школа №1, фойє, 1-й поверх
вул.Шкільна, 1А, м.Жданівка, Донецька обл., 86391","1568","350","1534","23","1197","21","1218","","0","1197","21","1218","18","1200","20","14","56","114","16","980","29.10.12"
"140909","55","Донецька область","школа №1, коридор, 2-й поверх
вул.Шкільна, 1А, м.Жданівка, Донецька обл., 86391","864","244","857","30","591","29","620","","0","591","29","620","16","604","9","5","23","89","10","468","29.10.12"
"140910","55","Донецька область","Центр культури і дозвілля, каб.39
вул.Шкільна, 8А, м.Жданівка, Донецька обл., 86391","2016","581","1976","61","1374","61","1435","","0","1374","61","1435","32","1403","29","4","82","139","20","1129","28.10.12"
"140911","55","Донецька область","школа мистецтв, концертна зала
вул.Кавченка, 8, м.Жданівка, Донецька обл., 86391","472","212","478","13","250","10","260","","0","250","10","260","15","245","11","1","19","36","5","173","29.10.12"
"140912","55","Донецька область","школа №2, фойє, 1-й поверх
вул.Больнична, 8, м.Жданівка, Донецька обл., 86391","2160","604","2105","69","1488","68","1556","","0","1488","68","1556","0","1556","19","6","96","177","24","1234","29.10.12"
"140913","55","Донецька область","школа №2, велика спортивна зала
вул.Больнична, 8, м.Жданівка, Донецька обл., 86391","2072","719","2027","101","1276","77","1353","","0","1276","77","1353","35","1318","25","15","120","228","13","917","29.10.12"
"140914","55","Донецька область","школа, каб.3
вул.Леніна, 28А, смт Вільхівка, м.Жданівка, Донецька обл., 86397","536","45","491","36","455","36","491","","0","455","36","491","3","488","17","4","37","29","2","399","28.10.12"
"140915","55","Донецька область","ККЛПЗ ""Облпсихлікарня м.Жданівка"", актова зала
вул.Больнична, 1, м.Жданівка, Донецька обл., 86391","408","99","309","170","139","170","309","","0","139","170","309","17","292","11","5","10","10","5","251","28.10.12"
"140916","55","Донецька область","Жданівська виправна колонія №3, їдальня засуджених
смт Вільхівка, м.Жданівка, Донецька обл., 86397","688","33","656","4","651","4","655","","0","651","4","655","38","617","47","21","31","15","21","482","28.10.12"
"140917","55","Донецька область","музична школа, концертна зала, 1-й поверх
вул.Леніна, 22, м.Кіровське, Донецька обл., 86300","1240","540","1232","31","670","30","700","","0","670","30","700","4","696","28","5","47","83","21","512","29.10.12"
"140918","55","Донецька область","школа №3, їдальня, 1-й поверх
вул.Піонерська, 1, м.Кіровське, Донецька обл., 86300","1552","683","1535","44","825","44","869","","0","825","44","869","28","841","21","9","85","86","29","611","29.10.12"
"140919","55","Донецька область","будинок дитячої творчості, актова зала, 1-й поверх
вул.Піонерська, 5, м.Кіровське, Донецька обл., 86300","1616","689","1610","57","870","57","927","","0","870","57","927","7","920","16","3","83","125","5","688","29.10.12"
"140920","55","Донецька область","профілакторій ""Донбас"", мала зала, 1-й поверх
вул.Першотравнева, 8, м.Кіровське, Донецька обл., 86300","1000","377","993","52","573","50","623","","0","573","50","623","17","606","8","5","46","63","14","470","29.10.12"
