"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бакуліна
Наталія
Василівна","Борт
Віталій
Петрович","Молоков
Денис
Геннадійович","Наумов
Олександр
Олександрович","Новаковський
Іван
Сергійович","Поліванов
Олег
Олександрович","Ткачук
Лариса
Віталіївна","Дата підписання протоколу"
"000001","56","Донецька область","
Донецьке шосе, 14А, м. Макіївка, Донецька обл., 86132","40","32","8","0","8","0","8","","0","8","0","8","0","8","0","8","0","0","0","0","0","28.10.12"
"142078","56","Донецька область","Палац культури ""ЯКХЗ"", хол, 1-й поверх
вул.Депутатська, 162, м.Макіївка, Донецька обл., 86110","1344","478","1316","85","782","84","866","","0","782","84","866","41","825","26","612","78","42","5","7","55","28.10.12"
"142079","56","Донецька область","художня школа, хол, 1-й поверх
пров.Смирнихіна, 9, м.Макіївка, Донецька обл., 86110","1632","359","1602","60","1221","52","1273","","0","1221","52","1273","14","1259","22","970","137","44","7","10","69","28.10.12"
"142080","56","Донецька область","школа №90, хол, 1-й поверх
вул.Трубіцина, 3, м.Макіївка, Донецька обл., 86110","1104","416","1092","46","646","42","688","","0","646","42","688","35","653","21","437","94","43","8","18","32","29.10.12"
"142081","56","Донецька область","дитячий заклад №132 ""Колосок"", хол, 1-й поверх
вул.Леніна, 78, смт Ясинівка, м.Макіївка, Донецька обл., 86181","1384","589","1362","38","757","38","795","","0","757","38","795","44","751","19","513","112","38","6","14","49","29.10.12"
"142082","56","Донецька область","школа №46, хол, 1-й поверх
вул.Табашевського, 17, смт Ясинівка, м.Макіївка, Донецька обл., 86181","1216","664","1203","22","530","22","552","","0","530","22","552","40","512","20","369","75","20","3","7","18","29.10.12"
"142083","56","Донецька область","школа №48, хол, 1-й поверх
вул.Піонерська, 2, смт Землянки, м.Макіївка, Донецька обл., 86182","1704","600","1675","51","1056","48","1104","","0","1056","48","1104","33","1071","17","886","89","28","4","16","31","29.10.12"
"142084","56","Донецька область","Палац культури ""Макіївкокс"", малий зал, 1-й поверх
вул.Депутатська, 146, м.Макіївка, Донецька обл., 86106","1592","768","1569","44","785","39","824","","0","785","39","824","36","788","36","525","120","32","7","13","55","29.10.12"
"142085","56","Донецька область","школа №7, спортивний зал, 1-й поверх
вул.Ціолковського, 2, м.Макіївка, Донецька обл., 86130","1272","577","1255","47","651","44","695","","0","651","44","695","29","666","9","488","78","38","9","7","37","28.10.12"
"142086","56","Донецька область","школа №7, їдальня, 1-й поверх
вул.Ціолковського, 2, м.Макіївка, Донецька обл., 86130","1344","604","1323","8","732","8","740","","0","732","8","740","18","722","23","488","92","34","11","10","64","28.10.12"
"142087","56","Донецька область","школа мистецтв №1, хол, 1-й поверх
вул.Трубіцина, 2, м.Макіївка, Донецька обл., 86130","1304","658","1289","48","604","42","646","","0","604","42","646","36","610","22","409","78","45","6","5","45","28.10.12"
"142088","56","Донецька область","педучилище, хол, 1-й поверх
вул.Трубіцина, 8, м.Макіївка, Донецька обл., 86133","1160","287","1172","31","848","25","873","","0","848","25","873","32","841","15","619","101","39","3","11","53","29.10.12"
