"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Асєєв
Ігор
Анатолійович","Забавін
Дмитро
В’ячеславович","Матвієнков
Сергій
Анатолійович","Мороз
Анатолій
Михайлович","Пуговкін
Дмитро
Юрійович","Романюк
Олександр
Володимирович","Щербаков
Сергій
Андрійович","Яременко
Микола
Дмитрович","Дата підписання протоколу"
"000001","57","Донецька область","
с-ще Каменськ, м.Маріуполь, Донецька обл.","864","119","749","0","745","0","745","","0","745","0","745","45","700","17","14","598","23","9","13","12","14","28.10.12"
"142297","57","Донецька область","школа №46, хол, ліворуч
вул.Леніна, 41, смт Старий Крим, м.Маріуполь, Донецька обл., 87591","1912","966","1879","38","916","30","946","","0","916","30","946","40","906","26","11","616","20","140","58","7","28","29.10.12"
"142298","57","Донецька область","школа №46, хол, праворуч
вул.Леніна, 41, смт Старий Крим, м.Маріуполь, Донецька обл., 87591","1624","864","1602","35","731","29","760","","0","731","28","759","39","720","23","7","511","23","93","36","6","21","29.10.12"
"142299","57","Донецька область","школа №19, хол, праворуч
вул.Першотравнева, 68, м.Маріуполь, Донецька обл., 87527","1472","636","1438","11","825","11","836","","0","825","11","836","35","801","39","10","539","23","124","46","3","17","29.10.12"
"142300","57","Донецька область","клуб, хол, ліворуч
вул.Першотравнева, 35, м.Маріуполь, Донецька обл., 87527","1480","714","1456","22","748","18","766","","0","748","18","766","27","739","19","15","525","26","100","30","3","21","29.10.12"
"142301","57","Донецька область","Професійний ліцей сфери послуг №74, столова
просп.Карпова, 18, м.Маріуполь, Донецька обл., 87535","600","345","584","11","246","9","255","","0","246","9","255","10","245","7","5","158","9","36","26","2","2","28.10.12"
"142302","57","Донецька область","Палац культури"" Іскра"", хол
просп.Ілліча, 143, м.Маріуполь, Донецька обл., 87535","1472","629","1439","40","808","35","843","","0","808","35","843","25","818","54","14","511","16","139","66","6","12","29.10.12"
"142303","57","Донецька область","Учбово-науковий центр ДДУ, хол
вул.Карпинського, 58, м.Маріуполь, Донецька обл., 87513","1736","715","1695","45","981","40","1021","","0","981","40","1021","42","979","78","11","601","15","162","84","11","17","29.10.12"
"142304","57","Донецька область","школа №4, хол, ліворуч
вул.Сєченова, 51А, м.Маріуполь, Донецька обл., 87524","2080","930","2049","47","1115","35","1150","","0","1115","35","1150","50","1100","61","14","731","20","157","82","13","22","29.10.12"
"142305","57","Донецька область","школа №4, хол, праворуч
вул.Сєченова, 51А, м.Маріуполь, Донецька обл., 87524","2096","974","2061","55","1085","37","1122","","0","1085","37","1122","55","1067","60","15","699","21","171","73","7","21","29.10.12"
"142306","57","Донецька область","Технологічний ліцей, хол
просп.Ілліча, 133, м.Маріуполь, Донецька обл., 87535","1944","899","1912","35","1015","30","1045","","0","1015","30","1045","44","1001","63","16","663","18","161","49","13","18","29.10.12"
"142307","57","Донецька область","школа №42, хол
вул.Карпинського, 25, м.Маріуполь, Донецька обл., 87513","2096","956","2059","43","1103","37","1140","","0","1103","37","1140","41","1099","71","15","701","21","167","100","7","17","29.10.12"
"142308","57","Донецька область","Навчально-курсовий комбінат, хол
вул.Сєченова, 71А, м.Маріуполь, Донецька обл., 87524","1904","862","1858","27","1019","23","1042","","0","1019","23","1042","50","992","57","14","627","30","173","79","1","11","29.10.12"
"142309","57","Донецька область","ліцей-школа №34, хол, ліворуч, 1-й поверх
вул.Гастелло, 17, м.Маріуполь, Донецька обл., 87513","1944","911","1897","54","990","43","1033","","0","990","43","1033","44","989","46","13","640","17","193","57","10","13","29.10.12"
"142310","57","Донецька область","ліцей-школа №34, хол, праворуч, 2-й поверх
вул.Гастелло, 17, м.Маріуполь, Донецька обл., 87513","1712","1026","1683","0","686","0","686","","0","686","0","686","45","641","54","21","345","27","136","41","9","8","29.10.12"
"142311","57","Донецька область","ліцей-школа №34, хол, ліворуч, 2-й поверх
вул.Гастелло, 17, м.Маріуполь, Донецька обл., 87513","1512","969","1484","4","540","3","543","","0","540","3","543","33","510","39","11","295","21","87","45","5","7","28.10.12"
"142312","57","Донецька область","Плавальний басейн ""Нептун"", хол
вул.Менжинського, 2А, м.Маріуполь, Донецька обл., 87524","1832","775","1803","40","1021","36","1057","","0","1021","36","1057","47","1010","61","17","640","18","190","64","9","11","29.10.12"
"142313","57","Донецька область","Іллічівська районна адміністрація, хол
просп.Металургів, 193, м.Маріуполь, Донецька обл., 87524","1720","718","1694","26","978","24","1002","","0","978","24","1002","55","947","66","6","578","27","168","81","6","15","29.10.12"
"142314","57","Донецька область","Палац ""Металургів"", хол, ліворуч, 2-й поверх
просп.Металургів, 150, м.Маріуполь, Донецька обл., 87531","2000","1039","1961","13","949","12","961","","0","949","12","961","33","928","59","18","600","20","155","59","11","6","29.10.12"
"142315","57","Донецька область","Палац"" Металургів"", хол, праворуч, 2-й поверх
просп.Металургів, 150, м.Маріуполь, Донецька обл., 87531","1880","1028","1825","20","834","18","852","","0","834","18","852","33","819","49","15","510","26","147","55","8","9","29.10.12"
"142316","57","Донецька область","колегіум-школа №28, хол
вул.Гонди, 6, м.Маріуполь, Донецька обл., 87531","1248","567","1239","34","653","28","681","","0","653","28","681","35","646","50","2","399","15","119","51","7","3","29.10.12"
"142317","57","Донецька область","Машинобудівний ліцей №4, хол
вул.Макара Мазая, 3, м.Маріуполь, Донецька обл., 87531","1376","688","1355","20","669","19","688","","0","668","19","687","31","656","48","10","428","15","113","30","3","9","29.10.12"
"142318","57","Донецька область","Машинобудівний технікум ПДТУ, хол
вул.Вузівська, 1, м.Маріуполь, Донецька обл., 87504","1008","517","1005","10","483","8","491","","0","483","8","491","15","476","28","5","305","14","74","37","8","5","29.10.12"
"142319","57","Донецька область","школа №44, хол
вул.Заозерна, 266, м.Маріуполь, Донецька обл., 87538","1688","893","1668","27","770","25","795","","0","770","25","795","36","759","35","8","510","21","142","30","4","9","29.10.12"
"142320","57","Донецька область","школа №21, хол
вул.Озеро Хасан, 65, м.Маріуполь, Донецька обл., 87504","976","552","964","29","403","21","424","","0","403","21","424","22","402","35","8","245","7","80","25","0","2","28.10.12"
"142321","57","Донецька область","школа №45, столова
вул.Войкова, 31А, м.Маріуполь, Донецька обл., 87552","1016","521","1011","16","479","16","495","","0","479","16","495","14","481","33","5","335","6","73","20","2","7","29.10.12"
"142322","57","Донецька область","Будинок дитячого мистецтва, хол, ліворуч
вул.Семашка, 19, м.Маріуполь, Донецька обл., 87504","1216","686","1193","14","517","13","530","","0","517","13","530","27","503","29","4","301","13","117","34","3","2","29.10.12"
