"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Асєєв
Олег
Анатолійович","Білий
Олексій
Петрович","Гудзюк
Сергій
Степанович","Дейнєс
Віталій
Геннадійович","Конишев
Геннадій
Аркадійович","Красновський
Сергій
Борисович","Решетняк
Ігор
Миколайович","Тіхонова
Лілія
Валентинівна","Дата підписання протоколу"
"000001","58","Донецька область","
вул.Італійська, 86, м.Маріуполь, Донецька обл., 87500","48","27","21","0","21","0","21","","0","21","0","21","2","19","2","14","0","1","1","1","0","0","28.10.12"
"000002","58","Донецька область","
судно ""Андрій Упит""","0","1","17","0","17","0","17","","0","17","0","17","1","16","3","5","2","2","0","1","1","2","28.10.12"
"000003","58","Донецька область","
судно ""Ю. Двужильний""","0","1","4","0","4","0","4","","0","4","0","4","0","4","0","4","0","0","0","0","0","0","28.10.12"
"000004","58","Донецька область","
судно ""Механік Юзвович""","0","1","19","0","19","0","19","","0","19","0","19","1","18","3","13","0","1","0","1","0","0","28.10.12"
"142227","58","Донецька область","школа №17, актова зала
вул.Грецька, 219, м.Маріуполь, Донецька обл., 87507","1144","562","1130","22","560","22","582","","0","560","22","582","27","555","36","328","9","106","6","12","49","9","29.10.12"
"142228","58","Донецька область","школа №17, актова зала
вул.Грецька, 219, м.Маріуполь, Донецька обл., 87507","1136","641","1139","18","477","18","495","","0","477","18","495","19","476","34","300","9","74","7","12","28","12","29.10.12"
"142229","58","Донецька область","школа №36, хол, праве крило, 1-й поверх
вул.Артема, 140, м.Маріуполь, Донецька обл., 87549","1640","790","1611","16","836","14","850","","0","836","14","850","49","801","75","376","17","172","17","24","89","31","29.10.12"
"142230","58","Донецька область","школа №36, хол, ліве крило, 1-й поверх
вул.Артема, 140, м.Маріуполь, Донецька обл., 87549","1656","740","1626","10","906","10","916","","0","906","10","916","35","881","63","426","12","208","31","25","91","25","29.10.12"
"142231","58","Донецька область","школа №36, хол, 2-й поверх
вул.Артема, 140, м.Маріуполь, Донецька обл., 87549","1280","744","1269","9","528","8","536","","0","528","8","536","22","514","44","271","12","98","11","21","42","15","29.10.12"
"142232","58","Донецька область","школа №16, хол
прсп.Металургів, 121А, м.Маріуполь, Донецька обл., 87549","2192","936","2148","21","1241","15","1256","","0","1241","15","1256","60","1196","135","575","16","236","29","40","136","29","29.10.12"
"142233","58","Донецька область","школа №11, хол, 2-й поверх
вул.Артема, 95, м.Маріуполь, Донецька обл., 87549","2088","1058","2076","19","1014","16","1030","","0","1014","16","1030","53","977","92","500","16","192","20","38","96","23","29.10.12"
"142234","58","Донецька область","школа №11, хол, 1-й поверх
вул.Артема, 95, м.Маріуполь, Донецька обл., 87549","1392","602","1375","18","774","16","790","","0","774","16","790","26","764","86","364","14","161","19","15","86","19","29.10.12"
"142235","58","Донецька область","КЗ ""Будинок вчителя управління освіти Маріупольської міської ради "", хол
вул.Євпаторійська, 56, м.Маріуполь, Донецька обл., 87515","2311","1176","2277","11","1124","11","1135","","0","1124","11","1135","62","1073","141","511","19","207","29","17","128","21","29.10.12"
"142236","58","Донецька область","ТОВ ""Завод Пожзахист"", актова зала
вул.Торгова, 9, м.Маріуполь, Донецька обл., 87515","2424","1361","2400","41","1025","38","1063","","0","1024","38","1062","45","1017","87","511","13","224","22","21","114","25","29.10.12"
"142237","58","Донецька область","міський центр художньо-естетичної творчості учнівської молоді, хол
просп.Металургів, 19, м.Маріуполь, Донецька обл., 87500","1208","508","1197","16","685","15","700","","0","685","15","700","38","662","69","314","6","135","18","14","97","9","29.10.12"
"142238","58","Донецька область","технічний ліцей-школа, хол
вул.Пушкіна, 51, м.Маріуполь, Донецька обл., 87515","1208","554","1186","20","636","18","654","","0","636","18","654","31","623","66","269","12","141","14","14","89","18","29.10.12"
"142239","58","Донецька область","КЗ ""Міський ліцей"", хол
просп.Леніна, 79, м.Маріуполь, Донецька обл., 87500","2376","1019","2345","28","1331","26","1357","","0","1331","26","1357","60","1297","139","633","14","246","42","30","163","30","29.10.12"
"142240","58","Донецька область","професійний ліцей ДВНЗ ""ПДТУ"", хол
просп.Металургів, 54, м.Маріуполь, Донецька обл., 87500","1688","870","1674","26","793","25","818","","0","793","25","818","29","789","84","350","16","166","29","20","101","23","29.10.12"
