"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Герасимчук
Анатолій
Андрійович","Коваленко
Василь
Васильович","Міщенко
Ігор
Іванович","Раковський
Олександр
Степанович","Риженков
Олександр
Миколайович","Філіндаш
Сергій
Миколайович","Ясько
Геннадій
Геннадійович","Дата підписання протоколу"
"140137","60","Донецька область","школа №4, спортзал
вул.40 років Жовтня, 274, м.Волноваха, Волноваський р-н, Донецька обл., 85700","1560","722","1548","95","749","89","838","","0","749","89","838","44","794","15","95","34","9","453","158","30","29.10.12"
"140138","60","Донецька область","школа №6, їдальня
вул.Ватутіна, 13, м.Волноваха, Волноваський р-н, Донецька обл., 85700","1616","678","1596","56","893","45","938","","0","893","45","938","37","901","15","94","30","11","526","182","43","29.10.12"
"140139","60","Донецька область","творчий центр молоді, рекреація
вул.Шевченка, 76, м.Волноваха, Волноваський р-н, Донецька обл., 85700","1192","473","1191","48","671","48","719","","0","671","48","719","41","678","14","36","39","9","408","150","22","28.10.12"
"140140","60","Донецька область","школа №3, рекреація
пров.Урицького, 8, м.Волноваха, Волноваський р-н, Донецька обл., 85700","1312","576","1299","103","658","78","736","","0","657","78","735","30","705","7","42","54","11","390","173","28","29.10.12"
"140141","60","Донецька область","вагонне депо, їдальня
вул.Шевченка, 2, м.Волноваха, Волноваський р-н, Донецька обл., 85700","1600","643","1599","94","877","80","957","","0","877","80","957","31","926","6","96","54","15","512","192","51","29.10.12"
"140142","60","Донецька область","школа №2, рекреація
пров.Путійський, 18, м.Волноваха, Волноваський р-н, Донецька обл., 85700","2176","931","2142","143","1124","121","1245","","0","1124","121","1245","57","1188","7","129","50","25","664","269","44","29.10.12"
"140143","60","Донецька область","районний центр культури й дозвілля, фойє
вул.Леніна, 94, м.Волноваха, Волноваський р-н, Донецька обл., 85700","2352","957","2314","151","1272","123","1395","","0","1272","123","1395","57","1338","19","137","61","10","729","293","89","29.10.12"
"140144","60","Донецька область","будівельно-монтажне управління, актова зала
пров.Путійський, 44, м.Волноваха, Волноваський р-н, Донецька обл., 85700","1376","551","1366","86","742","83","825","","0","742","83","825","27","798","10","55","34","18","492","150","39","28.10.12"
"140145","60","Донецька область","школа №1, спортзал
вул.1 Травня, 95, м.Волноваха, Волноваський р-н, Донецька обл., 85700","1280","562","1272","86","635","83","718","","0","635","83","718","39","679","14","62","35","9","381","143","35","29.10.12"
"140146","60","Донецька область","дистанція електропостачання, актова зала
пров.Енергетичний, 1, м.Волноваха, Волноваський р-н, Донецька обл., 85700","1792","709","1773","109","982","101","1083","","0","982","101","1083","51","1032","10","93","35","21","621","215","37","29.10.12"
