"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Акашев
Валентин
Анатолійович","Вітушко
Олег
Вікторович","Гудов
Іван
Ілліч","Корж
Євген
Юрійович","Кравченко
Микола
Васильович","Пономаренко
Ілля
Миколайович","Пономарьов
Андрій
Вікторович","Сурін
Андрій
Миколайович","Дата підписання протоколу"
"140001","61","Донецька область","будинок культури, фойє
вул.Урицького, 3, м.Амвросіївка, Амвросіївський р-н, Донецька обл., 87300","1288","576","1258","74","647","65","712","","0","647","65","712","33","679","7","12","15","17","208","37","307","76","29.10.12"
"140002","61","Донецька область","спортивна школа, фойє
вул.Фрунзе, 19, м.Амвросіївка, Амвросіївський р-н, Донецька обл., 87300","1120","502","1093","61","570","48","618","","0","570","48","618","30","588","9","13","10","24","180","45","262","45","01.11.12"
"140003","61","Донецька область","школа №4, фойє
вул.2 П’ятирічка, 17, м.Амвросіївка, Амвросіївський р-н, Донецька обл., 87300","1192","476","1176","105","619","97","716","","0","619","97","716","26","690","8","16","19","21","186","48","325","67","29.10.12"
"140004","61","Донецька область","професійний ліцей, фойє
вул.Кутузова, 37, м.Амвросіївка, Амвросіївський р-н, Донецька обл., 87300","1944","817","1891","101","1040","87","1127","","0","1040","87","1127","46","1081","13","33","14","54","310","67","486","104","29.10.12"
"140005","61","Донецька область","школа мистецтв, мала актова зала
вул.Леніна, 7, м.Амвросіївка, Амвросіївський р-н, Донецька обл., 87300","776","400","747","34","349","27","376","","0","349","27","376","20","356","3","6","11","8","103","21","170","34","28.10.12"
"140006","61","Донецька область","технікум, спортивна зала
вул.Леніна, 15, м.Амвросіївка, Амвросіївський р-н, Донецька обл., 87300","944","397","940","54","501","46","547","","0","501","46","547","22","525","6","12","15","22","108","49","268","45","29.10.12"
"140007","61","Донецька область","центр культури і дозвілля, фойє
пл.ім.Леніна, центр культури і дозвілля ""Вікторія"", м.Амвросіївка, Амвросіївський р-н, Донецька обл., 87300","1096","433","1053","64","602","61","663","","0","602","61","663","26","637","11","19","19","27","146","54","308","53","29.10.12"
"140008","61","Донецька область","школа №2, фойє
пл.ім.Леніна, 1, м.Амвросіївка, Амвросіївський р-н, Донецька обл., 87300","984","442","956","47","501","41","542","","0","501","41","542","21","521","4","13","13","24","147","26","233","61","28.10.12"
"140009","61","Донецька область","райбібліотека, читальна зала
вул.Свободи, 2А, м.Амвросіївка, Амвросіївський р-н, Донецька обл., 87300","1856","769","1827","41","1049","38","1087","","0","1049","38","1087","46","1041","15","29","32","49","238","69","513","96","28.10.12"
"140010","61","Донецька область","школа №6, спортивна зала
вул.Молодіжна, 3А, м.Амвросіївка, Амвросіївський р-н, Донецька обл., 87300","1912","766","1883","72","1087","59","1146","","0","1087","59","1146","57","1089","7","38","35","33","256","83","550","87","29.10.12"
"140011","61","Донецька область","УЖКГ, актова зала
вул.8 з’їзд рад, 100А, м.Амвросіївка, Амвросіївський р-н, Донецька обл., 87300","1576","606","1553","46","934","36","970","","0","934","36","970","45","925","11","26","18","40","164","76","510","80","29.10.12"
"140012","61","Донецька область","школа №5, спортивна зала
вул.Ульяновська, 40, м.Амвросіївка, Амвросіївський р-н, Донецька обл., 87300","1136","578","1087","54","510","48","558","","0","510","48","558","27","531","7","13","6","13","129","37","278","48","29.10.12"
"140013","61","Донецька область","школа, фойє
вул.Шкільна, школа, смт Войковський, Амвросіївський р-н, Донецька обл., 87350","952","348","942","62","549","55","604","","0","549","55","604","29","575","7","12","14","12","197","37","280","16","29.10.12"
"140014","61","Донецька область","будинок культури, фойє
вул.Шкільна, 55, смт Кутейникове, Амвросіївський р-н, Донецька обл., 87321","1424","484","1396","77","863","77","940","","0","863","77","940","35","905","8","18","31","32","240","58","419","99","29.10.12"
"140015","61","Донецька область","будинок культури, фойє
вул.Миру, 5А, смт Новоамвросіївське, Амвросіївський р-н, Донецька обл., 87333","1728","475","1715","115","1138","115","1253","","0","1138","115","1253","50","1203","10","27","49","33","334","69","555","126","29.10.12"
"140016","61","Донецька область","сільська рада, сесійна зала
вул.Шевченка, 60А, с.Артемівка, Амвросіївський р-н, Донецька обл., 87340","456","146","456","27","285","25","310","","0","285","25","310","15","295","5","7","1","21","93","25","117","26","28.10.12"
"140017","61","Донецька область","школа, фойє
вул.Шкільна, 2, с.Карпово-Надеждинка, Амвросіївський р-н, Донецька обл., 87341","472","126","469","36","310","36","346","","0","310","36","346","12","334","4","1","8","7","39","22","199","54","28.10.12"
"140018","61","Донецька область","будинок культури, обрядова зала
вул.Мічуріна, будинок культури, с.Білоярівка, Амвросіївський р-н, Донецька обл., 87343","1040","318","1023","86","639","83","722","","0","639","83","722","44","678","11","8","24","19","125","58","344","89","29.10.12"
"140019","61","Донецька область","дитячий садок, ігрова кімната
вул.Цвєточна, дитячий садок, с-ще Нижньокринське, Амвросіївський р-н, Донецька обл., 87344","424","155","421","40","229","40","269","","0","229","40","269","10","259","2","9","3","3","31","18","155","38","28.10.12"
"140020","61","Донецька область","будинок культури, фойє
вул.Леніна, 24, с.Благодатне, Амвросіївський р-н, Донецька обл., 87330","1544","610","1520","132","810","124","934","","0","810","124","934","45","889","12","20","44","20","199","56","417","121","28.10.12"
"140021","61","Донецька область","школа, актова зала
вул.Мира, 41, с.Благодатне, Амвросіївський р-н, Донецька обл., 87330","1168","542","1166","97","531","95","626","","0","531","95","626","23","603","6","8","28","5","138","38","314","66","28.10.12"
"140022","61","Донецька область","сільський клуб, фойє
вул.Октябрська, 27, с-ще Родники, Амвросіївський р-н, Донецька обл., 87332","456","84","456","27","347","25","372","","0","347","25","372","20","352","2","7","10","9","51","22","207","44","28.10.12"
"140023","61","Донецька область","школа, фойє
вул.Миру, 49, с.Велике Мішкове, Амвросіївський р-н, Донецька обл., 87331","536","143","531","40","353","40","393","","0","353","40","393","6","387","2","4","8","10","74","20","224","45","28.10.12"
"140024","61","Донецька область","школа, фойє
вул.Шкільна, 35, с.Василівка, Амвросіївський р-н, Донецька обл., 87360","760","209","747","79","477","74","551","","0","477","74","551","0","551","0","23","11","12","189","46","232","38","28.10.12"
"140025","61","Донецька область","школа, фойє
вул.Шкільна, школа, с.Мокроєланчик, Амвросіївський р-н, Донецька обл., 87361","368","99","365","28","243","26","269","","0","243","26","269","7","262","4","3","7","3","33","34","171","7","28.10.12"
"140026","61","Донецька область","сільський клуб, фойє
вул.Леніна, сільський клуб, с.Єлизавето-Миколаївка, Амвросіївський р-н, Донецька обл., 87335","544","142","523","48","360","42","402","","0","360","42","402","16","386","2","4","5","7","54","27","246","41","28.10.12"
"140027","61","Донецька область","сільська рада, сесійна зала
вул.Леніна, 77А, с.Зелене, Амвросіївський р-н, Донецька обл., 87310","712","252","712","58","402","58","460","","0","402","58","460","18","442","7","10","20","3","91","33","263","15","29.10.12"
"140028","61","Донецька область","сільський клуб, фойє
вул.Леніна, 5, с-ще Кленівка, Амвросіївський р-н, Донецька обл., 87324","704","213","690","43","451","40","491","","0","451","40","491","20","471","4","16","26","11","43","40","312","19","29.10.12"
"140029","61","Донецька область","сільська рада, зала засідань
вул.Московська, 82, с-ще Лисиче, Амвросіївський р-н, Донецька обл., 87370","1160","402","1148","63","696","62","758","","0","696","62","758","35","723","7","24","27","13","227","43","342","40","29.10.12"
"140030","61","Донецька область","школа, фойє
вул.Леніна, 9, с-ще Металіст, Амвросіївський р-н, Донецька обл., 87323","1328","444","1313","70","814","70","884","","0","814","70","884","34","850","4","8","20","35","160","87","429","107","28.10.12"
"140031","61","Донецька область","громадський центр, зала засідань
вул.Шкільна, 4А, с.Многопілля, Амвросіївський р-н, Донецька обл., 87311","720","298","711","37","395","27","422","","0","395","27","422","19","403","6","11","23","6","87","50","214","6","29.10.12"
"140032","61","Донецька область","школа, фойє
вул.Центральна, 65, с-ще Грабське, Амвросіївський р-н, Донецька обл., 87312","376","148","367","8","220","8","228","","0","220","8","228","10","218","6","3","4","3","41","19","135","7","28.10.12"
"140033","61","Донецька область","школа, фойє
вул.Совєтська, школа, с.Новоіванівка, Амвросіївський р-н, Донецька обл., 87352","440","82","432","16","342","16","358","","0","342","16","358","17","341","3","5","8","5","55","36","216","13","28.10.12"
"140034","61","Донецька область","їдальня, загальна зала
вул.Терешкової, 2, с.Ленінське, Амвросіївський р-н, Донецька обл., 87353","416","126","396","29","261","29","290","","0","261","29","290","14","276","1","1","3","7","57","21","175","11","29.10.12"
"140035","61","Донецька область","школа, фойє
вул.Леніна, школа, с-ще Улянівське, Амвросіївський р-н, Донецька обл., 87354","568","122","563","32","414","32","446","","0","414","32","446","13","433","10","4","10","15","115","22","242","15","28.10.12"
"140036","61","Донецька область","школа, фойє
вул.Мира, школа, с.Олексіївське, Амвросіївський р-н, Донецька обл., 87342","544","160","533","48","336","48","384","","0","336","48","384","13","371","2","4","11","13","58","34","190","59","28.10.12"
"140037","61","Донецька область","сільський клуб, фойє
вул.Первомайська, сільський клуб, с.Степано-Кринка, Амвросіївський р-н, Донецька обл., 87320","640","187","639","68","394","59","453","","0","394","59","453","20","433","5","8","8","5","106","28","251","22","29.10.12"
"140038","61","Донецька область","сільський клуб, фойє
вул.Ульянівська, сільський клуб, с.Покровка, Амвросіївський р-н, Донецька обл., 87320","296","59","296","19","219","18","237","","0","219","18","237","10","227","2","11","6","4","35","21","115","33","28.10.12"
"140039","61","Донецька область","школа, спортивна зала
вул.Школьна, 61, с.Успенка, Амвросіївський р-н, Донецька обл., 87371","1304","559","1292","83","673","72","745","","0","673","72","745","29","716","10","12","18","33","193","34","380","36","29.10.12"
"140040","61","Донецька область","Амвросіївська центральна районна лікарня, актова зала
вул.Мічуріна, 7, м.Амвросіївка, Амвросіївський р-н, Донецька область, 87300","256","123","134","19","114","19","133","","0","114","19","133","2","131","1","2","2","5","29","7","76","9","28.10.12"
"140463","61","Донецька область","районний центр культури та дозвілля, танцювальна зала, 1-й поверх
вул.Советська, 45, смт Старобешеве, Старобешівський р-н, Донецька обл., 87200","1816","768","1801","116","950","98","1048","","0","950","98","1048","63","985","11","16","21","33","246","87","522","49","29.10.12"
"140464","61","Донецька область","школа мистецтв, актова зала, 2-й поверх
вул.Советська, 41, смт Старобешеве, Старобешівський р-н, Донецька обл., 87200","1664","705","1630","105","864","95","959","","0","864","95","959","35","924","14","11","34","50","180","80","495","60","29.10.12"
"140465","61","Донецька область","школа, їдальня, 1-й поверх
просп.Ангеліної, 34, смт Старобешеве, Старобешівський р-н, Донецька обл., 87200","1968","865","1937","81","1027","76","1103","","0","1027","76","1103","44","1059","17","17","33","43","294","84","529","42","29.10.12"
"140466","61","Донецька область","клуб, актова зала
вул.Енгельса, 1А, м.Комсомольське, Старобешівський р-н, Донецька обл., 87250","520","187","522","44","290","43","333","","0","290","43","333","19","314","6","11","25","5","94","21","125","27","29.10.12"
