"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Афонін
Віктор
Тимофійович","Горкуша
Михайло
Андрійович","Заславський
Михайло
Віталійович","Зубко
Геннадій
Григорович","Камінський
Іван
Анатолійович","Коцюбко
Олександр
Петрович","Мирний
Володимир
Вікторович","Рижук
Сергій
Миколайович","Савенко
Микола
Миколайович","Туманов
Володимир
Михайлович","Умінський
Олег
Феліксович","Дата підписання протоколу"
"000001","62","Житомирська область","
вул.Ватутіна, 172, м.Житомир, 10001","756","41","735","12","704","11","715","","0","704","11","715","48","666","6","10","14","62","13","17","12","506","3","8","15","29.10.12"
"181338","62","Житомирська область","дошкільний навчальний заклад №10, музична зала
вул.Котовського, 89/97, м.Житомир, 10029","2418","1162","2385","9","1249","7","1256","","0","1249","7","1256","60","1196","13","12","24","811","20","15","7","242","15","7","30","29.10.12"
"181339","62","Житомирська область","школа №8, вестибюль
майдан Згоди, 5, м.Житомир, 10001","2412","1089","2402","35","1291","32","1323","","0","1291","32","1323","62","1261","17","9","24","718","10","41","13","369","19","2","39","29.10.12"
"181340","62","Житомирська область","школа №35, спортивна зала
вул.Мануїльського, 95А, м.Житомир, 10030","1440","562","1432","4","874","4","878","","0","874","4","878","14","864","11","9","10","552","8","16","5","183","31","1","38","29.10.12"
"181341","62","Житомирська область","механізована колона ВАТ ""Київсільелектро"", їдальня
вул.Ватутіна, 106Б, м.Житомир, 10029","2418","1188","2396","7","1223","7","1230","","0","1223","7","1230","62","1168","18","19","24","758","7","11","5","234","44","7","41","29.10.12"
"181342","62","Житомирська область","будинок культури обласної організації УТОГ, вестибюль
вул.Шелушкова, 77, м.Житомир, 10030","2208","890","2184","10","1309","9","1318","","0","1309","9","1318","63","1255","19","11","30","827","12","23","6","256","32","2","37","29.10.12"
"181343","62","Житомирська область","школа №17, актова зала
вул.Київська, 49, м.Житомир, 10030","1992","845","1993","23","1126","21","1147","","0","1126","21","1147","69","1078","15","5","24","618","10","26","9","314","15","3","39","29.10.12"
"181344","62","Житомирська область","міська дитячо-юнацька спортивна школа №2, вестибюль
вул.Хлібна, 24, м.Житомир, 10030","1230","545","1243","3","682","3","685","","0","682","3","685","33","652","6","10","14","380","3","10","4","177","19","2","27","29.10.12"
"181345","62","Житомирська область","дошкільний навчальний заклад №69, логопедична група
вул.Хлібна, 47, м.Житомир, 10029","1620","673","1610","4","945","2","947","","0","945","2","947","36","911","9","10","17","605","9","12","7","195","17","5","25","30.10.12"
"181346","62","Житомирська область","школа №19, вестибюль
вул.Лесі Українки, 71, м.Житомир, 10029","2010","870","1999","7","1133","7","1140","","0","1133","7","1140","60","1080","20","10","20","665","10","15","5","276","19","1","39","29.10.12"
"181347","62","Житомирська область","Житомирське професійне училище-інтернат, читальна зала
вул.Московська, 43, м.Житомир, 10029","2070","885","2030","4","1181","4","1185","","0","1181","4","1185","44","1141","23","8","16","750","8","26","5","246","22","2","35","30.10.12"
"181348","62","Житомирська область","Житомирський технологічний коледж, ауд.109
вул.Московська, 37, м.Житомир, 10029","2214","1000","2245","6","1210","4","1214","","0","1210","4","1214","74","1140","14","16","17","665","13","20","8","336","16","1","34","30.10.12"
"181349","62","Житомирська область","гуртожиток будівельного коледжу Державного агроекологічного університету, вестибюль
вул.Котовського, 13, м.Житомир, 10029","1518","557","1520","7","954","7","961","","0","954","7","961","39","921","10","11","15","566","6","17","7","228","28","2","31","29.10.12"
"181350","62","Житомирська область","Житомирський професійний ліцей харчових технологій, актова зала
вул.Львівська, 10, м.Житомир, 10030","1440","555","1451","16","876","9","885","","0","876","9","885","24","861","14","8","24","500","7","18","8","237","10","3","32","29.10.12"
