"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Байдик
Ігор
Миколайович","Бицай
Микола
Миколайович","Бучнєва
Людмила
Володимирівна","Васильченко
Анатолій
Олександрович","Демчук
Костянтин
Лукич","Єлізарова
Тетяна
Олександрівна","Жебрівський
Павло
Іванович","Каленський
Анатолій
Зигмунтович","Каплієнко
Володимир
Володимирович","Кисленко
Василь
Васильович","Ковальов
Юрій
Вікторович","Лабунська
Анжеліка
Вікторівна","Опацький
Олександр
Станіславович","Петренко
Микола
Миколайович","Піскун
Святослав
Михайлович","Побережний
Олексій
Сергійович","Проскуров
Володимир
Володимирович","Ревега
Олександр
Васильович","Семенюк-Самсоненко
Валентина
Петрівна","Унгурян
Павло
Якимович","Файдун
Микола
Іванович","Цехоцький
Сергій
Всеволодович","Шевченко
Олексій
Вікторович"
"180001","63","Житомирська область","школа №1, актова зала
вул.Садова, 1, м.Андрушівка, Андрушівський р-н, Житомирська обл., 13401","1180","445","1165","33","709","26","735","","0","709","26","735","18","717","2","2","2","3","24","1","92","7","25","0","0","206","4","79","52","22","1","109","22","30","30","2",""
"180002","63","Житомирська область","лісництво, зала засідань
вул.Тітова, 32, м.Андрушівка, Андрушівський р-н, Житомирська обл., 13402","960","348","955","25","588","24","612","","0","588","24","612","22","590","0","0","6","1","9","0","125","4","43","1","0","86","2","57","43","28","0","91","30","22","40","0",""
"180003","63","Житомирська область","ветлікарня, зала засідань
вул.Щорса, 10, м.Андрушівка, Андрушівський р-н, Житомирська обл., 13401","676","251","673","28","398","27","425","","0","398","27","425","7","418","1","1","2","1","9","1","34","2","26","0","0","125","0","49","50","17","0","48","10","14","28","0",""
"180004","63","Житомирська область","гімназія, каб.4
вул.Шкільна, 5, м.Андрушівка, Андрушівський р-н, Житомирська обл., 13401","1152","449","1138","21","682","21","703","","0","682","21","703","13","690","1","3","0","0","14","2","146","4","44","0","0","137","0","64","43","35","0","106","26","24","39","1",""
"180005","63","Житомирська область","клуб спиртзаводу, фойє
вул.Чапаєва, 2, м.Андрушівка, Андрушівський р-н, Житомирська обл., 13401","1008","355","1005","34","621","32","653","","0","621","32","653","15","638","1","1","1","2","16","4","104","2","22","0","1","233","0","26","53","22","1","88","17","23","18","1",""
"180006","63","Житомирська область","Міжрайонне управління водного господарства, актова зала
вул.Лисенко, 29А, м.Андрушівка, Андрушівський р-н, Житомирська обл., 13401","696","246","688","10","440","10","450","","0","440","10","450","18","432","1","1","0","0","9","1","51","2","11","0","1","94","0","91","44","12","2","39","37","12","20","1",""
"180007","63","Житомирська область","Гардишівська школа, актова зала
вул.Белінського, 3, м.Андрушівка, Андрушівський р-н, Житомирська обл., 13401","680","244","680","46","392","44","436","","0","392","44","436","8","428","0","1","5","0","4","0","41","2","5","1","2","175","2","32","40","10","0","63","6","11","26","0",""
"180008","63","Житомирська область","КП ""Комсервіс"", зала засідань
вул.Кірова, 67, м.Андрушівка, Андрушівський р-н, Житомирська обл., 13401","848","337","832","30","485","26","511","","0","485","26","511","14","497","1","1","3","0","10","2","63","4","40","0","0","97","2","55","51","18","0","79","18","24","27","0",""
"180009","63","Житомирська область","дитсадок ""Калинка"", актова зала
вул.Котовського, 3, смт Червоне, Андрушівський р-н, Житомирська обл., 13434","1164","499","1145","70","606","59","665","","0","606","59","665","18","647","2","4","10","2","21","1","82","3","27","1","1","148","1","110","37","29","1","111","19","14","22","0",""
"180010","63","Житомирська область","селищна рада, обрядова зала
вул.Леніна, 28, смт Червоне, Андрушівський р-н, Житомирська обл., 13434","1040","451","1028","68","526","63","589","","0","526","63","589","18","571","3","1","4","0","25","3","75","3","24","1","1","139","2","89","34","24","1","73","28","16","19","0",""
