"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Івчук
Станіслав
Станіславович","Іскра
Микола
Миколайович","Карпович
Віктор
Васильович","Кужко
Михайло
Михайлович","Невмержицький
Анатолій
Васильович","Озерчук
Андрій
Миколайович","Пехов
Володимир
Анатолійович","Тимошенко
Микола
Михайлович","Чорний
Валерій
Іванович","Дата підписання протоколу"
"180363","64","Житомирська область","сільрада, фойє
вул.Козака, 1, с.Берестовець, Коростенський р-н, Житомирська обл., 11532","152","40","112","11","101","11","112","","0","101","11","112","3","109","0","0","1","0","1","8","65","33","1","30.10.12"
"180364","64","Житомирська область","сільрада, актова зала
вул.Жовтнева, 22Е, с.Бехи, Коростенський р-н, Житомирська обл., 11521","408","157","398","32","219","32","251","","0","219","32","251","9","242","2","3","1","1","5","70","96","64","0","29.10.12"
"180365","64","Житомирська область","клуб, актова зала
вул.Суворова, 1А, с.Вороневе, Коростенський р-н, Житомирська обл., 11521","136","42","126","9","85","9","94","","0","85","9","94","1","93","0","1","1","0","0","27","51","13","0","29.10.12"
"180366","64","Житомирська область","адмінприміщення Бехівського кар’єру, актова зала
вул.Вокзальна, 5, с-ще Сокорики, Коростенський р-н, Житомирська обл., 11521","184","68","182","10","107","9","116","","0","107","9","116","4","112","1","2","3","0","2","17","57","30","0","29.10.12"
"180367","64","Житомирська область","будинок культури, актова зала
вул.Просолова, 1, с.Білка, Коростенський р-н, Житомирська обл., 11564","400","126","391","20","257","17","274","","0","257","17","274","10","264","3","5","3","0","1","61","82","108","1","29.10.12"
"180368","64","Житомирська область","будинок культури, к.2
вул.Леніна, 35Б, с.Бондарівка, Коростенський р-н, Житомирська обл., 11562","288","99","292","33","157","32","189","","0","157","32","189","5","184","0","27","1","3","4","50","49","48","2","28.10.12"
"180369","64","Житомирська область","школа, фойє
вул.Гришка, 27, с.Гулянка, Коростенський р-н, Житомирська обл., 11562","576","226","560","30","320","30","350","","0","320","30","350","8","342","5","26","4","2","4","105","109","86","1","29.10.12"
"180370","64","Житомирська область","приміщення дошкільного навчального закладу ""Пролісок"", актова зала
вул.Молодіжна, 10, с.Гулянка, Коростенський р-н, Житомирська обл., 11562","616","255","597","3","358","3","361","","0","358","3","361","8","353","5","52","1","6","3","139","81","65","1","28.10.12"
"180371","64","Житомирська область","клуб, актова зала
вул.Маяковського, 38А, с.Охотівка, Коростенський р-н, Житомирська обл., 11562","200","47","195","37","117","36","153","","0","117","36","153","2","151","3","9","1","1","0","28","53","56","0","29.10.12"
"180372","64","Житомирська область","клуб, актова зала
вул.Гагаріна, 63, с.Ушиця, Коростенський р-н, Житомирська обл., 11562","136","51","132","20","68","17","85","","0","68","17","85","4","81","3","9","3","0","0","8","44","14","0","29.10.12"
"180373","64","Житомирська область","будинок культури, актова зала
вул.Першотравнева, 36, с.Васьковичі, Коростенський р-н, Житомирська обл., 11522","784","335","759","39","413","36","449","","0","413","36","449","11","438","7","22","5","2","19","133","94","155","1","29.10.12"
"180374","64","Житомирська область","будинок культури, к.1
вул.Щорса, 12В, с.Веселівка, Коростенський р-н, Житомирська обл., 11572","432","163","420","20","251","18","269","","0","251","18","269","5","264","3","3","6","2","2","50","77","118","3","29.10.12"
"180375","64","Житомирська область","школа, фойє
вул.Рози Люксембург, 20Б, с.Розівка, Коростенський р-н, Житомирська обл., 11572","176","62","173","3","111","3","114","","0","111","3","114","3","111","0","3","1","0","1","26","58","22","0","29.10.12"
