"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Баранівський
Олександр
Петрович","Білозір
Оксана
Володимирівна","Венчагов
Валентин
Володимирович","Гречаний
Сергій
Анатолійович","Добряк
Євген
Дмитрович","Журавський
Віталій
Станіславович","Іванова
Світлана
Олексіївна","Михайлюта
Олександр
Олександрович","Мішин
Віталій
Миколайович","Рудченко
Микола
Миколайович","Рябенко
Петро
Константинович","Тильчик
Галина
Климівна","Дата підписання протоколу"
"180155","66","Житомирська область","гімназія, спортивна зала
вул.Полякова, 1А, смт Брусилів, Брусилівський р-н, Житомирська обл., 12601","714","313","707","6","395","6","401","","0","395","6","401","6","395","4","25","13","18","56","169","5","6","0","44","55","0","29.10.12"
"180156","66","Житомирська область","управління агропромрозвитку, зала засідань
вул.Калініна, 14, смт Брусилів, Брусилівський р-н, Житомирська обл., 12601","1098","481","1080","4","616","1","617","","0","616","1","617","14","603","3","52","27","27","67","217","5","3","3","71","126","2","28.10.12"
"180157","66","Житомирська область","будинок культури, фойє
вул.1-го Травня, 17, смт Брусилів, Брусилівський р-н, Житомирська обл., 12601","1128","570","1116","12","546","12","558","","0","546","12","558","15","543","5","85","13","31","75","192","7","9","1","80","45","0","29.10.12"
"180158","66","Житомирська область","центр дитячої та юнацької творчості ""Мрія"", актова зала
вул.Лермонтова, 5, смт Брусилів, Брусилівський р-н, Житомирська обл., 12601","1140","532","1140","22","593","15","608","","0","593","15","608","16","592","5","55","25","26","75","190","11","13","1","105","83","3","28.10.12"
"180159","66","Житомирська область","школа, актова зала
вул.Леніна, 22, с.Водотиї, Брусилівський р-н, Житомирська обл., 12624","324","104","330","15","208","12","220","","0","208","12","220","6","214","21","28","5","7","26","75","4","2","0","31","12","3","29.10.12"
"180160","66","Житомирська область","фельдшерський пункт, зала
вул.Леніна, 62, с.Болячів, Брусилівський р-н, Житомирська обл., 12624","90","29","92","9","54","7","61","","0","54","7","61","4","57","2","0","0","3","12","21","2","0","1","16","0","0","28.10.12"
"180161","66","Житомирська область","школа, зала
вул.Калинівка, 30, с.Дивин, Брусилівський р-н, Житомирська обл., 12641","204","67","206","11","126","11","137","","0","126","11","137","9","128","7","10","2","5","12","33","8","8","1","38","2","2","28.10.12"
"180162","66","Житомирська область","сільська рада, актова зала
вул.Шевченка, 1, с.Карабачин, Брусилівський р-н, Житомирська обл., 12622","180","47","183","21","112","21","133","","0","112","21","133","8","125","4","32","3","4","6","50","2","3","0","17","2","2","28.10.12"
"180163","66","Житомирська область","клуб, зала
вул.Колгоспна, 6, с.Лазарівка, Брусилівський р-н, Житомирська обл., 12615","474","171","468","10","293","10","303","","0","293","10","303","4","299","10","32","7","15","29","56","22","2","2","79","45","0","28.10.12"
"180164","66","Житомирська область","сільська рада, актова зала
вул.Шляхова, 3, с.Містечко, Брусилівський р-н, Житомирська обл., 12613","198","74","193","21","105","19","124","","0","105","19","124","4","120","3","12","2","6","33","21","5","2","2","29","4","1","28.10.12"
