"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Боровська
Наталя
Дмитрівна","Грабар
Іван
Григорович","Довбиш
Юрій
Григорович","Кізін
Сидор
Васильович","Козел
Василь
Васильович","Кропивницький
Володимир
Миколайович","Развадовський
Віктор
Йосипович","Самчик
Максим
Юрійович","Солоп
Михайло
Павлович","Дата підписання протоколу"
"000001","67","Житомирська область","клуб
с. Дениші, Житомирський р-н, Житомирська обл., 12422","488","434","306","0","54","0","54","","0","54","0","54","2","52","3","0","2","9","0","15","20","1","2","28.10.12"
"180292","67","Житомирська область","клуб, зала
вул.Ватутіна, 31, с.Березівка, Житомирський р-н, Житомирська обл., 12411","936","380","932","46","514","42","556","","0","514","42","556","7","549","8","6","25","92","1","74","295","11","37","29.10.12"
"180293","67","Житомирська область","клуб, фойє
вул.Центральна, 5, с.Березівка, Житомирський р-н, Житомирська обл., 12499","496","203","490","4","290","3","293","","0","290","3","293","8","285","5","2","6","41","3","54","167","4","3","29.10.12"
"180294","67","Житомирська область","клуб, фойє
вул.Залізнична, 43, с.Дубовець, Житомирський р-н, Житомирська обл., 12411","328","134","317","24","170","24","194","","0","170","24","194","3","191","0","3","4","27","2","36","111","6","2","28.10.12"
"180295","67","Житомирська область","будинок культури, читальна зала
вул.Славгородського, 3, с.Черемошне, Житомирський р-н, Житомирська обл., 12499","352","167","343","30","158","27","185","","0","158","27","185","5","180","2","2","10","22","2","14","125","3","0","28.10.12"
"180296","67","Житомирська область","будинок культури, зала
вул.Л.Українки, 1А, с.Буки, Житомирський р-н, Житомирська обл., 12498","352","116","348","17","220","16","236","","0","220","16","236","7","229","5","11","7","51","3","57","88","1","6","29.10.12"
"180297","67","Житомирська область","фельдшерський пункт, дитяча кімната
вул.Чуднівська, 34А, с.Нова Рудня, Житомирський р-н, Житомирська обл., 12498","312","127","311","31","154","31","185","","0","154","31","185","11","174","4","4","6","26","1","36","82","2","13","29.10.12"
"180298","67","Житомирська область","клуб, зала
вул.Нова, 1, с.Болярка, Житомирський р-н, Житомирська обл., 12414","224","87","222","12","125","12","137","","0","125","12","137","8","129","3","11","6","23","0","36","43","3","4","29.10.12"
"180299","67","Житомирська область","будинок культури, зала
вул.Центральна, 6, с.Василівка, Житомирський р-н, Житомирська обл., 12413","664","297","656","50","318","49","367","","0","318","49","367","1","366","4","23","3","79","4","85","158","2","8","29.10.12"
"180300","67","Житомирська область","будинок народної творчості, фойє
вул.Леніна, 16А, с.Вереси, Житомирський р-н, Житомирська обл., 12401","1376","586","1360","58","734","56","790","","0","734","56","790","12","778","12","9","64","11","163","188","282","31","18","29.10.12"
