"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Биркович
Олександр
Іванович","Брензович
Василь
Іванович","Буланов
Ростислав
Михайлович","Жолтані
Микола
Іванович","Завійський
Богдан
Богданович","Казьмірова
Вікторія
Василівна","Ковач
Василь
Ілліч","Ратушняк
Сергій
Миколайович","Решко
Стефан
Стефанович","Сербайло
Андрій
Андрійович","Стратюк
Олександр
Миколайович","Чучка
Павло
Павлович","Юрченко
Валерій
Володимирович","Дата підписання протоколу"
"000001","68","Закарпатська область","
вул.Довженка, 8А, м. Ужгород, 88000","606","138","482","0","468","0","468","","0","468","0","468","49","419","17","8","32","30","15","13","86","134","4","24","7","38","11","29.10.12"
"210548","68","Закарпатська область","школа, фойє
вул.Берегова, 1, смт Середнє, Ужгородський р-н, Закарпатська обл., 89452","426","113","420","0","313","0","313","","0","313","0","313","3","310","0","0","0","0","0","3","306","1","0","0","0","0","0","29.10.12"
"210549","68","Закарпатська область","будинок культури, актова зала
вул.Закарпатська, 69, смт Середнє, Ужгородський р-н, Закарпатська обл., 89452","1326","396","1306","34","900","30","930","","0","900","30","930","25","905","3","8","43","10","3","6","471","144","6","88","2","119","2","29.10.12"
"210550","68","Закарпатська область","школа, їдальня
вул.Лікарняна, 2, смт Середнє, Ужгородський р-н, Закарпатська обл., 89452","1110","305","1090","13","793","12","805","","0","793","12","805","22","783","2","4","40","16","3","6","458","96","3","67","0","88","0","29.10.12"
"210551","68","Закарпатська область","дитячий садок, приміщення групи
вул.Перемоги, 31, с.Вовкове, Ужгородський р-н, Закарпатська обл., 89452","414","119","420","16","280","15","295","","0","280","15","295","7","288","1","0","10","8","2","1","120","55","5","32","0","54","0","29.10.12"
"210552","68","Закарпатська область","сільська рада, актова зала, 2-й поверх
вул.Центральна, 42, с.Баранинці, Ужгородський р-н, Закарпатська обл., 89425","1566","415","1557","27","1125","26","1151","","0","1125","26","1151","16","1135","7","30","39","11","30","5","348","172","1","96","0","395","1","29.10.12"
"210553","68","Закарпатська область","школа, каб.1
вул.Е.Егана, 26, с.Барвінок, Ужгородський р-н, Закарпатська обл., 89425","444","98","441","2","344","2","346","","0","344","2","346","4","342","3","0","7","4","0","0","172","37","2","24","1","92","0","28.10.12"
"210554","68","Закарпатська область","школа, каб.1
вул.Центральна, 126, с.Довге Поле, Ужгородський р-н, Закарпатська обл., 89425","486","124","488","11","351","11","362","","0","351","11","362","2","360","0","10","7","3","1","2","118","25","2","18","0","174","0","29.10.12"
"210555","68","Закарпатська область","школа, каб.1
вул.Центральна, 46, с.Підгорб, Ужгородський р-н, Закарпатська обл., 89425","378","65","372","8","305","8","313","","0","305","8","313","3","310","1","9","2","2","0","1","197","22","1","38","0","36","1","28.10.12"
"210556","68","Закарпатська область","сільський клуб, актова зала
вул.Центральна, 99, с.Дубрівка, Ужгородський р-н, Закарпатська обл., 89445","660","187","664","25","450","23","473","","0","450","23","473","11","462","4","5","17","4","0","3","187","143","1","31","0","67","0","29.10.12"
