"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Алексій
Володимир
Миколайович","Кеменяш
Олександр
Михайлович","Ланьо
Михайло
Іванович","Дата підписання протоколу"
"210037","70","Закарпатська область","сільський клуб, актова зала
100, с.Смереково, Великоберезнянський р-н, Закарпатська обл., 89044","280","80","275","8","192","8","200","","0","192","8","200","7","193","19","56","118","29.10.12"
"210038","70","Закарпатська область","сільський клуб, актова зала
47, с.Буківцьво, Великоберезнянський р-н, Закарпатська обл., 89043","168","68","162","10","90","10","100","","0","90","10","100","15","85","8","17","60","28.10.12"
"210039","70","Закарпатська область","будинок культури, актова зала
296, с.Чорноголова, Великоберезнянський р-н, Закарпатська обл., 89042","976","392","965","36","549","35","584","","0","549","35","584","36","548","38","178","332","28.10.12"
"210040","70","Закарпатська область","сільський клуб, актова зала
вул.Шевченка, 46, с.Мирча, Великоберезнянський р-н, Закарпатська обл., 89040","504","184","497","14","307","13","320","","0","307","13","320","17","303","34","122","147","28.10.12"
"210041","70","Закарпатська область","сільський клуб, актова зала
15, с.Завосина, Великоберезнянський р-н, Закарпатська обл., 89040","160","30","154","10","120","10","130","","0","120","10","130","15","115","6","23","86","29.10.12"
"210042","70","Закарпатська область","сільська рада, зала урочистих подій
вул.Центральна, 60, с.Малий Березний, Великоберезнянський р-н, Закарпатська обл., 89040","1120","260","1118","27","837","23","860","","0","837","23","860","48","812","21","390","401","28.10.12"
"210043","70","Закарпатська область","ПТУ-33, їдальня, 1-й поверх
вул.Короленка, 10, смт Великий Березний, Великоберезнянський р-н, Закарпатська обл., 89000","1544","498","1539","6","1041","5","1046","","0","1041","5","1046","66","980","29","557","394","29.10.12"
"210044","70","Закарпатська область","селищна рада, зала урочистих подій, 3-й поверх
вул.Шевченка, 12, смт Великий Березний, Великоберезнянський р-н, Закарпатська обл., 89000","1808","944","1793","7","857","7","864","","0","857","7","864","82","782","36","346","400","28.10.12"
"210045","70","Закарпатська область","""Райавтодор"", актова зала, 2-й поверх
вул.Фізкультурна, 11, смт Великий Березний, Великоберезнянський р-н, Закарпатська обл., 89000","1496","548","1492","16","936","12","948","","0","936","12","948","46","902","33","425","444","29.10.12"
"210046","70","Закарпатська область","сільський клуб, актова зала
31, с.Руський Мочар, Великоберезнянський р-н, Закарпатська обл., 89041","120","25","118","6","89","6","95","","0","89","6","95","2","93","3","38","52","28.10.12"
"210047","70","Закарпатська область","сільський клуб, актова зала
54, с.Бегендяцька Пастіль, Великоберезнянський р-н, Закарпатська обл., 89041","152","22","149","11","120","10","130","","0","120","10","130","3","127","10","54","63","28.10.12"
"210048","70","Закарпатська область","сільський клуб, актова зала
52, с.Костева Пастіль, Великоберезнянський р-н, Закарпатська обл., 89041","248","50","243","10","188","10","198","","0","188","10","198","4","194","31","73","90","28.10.12"
"210049","70","Закарпатська область","сільський клуб, актова зала
48, с.Розтоцька Пастіль, Великоберезнянський р-н, Закарпатська обл., 89041","232","37","226","8","189","6","195","","0","189","6","195","9","186","26","52","108","28.10.12"
"210050","70","Закарпатська область","сільська рада, зала урочистих подій
вул.Возз’єднання, 20, с.Забрідь, Великоберезнянський р-н, Закарпатська обл., 89003","584","203","574","14","369","12","381","","0","369","12","381","25","356","17","162","177","28.10.12"
"210051","70","Закарпатська область","сільський клуб, актова зала
вул.Миру, 42А, с.Забрідь, Великоберезнянський р-н, Закарпатська обл., 89003","400","102","391","6","292","6","298","","0","292","6","298","28","270","20","117","133","28.10.12"
"210052","70","Закарпатська область","сільська рада, зала урочистих подій
69, с.Сіль, Великоберезнянський р-н, Закарпатська обл., 89021","504","123","497","33","351","30","381","","0","351","30","381","14","367","11","86","270","29.10.12"
"210053","70","Закарпатська область","сільський клуб, актова зала
84, с.Домашин, Великоберезнянський р-н, Закарпатська обл., 89021","408","104","399","16","288","16","304","","0","288","16","304","15","289","13","51","225","28.10.12"
"210054","70","Закарпатська область","сільська рада, зала урочистих подій
48, с.Стричава, Великоберезнянський р-н, Закарпатська обл., 89020","168","47","166","12","109","12","121","","0","109","12","121","6","115","5","68","42","28.10.12"
