"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Балога
Павло
Іванович","Деркач
Степан
Тіберійович","Джанда
Михайло
Михайлович","Лазоришинець
Василь
Васильович","Марущинець
Василь
Іванович","Тимчик
Євгеній
Миколайович","Шімон
Микола
Іванович","Дата підписання протоколу"
"210168","71","Закарпатська область","школа №1, спортивна зала
вул.Максима Рильського, 1, м.Іршава, Іршавський р-н, Закарпатська обл., 90100","1752","994","1725","11","748","10","758","","0","748","10","758","38","720","319","173","17","173","30","3","5","29.10.12"
"210169","71","Закарпатська область","районний центр культури і дозвілля, виставкова зала
пл.Народна, 1, м.Іршава, Іршавський р-н, Закарпатська обл., 90100","1840","985","1833","28","828","27","855","","0","828","27","855","33","821","399","195","11","153","37","11","15","29.10.12"
"210170","71","Закарпатська область","кінотеатр, вестибюль
вул.Гагаріна, 9, м.Іршава, Іршавський р-н, Закарпатська обл., 90100","1848","888","1845","24","943","17","960","","0","943","17","960","37","922","392","258","20","160","71","13","8","29.10.12"
"210171","71","Закарпатська область","школа №2, вестибюль
вул.Шкільна, 25, м.Іршава, Іршавський р-н, Закарпатська обл., 90100","2112","1135","2078","16","964","13","977","","0","964","13","977","37","940","367","255","15","193","78","17","15","29.10.12"
"210181","71","Закарпатська область","будинок культури, зала
вул.Центральна, 111, с.Приборжавське, Іршавський р-н, Закарпатська обл., 90155","1040","615","1025","17","414","11","425","","0","414","11","425","19","406","160","185","5","41","7","4","4","29.10.12"
"210182","71","Закарпатська область","школа, їдальня
вул.Борканюка, 3, с.Приборжавське, Іршавський р-н, Закарпатська обл., 90155","1640","797","1639","16","829","14","843","","0","829","14","843","39","804","347","283","15","117","21","3","18","29.10.12"
"210183","71","Закарпатська область","будинок культури, зала
вул.Набережна, 43, с.Луково, Іршавський р-н, Закарпатська обл., 90156","1200","690","1189","12","498","12","510","","0","498","12","510","22","488","280","139","6","45","6","4","8","29.10.12"
"210185","71","Закарпатська область","школа №1, фойє
вул.Центральна, 14, с.Білки, Іршавський р-н, Закарпатська обл., 90132","2256","1276","2242","22","959","21","980","","0","959","21","980","45","935","358","322","29","153","49","8","16","29.10.12"
"210186","71","Закарпатська область","будинок культури, зала
вул.Центральна, 65, с.Білки, Іршавський р-н, Закарпатська обл., 90132","2448","1500","2436","19","933","15","948","","0","933","15","948","51","897","322","325","37","151","50","4","8","29.10.12"
"210187","71","Закарпатська область","школа №2, фойє
вул.Конституції, 58, с.Білки, Іршавський р-н, Закарпатська обл., 90132","1496","888","1484","19","593","15","608","","0","593","15","608","40","568","199","279","3","63","14","5","5","29.10.12"
