"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Айб
Володимир
Іванович","Бережник
Михайло
Михайлович","Габор
Іван
Іванович","Дан
Василь
Іванович","Добринський
Ігор
Вікторович","Куцин
Олег
Іванович","Маринець
Роман
Андрійович","Олексій
Василь
Іванович","Петьовка
Василь
Васильович","Шелевер
Михайло
Іванович","Шелемба
Віталій
Михайлович","Дата підписання протоколу"
"210398","72","Закарпатська область","будинок культури, зал
вул.Леніна, 102, с.Біла Церква, Рахівський р-н, Закарпатська обл., 90614","2172","1595","2159","36","555","22","577","","0","555","22","577","30","547","4","5","2","28","4","5","0","0","396","100","3","28.10.12"
"210399","72","Закарпатська область","фельдшерсько-акушерський пункт, каб.1
вул.Підмагура, 40, с.Біла Церква, Рахівський р-н, Закарпатська обл., 90614","306","221","301","2","83","2","85","","0","83","2","85","7","78","0","1","1","8","0","1","1","0","55","9","2","28.10.12"
"210400","72","Закарпатська область","Школа, актова зала
вул.Дечебал, 10, с.Середнє Водяне, Рахівський р-н, Закарпатська обл., 90613","2304","1944","2294","22","349","11","360","","0","349","11","360","19","341","2","2","1","30","1","3","0","2","185","112","3","29.10.12"
"210401","72","Закарпатська область","дитячий садок, актова зала
вул.Вікторія, 2, с.Середнє Водяне, Рахівський р-н, Закарпатська обл., 90613","2172","1920","2158","17","247","5","252","","0","247","5","252","6","246","3","1","0","19","0","6","0","1","122","91","3","28.10.12"
"210402","72","Закарпатська область","сільський клуб, зал
вул.Добрик, 79, с.Середнє Водяне, Рахівський р-н, Закарпатська обл., 90613","852","745","843","7","105","2","107","","0","105","2","107","6","101","1","0","1","9","0","0","0","0","51","37","2","28.10.12"
"210403","72","Закарпатська область","будинок культури, зал
вул.Богдана Хмельницького, 1, с.Водиця, Рахівський р-н, Закарпатська обл., 90610","1344","655","1333","32","659","30","689","","0","659","30","689","21","668","2","2","4","199","1","23","2","0","376","56","3","29.10.12"
"210404","72","Закарпатська область","сільський клуб, зал
вул.Калинська, 2, с.Водиця, Рахівський р-н, Закарпатська обл., 90610","672","508","668","3","161","3","164","","0","161","3","164","2","162","0","3","0","20","0","4","0","2","122","11","0","28.10.12"
"210405","72","Закарпатська область","будинок культури, зала урочистих подій
вул.Леніна, 9, с.Верхнє Водяне, Рахівський р-н, Закарпатська обл., 90611","2200","1543","2189","22","642","15","657","","0","642","15","657","16","641","10","11","5","118","3","29","1","4","374","78","8","29.10.12"
"210406","72","Закарпатська область","Річанська школа, актова зала
вул.70-річчя Жовтня, 99, с.Верхнє Водяне, Рахівський р-н, Закарпатська обл., 90611","1806","1212","1805","18","576","18","594","","0","576","18","594","20","574","8","1","7","112","5","13","2","1","349","73","3","28.10.12"
"210407","72","Закарпатська область","Стримбівська школа, актова зала
вул.Першотравнева, 29А, с.Верхнє Водяне, Рахівський р-н, Закарпатська обл., 90611","1086","778","1077","14","294","14","308","","0","294","14","308","8","300","1","5","3","45","1","6","1","1","186","48","3","29.10.12"
