"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Балога
Іван
Іванович","Бушко
Іван
Іванович","Кінч
Габор
Йожефович","Ковач
Микола
Миколайович","Ленд’єл
Олександра
Олександрівна","Петрушка
Іштван
Шімонович","Пуканич
Едуард
Володимирович","Разгулов
Валерій
Михайлович","Сочка
Микола
Іванович","Дата підписання протоколу"
"210001","73","Закарпатська область","сільська рада, зала засідань
вул.Дружби Народів, 33, с.Астей, Берегівський р-н, Закарпатська обл., 90201","486","214","480","16","256","16","272","","0","256","16","272","12","260","71","102","7","66","5","5","2","2","0","28.10.12"
"210002","73","Закарпатська область","будинок культури, актова зала
вул.Мартірок, 222, с.Бадалово, Берегівський р-н, Закарпатська обл., 90253","1260","457","1255","40","778","25","803","","0","778","25","803","49","754","117","447","8","153","2","14","1","11","1","29.10.12"
"210006","73","Закарпатська область","сільська рада, зала засідань, 2-й поверх
вул.Ракоці, 65, с.Бене, Берегівський р-н, Закарпатська обл., 90261","1080","478","1074","15","587","15","602","","0","587","15","602","30","572","198","146","5","197","10","7","8","1","0","28.10.12"
"210007","73","Закарпатська область","будинок культури, фойє
вул.Ф.Раковці, 101, с.Берегуйфалу, Берегівський р-н, Закарпатська обл., 90240","1476","694","1463","20","765","17","782","","0","765","17","782","48","734","276","288","7","142","8","7","1","3","2","29.10.12"
"210008","73","Закарпатська область","школа, фойє, 1-й поверх
вул.Кошута, 136, с.Боржава, Берегівський р-н, Закарпатська обл., 90256","1134","393","1122","26","718","23","741","","0","718","23","741","35","706","412","116","5","151","11","4","2","2","3","28.10.12"
"210009","73","Закарпатська область","школа, їдальня, 1-й поверх
вул.Варошдерек, 44А, с.Вари, Берегівський р-н, Закарпатська обл., 90255","2340","1230","2330","45","1075","35","1110","","0","1075","35","1110","86","1024","295","419","15","242","18","16","7","8","4","29.10.12"
"210010","73","Закарпатська область","Закарпатський інститут АПВ, зала засідань, 2-й поверх
просп.Свободи, 17, с.Велика Бакта, Берегівський р-н, Закарпатська обл., 90252","822","300","813","22","501","21","522","","0","501","21","522","26","496","195","121","1","36","23","33","83","3","1","29.10.12"
"210011","73","Закарпатська область","будинок культури, актова зала
вул.ІІ Раковці Ф., 59А, с.Великі Береги, Берегівський р-н, Закарпатська обл., 90242","1992","883","1977","30","1081","28","1109","","0","1081","28","1109","52","1057","512","222","12","262","14","25","3","4","3","29.10.12"
"210014","73","Закарпатська область","школа, каб.3
вул.Велика, 130, с.Галабор, Берегівський р-н, Закарпатська обл., 90253","594","177","586","22","395","22","417","","0","395","22","417","14","403","95","209","5","75","6","9","1","1","2","29.10.12"
"210016","73","Закарпатська область","будинок культури, актова зала
вул.Світанкова, 36А, с.Геча, Берегівський р-н, Закарпатська обл., 90251","762","253","758","35","476","33","509","","0","476","33","509","20","489","100","256","3","96","10","15","6","3","0","28.10.12"
"210018","73","Закарпатська область","будинок культури, актова зала, 1-й поверх
вул.Арпада, 130, с.Дийда, Берегівський р-н, Закарпатська обл., 90234","1554","862","1552","5","688","4","692","","0","688","4","692","39","653","169","132","9","297","11","27","1","4","3","28.10.12"
"210020","73","Закарпатська область","будинок культури, актова зала
вул.Леніна, 77, с.Квасово, Берегівський р-н, Закарпатська обл., 90264","708","215","705","17","478","15","493","","0","478","15","493","24","469","243","157","2","34","18","12","0","2","1","28.10.12"
"210022","73","Закарпатська область","будинок села, зала засідань
вул.Петефі, 59, с.Кідьош, Берегівський р-н, Закарпатська обл., 90243","690","178","688","19","493","19","512","","0","493","19","512","16","496","119","289","3","70","1","9","0","4","1","28.10.12"
"210023","73","Закарпатська область","сільська рада, зала засідань
вул.Леніна, 34, с.Мочола, Берегівський р-н, Закарпатська обл., 90250","540","132","533","29","381","27","408","","0","381","27","408","20","388","135","182","5","48","3","8","4","0","3","28.10.12"
"210024","73","Закарпатська область","будинок культури, актова зала
вул.Гагаріна, 1, с.Гуняді, Берегівський р-н, Закарпатська обл., 90250","258","41","252","27","191","26","217","","0","191","26","217","10","207","143","53","0","0","2","5","0","2","2","28.10.12"
"210025","73","Закарпатська область","школа, фойє, 1-й поверх
вул.Шкільна, 27, с.Мужієво, Берегівський р-н, Закарпатська обл., 90260","1602","767","1586","29","811","24","835","","0","811","24","835","36","799","255","139","23","294","20","25","20","16","7","29.10.12"
"210026","73","Закарпатська область","школа, їдальня, 1-й поверх
вул.Центральна, 166, с.Нижні Ремети, Берегівський р-н, Закарпатська обл., 90241","570","163","565","25","382","25","407","","0","382","25","407","9","398","162","216","3","3","6","5","3","0","0","28.10.12"
"210027","73","Закарпатська область","будинок культури, актова зала
вул.Центральна, 14, с.Верхні Ремети, Берегівський р-н, Закарпатська обл., 90241","438","161","434","10","268","9","277","","0","268","9","277","7","270","84","171","1","0","5","8","0","0","1","28.10.12"
"210028","73","Закарпатська область","школа, спортивниа зала, 1-й поверх
вул.Головна, 79, с.Оросієво, Берегівський р-н, Закарпатська обл., 90263","690","185","683","30","479","26","505","","0","479","26","505","22","483","160","181","6","104","4","16","8","2","2","29.10.12"
"210033","73","Закарпатська область","сільська рада, актова зала
вул.Петефі, 92, с.Четфалва, Берегівський р-н, Закарпатська обл., 92625","594","217","588","15","364","13","377","","0","364","13","377","19","358","92","127","3","107","7","18","1","0","3","29.10.12"
"210034","73","Закарпатська область","школа, фойє, 1-й поверх
вул.Петефі, 47, с.Чома, Берегівський р-н, Закарпатська обл., 90250","714","208","703","18","491","15","506","","0","491","15","506","30","476","170","186","1","108","5","4","2","0","0","29.10.12"
"210036","73","Закарпатська область","сільська рада, каб.7, 2-й поверх
вул.Шевченка, 41, с.Яноші, Берегівський р-н, Закарпатська обл., 90233","2184","1267","2151","21","905","12","917","","0","905","12","917","59","858","304","190","13","241","13","89","0","7","1","28.10.12"
