"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Анчишкін
Артур
Леонідович","Артьоменко
Вікторія
Вячеславівна","Берестецька
Віолета
Едуардівна","Василенко
Богдан
Юрійович","Дяченко
Олександр
Васильович","Кальцев
Сергій
Федорович","Максимов
Володимир
Степанович","Петрашин
Леонід
Григорович","Рекалов
Геннадій
Олександрович","Савчин
Богдан
Васильович","Старух
Олександр
Васильович","Федченко
Віктор
Іванович","Холодков
Микола
Петрович","Хотлубей
Василь
Григорович","Швець
Володимир
Станіславович","Шевченко
Євгеній
Володимирович","Шуманов
Дмитро
Леонідович","Дата підписання протоколу"
"230837","75","Запорізька область","навчально-виховний комплекс №67, фойє
вул.Сеченова, 25, м.Запоріжжя, 69067","2456","1129","2418","35","1300","27","1327","","0","1298","27","1325","59","1266","7","16","15","140","80","599","5","5","57","22","159","6","94","14","6","23","18","29.10.12"
"230838","75","Запорізька область","КП ""Виробниче ремонтно-експлуатаційне житлове об’єднання №4"", актова зала
вул.Сеченова, 48/64, м.Запоріжжя, 69067","2480","1139","2455","25","1321","20","1341","","0","1321","20","1341","50","1291","9","23","18","127","102","604","4","2","48","14","184","4","106","11","6","12","17","29.10.12"
"230839","75","Запорізька область","школа №54, рекреація
вул.Соснова, 24, м.Запоріжжя, 69067","2308","1110","2301","17","1184","14","1198","","0","1184","14","1198","34","1164","8","18","16","139","85","499","8","4","53","9","176","5","99","8","17","12","8","29.10.12"
"230840","75","Запорізька область","школа №33, фойє
вул.Ніжинська, 40, м.Запоріжжя, 69067","2368","1001","2341","41","1340","27","1367","","0","1340","27","1367","42","1325","17","22","11","140","125","507","5","2","81","8","239","3","113","9","19","11","13","29.10.12"
"230841","75","Запорізька область","гуртожиток, актова зала
вул.Історична, 37, м.Запоріжжя, 69106","2476","1234","2441","18","1226","16","1242","","0","1226","16","1242","55","1187","19","26","8","149","74","574","11","2","52","21","105","6","101","13","5","12","9","29.10.12"
"230842","75","Запорізька область","школа №67, фойє
вул.Радіаторна, 26, м.Запоріжжя, 69067","2016","961","1999","22","1037","18","1055","","0","1037","18","1055","35","1020","8","23","9","146","52","458","8","4","38","15","140","4","72","6","7","23","7","29.10.12"
"230843","75","Запорізька область","школа №67, фойє
вул.Радіаторна, 26, м.Запоріжжя, 69067","1756","733","1748","27","999","24","1023","","0","999","24","1023","35","988","6","14","12","98","60","481","6","8","41","25","126","5","78","12","5","7","4","29.10.12"
"230844","75","Запорізька область","палац культури, фойє
вул.Лізи Чайкіної, 53, м.Запоріжжя, 69067","2196","915","2180","35","1253","28","1281","","1","1253","28","1281","47","1234","13","17","5","166","79","542","7","6","69","5","197","3","74","16","7","21","7","29.10.12"
"230845","75","Запорізька область","палац культури, вестибюль
вул.Лізи Чайкіної, 53, м.Запоріжжя, 69067","2228","985","2207","33","1214","29","1243","","0","1213","29","1242","51","1191","15","32","13","154","84","529","11","5","43","15","142","3","98","12","3","20","12","03.11.12"
"230846","75","Запорізька область","центр-інтернат ""Оберіг"", фойє
вул.Олександра Невського, 87А, м.Запоріжжя, 69067","2164","932","2127","36","1201","31","1232","","0","1201","31","1232","26","1206","12","15","13","148","97","603","4","2","64","10","128","5","67","15","7","11","5","29.10.12"
