"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Варданян
Армен
Фрунзікович","Варецький
Василь
Іванович","Зубко
Ігор
Владиславович","Карташов
Євген
Григорович","Кравець
Костянтин
Євгенійович","Лєх
Ірина
Іванівна","Пшигоцький
Сергій
Володимирович","Тимченко
Артем
Олегович","Ткаченко
Олег
Валентинович","Харламов
Дмитро
Вікторович","Дата підписання протоколу"
"000001","76","Запорізька область","фойє адміністративного корпусу
вул.Верхня, 2, м. Запоріжжя, 69032","24","15","15","0","9","0","9","","0","9","0","9","0","9","1","0","0","4","1","0","0","2","0","1","28.10.12"
"230972","76","Запорізька область","театр-лабораторія ""Ві"", фойє
вул.Наукового містечка, 35, м.Запоріжжя, 69017","1200","441","1199","43","717","42","759","","0","717","42","759","13","746","70","75","17","198","7","42","304","9","18","6","29.10.12"
"230973","76","Запорізька область","школа №37, спортивна зала
вул.Кронштадська, 7А, м.Запоріжжя, 69001","2220","959","2197","39","1227","34","1261","","0","1227","34","1261","48","1213","218","125","40","304","23","54","368","38","28","15","29.10.12"
"230974","76","Запорізька область","спортивний комплекс ВАТ""Запоріжсталь"", фойє
вул.Сергія Тюленіна, 13, м.Запоріжжя, 69001","2244","1061","2208","12","1171","12","1183","","0","1171","12","1183","45","1138","149","133","33","300","24","85","346","26","30","12","29.10.12"
"230975","76","Запорізька область","школа-інтернат спортивного профілю, спортивна зала
вул.Патріотична, 7, м.Запоріжжя, 69001","2370","1085","2333","24","1264","21","1285","","0","1264","21","1285","55","1230","187","164","42","317","24","72","354","33","27","10","29.10.12"
"230976","76","Запорізька область","навчально-виховний комплекс №20, фойє, 1 поверх
бульв.Шевченка, 49, м.Запоріжжя, 69091","2430","1008","2415","37","1388","34","1422","","0","1388","34","1422","43","1379","230","198","44","370","24","89","363","35","17","9","29.10.12"
"230977","76","Запорізька область","навчально-виховний комплекс №20, фойє, 2 поверх
бульв.Шевченка, 49, м.Запоріжжя, 69091","2268","1035","2245","42","1209","24","1233","","0","1209","24","1233","42","1191","190","165","34","254","30","73","362","41","33","9","29.10.12"
"230978","76","Запорізька область","металургійний коледж, фойє, 1 поверх
вул.Немировича-Данченка, 71, м.Запоріжжя, 69091","2322","1021","2306","40","1268","33","1301","","0","1268","33","1301","52","1249","184","174","50","330","26","66","347","35","25","12","29.10.12"
"230979","76","Запорізька область","металургійний коледж, фойє, 2 поверх
вул.Немировича-Данченка, 71, м.Запоріжжя, 69091","2304","1154","2278","35","1122","28","1150","","0","1122","28","1150","40","1110","166","196","43","276","27","54","283","24","28","13","29.10.12"
"230980","76","Запорізька область","школа №58, фойє
вул.Поточна, 7, м.Запоріжжя, 69001","1878","789","1869","24","1066","23","1089","","0","1066","23","1089","46","1043","179","154","42","282","26","63","238","17","33","9","29.10.12"
